feature,importance
defensive_actions_total,0.09742979
def_actions_per_90,0.057113495
is_home,0.049459774
fixture_difficulty_home,0.048688494
clearances_per_90,0.04108465
fixture_difficulty_away,0.032770023
tackles_per_90,0.030754007
starter_pct_roll5,0.025541456
p_over25_ewma5,0.024851305
elite_despejes_interact,0.02429222
def_actions_ewma5,0.023648452
score_roles_normalizado,0.022913892
pf_roll3,0.022906533
pf_lag1,0.02279157
cs_activity_alignment,0.022404466
minutes_pct_ewma3,0.021979596
starter_pct_ewma5,0.021864783
minutes_pct_roll3,0.021860138
clearances_ewma3,0.021817584
aerial_won_roll5,0.02173806
tackles_per_90_ewma5,0.021141987
aerial_won_ewma5,0.021105334
consistency_5games,0.020843498
pf_lag2,0.020732617
tackles_clearances_ratio_roll5,0.020597942
minutes_pct_ewma5,0.020422628
clearances_roll7,0.020378118
minutes_pct_roll5,0.020233631
clearances_lag1,0.020198282
pf_roll7,0.020186061
score_defensivo,0.019698178
pf_ewma3,0.019570582
def_actions_roll7,0.01946752
clearances_ewma5,0.01931439
pf_roll5,0.019230941
pf_ewma5,0.01907431
num_roles_criticos,0.014944756
tiene_rol_defensivo_core,0.006948945
