feature,importance
num_roles,0.08116008
score_roles,0.061569363
is_home,0.032990754
goals_roll5,0.028245136
progressive_pressure,0.02822385
starter_pct_roll3,0.027796777
offensive_threat,0.025902588
dribbles_ewma5,0.025661346
availability_threat,0.024773898
goals_ewma5,0.024771385
succ_dribbles_ewma5,0.02439506
xg_roll5,0.023769433
offensive_form,0.02347518
minutes_pct_roll5,0.023036776
xg_ewma5,0.023013582
pf_ewma5,0.022685088
starter_pct_ewma3,0.022311514
opp_gc_roll5,0.022264859
prog_dribbles_ewma5,0.02200621
odds_market_confidence,0.02176687
odds_prob_win,0.021613862
shots_on_target_ewma5,0.021465983
shots_ewma5,0.021304976
shots_roll5,0.021110829
prog_dist_roll5,0.020908918
opp_gc_ewma5,0.020801047
prog_dist_ewma5,0.020696918
shot_efficiency,0.020515349
shot_accuracy,0.020497639
dribbles_roll5,0.020233903
odds_prob_loss,0.020219231
goal_productivity,0.020133177
succ_dribbles_roll5,0.020109406
opp_gf_roll5,0.020025007
odds_expected_goals_against,0.01996799
prog_dribbles_roll5,0.019829998
opp_gf_ewma5,0.019186525
shots_on_target_roll5,0.019090774
minutes_pct_ewma5,0.018548254
pf_roll5,0.016880851
tiene_rol_destacado,0.007039578
odds_is_favored,0.0
