feature,importance
tiene_rol_mediocampista_core,0.10672294
score_roles,0.047815245
num_roles,0.044893008
is_home,0.038563654
odds_is_favored,0.033780117
tiene_rol_destacado,0.029576426
num_roles_criticos,0.029446254
es_mediocampista_elite,0.023782453
offensive_action,0.023678064
prog_dist_roll5,0.023236237
pass_efficiency,0.02303328
pf_roll5,0.02250482
defensive_intensity,0.02195415
odds_prob_win,0.021697752
pf_ewma5,0.021606507
dribble_attempts_ewma5,0.021526529
minutes_pct_roll5,0.021313654
dribble_attempts_roll5,0.02097328
succ_dribbles_ewma5,0.020885658
tackles_roll5,0.02066866
succ_dribbles_roll5,0.020631667
passes_roll5,0.020556547
pass_comp_pct_roll5,0.020391783
distance_per_dribble,0.020374311
opp_gc_roll5,0.02011512
opp_gf_roll5,0.020018669
starter_pct_ewma3,0.01993162
minutes_pct_ewma5,0.019751541
pass_comp_pct_ewma5,0.019728698
dribble_success_rate,0.019579876
odds_market_confidence,0.019477405
prog_dribbles_ewma5,0.01942698
prog_dribbles_roll5,0.01930515
availability_form,0.019140705
opp_gc_ewma5,0.018996166
tackles_ewma5,0.018916802
opp_gf_ewma5,0.018055655
passes_ewma5,0.01724137
prog_dist_ewma5,0.01690998
starter_pct_roll3,0.013791317
