player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Álvaro Morata,DT,atletico madrid,granada,1,57,1,0,1.0,0.0,3,1,2,6,100.0,1,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,1,0,0,0,11,54.0,6.0,0,1,1,50.0,23_24,1,1
Memphis,DT,atletico madrid,granada,0,33,1,0,1.0,0.0,4,3,1,13,61.5,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,1,1,17,114.0,65.0,2,0,0,0.0,23_24,1,1
Antoine Griezmann,DT,atletico madrid,granada,1,76,0,0,0.0,0.6,1,1,0,36,83.3,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,0,1,24,66.0,13.0,0,1,0,100.0,23_24,1,1
Saúl Ñíguez,DT,atletico madrid,granada,0,14,0,0,0.0,0.0,1,0,1,12,91.7,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,0,0,0,0,7,37.0,9.0,0,1,0,100.0,23_24,1,1
Thomas Lemar,MC,atletico madrid,granada,1,58,0,0,0.0,0.0,1,1,0,33,78.8,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,27,156.0,84.0,2,0,2,0.0,23_24,1,1
Çağlar Söyüncü,DF,atletico madrid,granada,0,32,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,1,1,0,8,117.0,39.0,1,0,0,0.0,23_24,1,1
Rodrigo De Paul,MC,atletico madrid,granada,1,77,0,0,0.2,0.0,1,1,0,52,80.8,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,1,2,1,1,34,170.0,121.0,5,0,0,0.0,23_24,1,1
Ángel Correa,MC,atletico madrid,granada,0,13,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,5,2,3,10,66.0,18.0,0,0,0,0.0,23_24,1,1
Koke,MC,atletico madrid,granada,1,6,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,8.0,6.0,0,0,0,0.0,23_24,1,1
Pablo Barrios,MC,atletico madrid,granada,0,84,0,0,0.0,0.0,0,0,0,32,78.1,0,0,0.0,0.0,0.0,8,1,0,0,0,2,0,2,0,2,2,0,26,98.0,52.0,2,0,0,0.0,23_24,1,1
Yannick Carrasco,MC,atletico madrid,granada,1,90,0,1,0.0,0.2,0,0,0,45,77.8,0,0,0.0,0.0,0.0,11,3,2,0,1,1,0,1,0,4,3,1,34,284.0,149.0,6,0,0,0.0,23_24,1,1
Marcos Llorente,MC,atletico madrid,granada,1,90,1,0,0.1,0.3,1,0,1,36,83.3,0,0,0.0,0.0,0.0,12,1,0,0,0,2,0,2,0,1,1,0,21,132.0,65.0,2,0,0,0.0,23_24,1,1
Mario Hermoso,DF,atletico madrid,granada,1,90,0,0,0.0,0.0,0,0,0,63,81.0,1,0,0.0,0.0,0.0,4,4,0,0,0,2,0,2,5,0,0,0,39,187.0,84.0,0,4,2,66.7,23_24,1,1
Stefan Savić,DF,atletico madrid,granada,1,90,0,0,0.0,0.0,1,1,0,45,77.8,0,0,0.0,0.0,0.0,5,0,0,0,0,2,2,0,4,0,0,0,28,231.0,157.0,0,6,3,66.7,23_24,1,1
César Azpilicueta,DF,atletico madrid,granada,1,90,0,0,0.0,0.6,1,0,1,65,80.0,1,0,0.0,0.0,0.0,5,2,1,0,0,1,0,1,0,0,0,0,35,255.0,166.0,3,2,1,66.7,23_24,1,1
Jan Oblak,PT,atletico madrid,granada,1,90,0,0,0.0,0.0,0,0,0,20,90.0,0,0,1.0,75.0,1.1,6,0,0,0,0,0,0,0,0,0,0,0,15,72.0,47.0,0,0,0,0.0,23_24,1,1
