player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Marc Cardona,DT,las palmas,mallorca,1,63,0,0,0.0,0.0,0,0,0,19,68.4,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,5,1,4,14,58.0,18.0,1,3,2,60.0,23_24,1,1
Munir El Haddadi,DT,las palmas,mallorca,0,27,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,1,1,13,103.0,37.0,0,0,1,0.0,23_24,1,1
Sandro Ramírez,DT,las palmas,mallorca,1,90,0,0,0.1,0.0,2,1,1,23,73.9,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,2,0,2,26,118.0,46.0,2,0,1,0.0,23_24,1,1
Jonathan Viera,DT,las palmas,mallorca,1,90,1,0,0.8,0.0,0,0,0,61,88.5,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,7,4,1,41,175.0,79.0,0,0,1,0.0,23_24,1,1
Enzo Loiodice,MC,las palmas,mallorca,1,90,0,0,0.0,0.0,1,1,0,75,88.0,1,0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,0,3,0,3,54,176.0,74.0,1,3,0,100.0,23_24,1,1
Kirian Rodríguez,MC,las palmas,mallorca,1,84,0,0,0.0,0.0,1,1,0,95,88.4,1,0,0.0,0.0,0.0,2,3,2,0,1,0,0,0,1,3,3,0,77,403.0,247.0,4,1,1,50.0,23_24,1,1
Omenuke Mfulu,MC,las palmas,mallorca,0,6,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,4,11.0,2.0,0,1,1,50.0,23_24,1,1
Javier Muñoz,MC,las palmas,mallorca,1,90,0,0,0.0,0.0,0,0,0,43,76.7,0,0,0.0,0.0,0.0,1,1,1,0,0,2,0,2,0,0,0,0,35,152.0,63.0,1,0,2,0.0,23_24,1,1
Daley Sinkgraven,DF,las palmas,mallorca,1,63,0,0,0.0,0.0,0,0,0,56,91.1,0,0,0.0,0.0,0.0,0,0,2,0,2,1,0,1,2,0,0,0,37,159.0,51.0,1,1,1,50.0,23_24,1,1
Sergi Cardona,DF,las palmas,mallorca,0,27,0,0,0.0,0.0,0,0,0,21,76.2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,13,45.0,9.0,0,0,0,0.0,23_24,1,1
Álex Suárez,DF,las palmas,mallorca,1,90,0,0,0.0,0.0,0,0,0,82,91.5,0,0,0.0,0.0,0.0,6,3,2,0,0,1,1,0,7,0,0,0,56,216.0,77.0,0,1,4,20.0,23_24,1,1
Saúl Coco,DF,las palmas,mallorca,1,90,0,0,0.0,0.0,0,0,0,58,96.6,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,4,0,0,0,47,311.0,161.0,2,1,1,50.0,23_24,1,1
Álvaro Lemos,DF,las palmas,mallorca,1,90,0,0,0.0,0.0,0,0,0,54,85.2,1,0,0.0,0.0,0.0,1,3,0,0,0,1,0,1,2,1,0,1,31,111.0,22.0,1,3,0,100.0,23_24,1,1
Álvaro Vallés,PT,las palmas,mallorca,1,90,0,0,0.0,0.0,0,0,0,36,52.8,0,0,1.0,50.0,0.2,3,0,0,0,0,0,0,0,1,0,0,0,24,106.0,51.0,0,0,0,0.0,23_24,1,1
Amath,DT,mallorca,las palmas,1,59,0,0,0.0,0.0,0,0,0,10,60.0,0,0,0.0,0.0,0.0,5,2,0,0,0,0,0,0,0,2,0,1,9,45.0,19.0,0,1,1,50.0,23_24,1,0
Cyle Larin,DT,mallorca,las palmas,0,31,0,0,0.0,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,21.0,13.0,1,1,2,33.3,23_24,1,0
Vedat Muriqi,DT,mallorca,las palmas,1,90,0,0,1.1,0.5,3,3,0,13,61.5,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,2,0,2,15,68.0,20.0,0,3,2,60.0,23_24,1,0
Manu Morlanes,MC,mallorca,las palmas,1,84,0,0,0.3,0.0,1,0,1,22,72.7,0,0,0.0,0.0,0.0,4,4,3,0,2,0,0,0,0,0,0,0,15,80.0,39.0,1,0,1,0.0,23_24,1,0
Javier Llabrés,MC,mallorca,las palmas,0,6,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,16.0,15.0,1,0,0,0.0,23_24,1,0
Omar Mascarell,MC,mallorca,las palmas,1,59,0,0,0.0,0.0,0,0,0,16,87.5,1,0,0.0,0.0,0.0,1,1,3,0,2,0,0,0,0,0,0,0,9,19.0,8.0,0,0,0,0.0,23_24,1,0
Samu Costa,MC,mallorca,las palmas,0,31,0,0,0.0,0.0,0,0,0,18,94.4,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,0,13,42.0,11.0,0,2,0,100.0,23_24,1,0
Dani Rodríguez,DT,mallorca,las palmas,1,90,0,0,0.3,0.0,3,3,0,25,76.0,0,0,0.0,0.0,0.0,4,3,2,0,1,2,1,1,0,3,3,0,22,98.0,32.0,0,1,1,50.0,23_24,1,0
Jaume Costa,DF,mallorca,las palmas,1,90,0,0,0.0,0.0,0,0,0,30,63.3,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,1,0,0,0,18,88.0,44.0,2,1,1,50.0,23_24,1,0
Copete,DF,mallorca,las palmas,1,45,0,0,0.0,0.0,1,1,0,12,75.0,1,0,0.0,0.0,0.0,-2,1,1,0,0,0,0,0,3,0,0,0,5,27.0,2.0,0,0,0,0.0,23_24,1,0
Antonio Raillo,DF,mallorca,las palmas,0,45,1,0,0.1,0.0,1,0,1,19,68.4,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,0,0,0,0,11,57.0,29.0,1,2,3,40.0,23_24,1,0
Martin Valjent,DF,mallorca,las palmas,1,90,0,0,0.0,0.0,0,0,0,27,66.7,0,0,0.0,0.0,0.0,3,2,1,0,0,2,1,1,0,0,0,0,16,116.0,68.0,0,2,0,100.0,23_24,1,0
