player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Jørgen Strand Larsen,NOR,23,DT,18,celta,osasuna,1,72,0,0,0.3,0.0,2,2,0,19,57.9,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,22,94.0,59.0,2,0,2,0.0,23_24,1,13/08/2023,1,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Gabriel Veiga,ESP,21,DT,24,celta,osasuna,0,18,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,6,23.0,4.0,0,0,1,0.0,23_24,1,13/08/2023,1,[]
Iago Aspas,ESP,36,DT,10,celta,osasuna,1,81,0,0,0.4,0.2,5,5,0,24,87.5,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,2,2,0,24,70.0,24.0,0,0,0,0.0,23_24,1,13/08/2023,1,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Williot Swedberg,SWE,19,DT,19,celta,osasuna,0,9,0,0,0.1,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,5,12.0,1.0,0,0,0,0.0,23_24,1,13/08/2023,1,"[{'asistencias_90': [6, 0.33]}]"
Jonathan Bamba,CIV,27,MC,17,celta,osasuna,1,90,0,0,0.1,0.0,1,1,0,46,71.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,7,4,2,41,244.0,131.0,5,1,1,50.0,23_24,1,13/08/2023,1,[]
Hugo Sotelo,ESP,19,MC,30,celta,osasuna,1,80,0,0,0.0,0.0,0,0,0,43,81.4,0,0,0.0,0.0,0.0,0,4,2,0,1,1,0,1,0,1,1,0,31,85.0,34.0,1,0,2,0.0,23_24,1,13/08/2023,1,[]
Luca de la Torre,USA,25,MC,14,celta,osasuna,0,10,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,44.0,24.0,1,1,0,100.0,23_24,1,13/08/2023,1,"[{'rojas': [10, 1.0]}]"
Fran Beltrán,ESP,24,MC,8,celta,osasuna,1,90,0,0,0.1,0.0,1,1,0,46,80.4,0,0,0.0,0.0,0.0,2,2,2,0,2,1,0,1,0,2,1,1,34,154.0,76.0,1,2,1,66.7,23_24,1,13/08/2023,1,[]
Carles Pérez,ESP,25,MC,7,celta,osasuna,1,62,0,0,0.0,0.1,0,0,0,14,64.3,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,1,0,1,16,65.0,41.0,2,0,1,0.0,23_24,1,13/08/2023,1,[]
Miguel Rodríguez,ESP,20,MC,29,celta,osasuna,0,28,0,0,0.0,0.1,1,1,0,9,55.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,12,64.0,28.0,1,0,0,0.0,23_24,1,13/08/2023,1,[]
