player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Marc Cardona,DT,las palmas,rayo,1,82,0,0,0.0,0.0,0,0,0,15,60.0,0,0,0.0,0.0,0.0,2,0,2,0,2,2,0,2,0,1,1,0,16,71.0,48.0,2,0,2,0.0,23_24,10,1
Sory Kaba,DT,las palmas,rayo,0,8,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0,2,1,66.7,23_24,10,1
Munir El Haddadi,DT,las palmas,rayo,1,73,0,0,0.9,0.1,3,2,1,24,54.2,0,0,0.0,0.0,0.0,2,2,3,0,1,0,0,0,0,3,1,2,22,72.0,15.0,0,2,3,40.0,23_24,10,1
Alberto Moleiro,DT,las palmas,rayo,0,17,0,0,0.0,0.0,1,1,0,8,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,2,1,0,8,75.0,57.0,2,0,0,0.0,23_24,10,1
Pejiño,DT,las palmas,rayo,1,61,0,0,0.1,0.0,2,0,2,24,66.7,0,0,0.0,0.0,0.0,8,1,2,0,1,0,0,0,0,5,4,1,22,141.0,83.0,4,0,0,0.0,23_24,10,1
Marvin,DT,las palmas,rayo,0,29,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,1,0,0,0,7,27.0,12.0,0,0,1,0.0,23_24,10,1
Enzo Loiodice,MC,las palmas,rayo,1,61,0,0,0.0,0.0,1,1,0,42,78.6,0,0,0.0,0.0,0.0,5,2,1,0,1,0,0,0,1,1,0,1,29,134.0,43.0,1,1,2,33.3,23_24,10,1
Máximo Perrone,MC,las palmas,rayo,0,29,0,0,0.0,0.0,0,0,0,22,95.5,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,14,27.0,4.0,0,0,0,0.0,23_24,10,1
Kirian Rodríguez,MC,las palmas,rayo,1,90,0,0,0.0,0.0,0,0,0,90,85.6,0,0,0.0,0.0,0.0,4,3,3,0,1,0,0,0,0,1,1,0,74,355.0,225.0,5,0,0,0.0,23_24,10,1
Javier Muñoz,MC,las palmas,rayo,1,90,0,0,0.1,0.1,1,1,0,42,78.6,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,1,0,28,98.0,18.0,0,1,1,50.0,23_24,10,1
Sergi Cardona,DF,las palmas,rayo,1,90,0,0,0.0,0.2,1,1,0,72,79.2,0,0,0.0,0.0,0.0,4,1,2,0,1,0,0,0,3,1,0,1,50,228.0,144.0,4,3,0,100.0,23_24,10,1
Mika Mármol,DF,las palmas,rayo,1,90,0,0,0.0,0.0,0,0,0,55,85.5,0,0,0.0,0.0,0.0,6,2,0,0,0,0,0,0,3,1,0,1,46,201.0,130.0,3,2,0,100.0,23_24,10,1
Saúl Coco,DF,las palmas,rayo,1,45,0,0,0.1,0.0,2,0,2,58,86.2,1,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,0,0,0,44,258.0,193.0,1,3,0,100.0,23_24,10,1
Julian Araujo,DF,las palmas,rayo,0,45,0,0,0.0,0.0,0,0,0,19,89.5,0,0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,3,0,0,0,12,19.0,9.0,0,0,1,0.0,23_24,10,1
Álex Suárez,DF,las palmas,rayo,1,90,0,0,0.0,0.0,0,0,0,61,78.7,1,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,42,177.0,102.0,2,2,3,40.0,23_24,10,1
Álvaro Vallés,PT,las palmas,rayo,1,90,0,0,0.0,0.0,0,0,0,61,91.8,0,0,1.0,100.0,1.2,8,0,0,0,0,0,0,0,1,0,0,0,46,207.0,148.0,0,0,0,0.0,23_24,10,1
Kike Pérez,DT,rayo,las palmas,1,45,0,0,0.0,0.0,0,0,0,15,60.0,0,0,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,3,0,1,12,47.0,32.0,1,0,2,0.0,23_24,10,0
Jorge de Frutos,MC,rayo,las palmas,0,45,0,0,0.1,0.0,1,1,0,5,100.0,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,2,1,0,6,59.0,13.0,0,0,0,0.0,23_24,10,0
