player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Myrto Uzuni,ALB,28,DT,11,granada,villarreal,1,90,1,0,0.7,0.6,5,3,2,15,93.3,0,0,0.0,0.0,0.0,12,0,1,0,1,1,0,1,0,3,3,0,20,73.0,17.0,0,1,3,25.0,23_24,11,30/10/2023,1,"[{'penaltis_marcados': [3, 4.0]}]"
Álvaro Carreras,ESP,20,DT,33,granada,villarreal,1,67,0,0,0.0,0.2,1,1,0,21,66.7,0,0,0.0,0.0,0.0,4,4,3,0,1,0,0,0,0,2,1,1,24,116.0,26.0,1,0,0,0.0,23_24,11,30/10/2023,1,"[{'pases_ultimo_tercio': [3, 112.0]}, {'intercepciones': [6, 23.0]}, {'rojas': [2, 1.0]}]"
José Callejón,ESP,36,MC,9,granada,villarreal,0,23,0,0,0.1,0.0,1,1,0,14,57.1,0,0,0.0,0.0,0.0,2,2,3,0,1,0,0,0,0,0,0,0,13,48.0,11.0,0,0,0,0.0,23_24,11,30/10/2023,1,[]
Antonio Puertas,ESP,31,DT,10,granada,villarreal,1,67,0,0,0.5,0.1,3,2,1,11,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,2,1,1,13,92.0,44.0,2,1,4,20.0,23_24,11,30/10/2023,1,"[{'apariciones_suplente': [10, 21.0]}, {'rojas': [10, 1.0]}]"
Shon Weissman,ISR,27,DT,17,granada,villarreal,0,23,0,0,0.0,0.0,1,1,0,2,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,0,0,0,0,2,1.0,1.0,0,1,2,33.3,23_24,11,30/10/2023,1,[]
Bryan Zaragoza,ESP,22,MC,26,granada,villarreal,1,90,0,1,0.2,0.4,2,0,2,31,64.5,0,0,0.0,0.0,0.0,11,1,1,0,1,0,0,0,0,7,4,2,32,468.0,243.0,12,0,0,0.0,23_24,11,30/10/2023,1,"[{'regates_exitosos': [9, 57.0]}]"
Sergio Ruiz,ESP,28,MC,20,granada,villarreal,1,82,0,0,0.2,0.3,1,1,0,49,91.8,0,0,0.0,0.0,0.0,4,5,5,0,1,0,0,0,1,1,0,1,45,225.0,84.0,0,1,1,50.0,23_24,11,30/10/2023,1,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Njegoš Petrović,SRB,24,MC,18,granada,villarreal,0,8,0,0,0.0,0.0,1,0,1,14,92.9,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,1,1,0,12,53.0,11.0,0,0,0,0.0,23_24,11,30/10/2023,1,[]
Gonzalo Villar,ESP,25,MC,24,granada,villarreal,1,59,0,1,0.0,0.2,0,0,0,39,76.9,0,0,0.0,0.0,0.0,6,1,1,0,0,1,0,1,2,0,0,0,23,124.0,38.0,0,1,0,100.0,23_24,11,30/10/2023,1,"[{'faltas_recibidas': [9, 66.0]}]"
Óscar Melendo,ESP,26,MC,21,granada,villarreal,0,31,0,0,0.0,0.0,0,0,0,23,82.6,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,3,2,1,22,158.0,82.0,3,1,0,100.0,23_24,11,30/10/2023,1,[]
Carlos Neva,ESP,27,DF,15,granada,villarreal,1,90,0,0,0.0,0.0,0,0,0,54,85.2,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,29,98.0,47.0,1,1,0,100.0,23_24,11,30/10/2023,1,[]
Raúl Torrente,ESP,22,DF,28,granada,villarreal,1,90,0,0,0.0,0.0,0,0,0,65,83.1,0,0,0.0,0.0,0.0,1,6,5,0,0,1,0,1,1,0,0,0,55,313.0,116.0,0,1,0,100.0,23_24,11,30/10/2023,1,[]
Ignasi Miquel,ESP,31,DF,14,granada,villarreal,1,90,0,0,0.0,0.0,1,1,0,49,71.4,0,0,0.0,0.0,0.0,1,0,2,0,2,2,1,1,2,1,1,0,37,205.0,87.0,1,2,0,100.0,23_24,11,30/10/2023,1,"[{'intercepciones': [6, 45.0]}, {'despejes': [8, 132.0]}]"
Ricard Sánchez,ESP,23,DF,12,granada,villarreal,1,82,1,0,0.1,0.1,1,0,1,39,76.9,0,0,0.0,0.0,0.0,7,2,2,0,1,2,0,2,1,2,1,1,29,194.0,78.0,4,1,0,100.0,23_24,11,30/10/2023,1,[]
Famara Diedhiou,SEN,30,DT,19,granada,villarreal,0,8,0,0,0.3,0.0,1,0,1,3,33.3,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,1,1,0,4,67.0,51.0,2,1,0,100.0,23_24,11,30/10/2023,1,[]
André Ferreira,POR,27,PT,13,granada,villarreal,1,90,0,0,0.0,0.0,0,0,0,22,72.7,0,0,3.0,60.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,16,71.0,12.0,0,0,0,0.0,23_24,11,30/10/2023,1,[]
Alexander Sørloth,NOR,27,DT,11,villarreal,granada,1,45,1,1,0.0,0.3,1,0,1,7,71.4,0,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,7,5,2,8,158.0,82.0,3,0,0,0.0,23_24,11,30/10/2023,0,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Carlos Romero,ESP,22,DF,37,villarreal,granada,0,45,0,0,0.0,0.0,0,0,0,29,75.9,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,4,2,1,1,10,61.0,47.0,1,0,0,0.0,23_24,11,30/10/2023,0,"[{'entradas': [6, 44.0]}]"
Gerard Moreno,ESP,31,DT,7,villarreal,granada,1,83,2,0,1.1,0.0,2,0,2,34,73.5,0,0,0.0,0.0,0.0,12,2,2,0,1,0,0,0,2,5,1,4,21,58.0,8.0,0,1,1,50.0,23_24,11,30/10/2023,0,"[{'pases_clave': [10, 53.0]}]"
Santi Comesaña,ESP,27,DT,4,villarreal,granada,0,7,0,0,0.0,0.0,0,0,0,8,100.0,0,0,0.0,0.0,0.0,1,0,2,0,2,0,0,0,1,0,0,0,4,10.0,5.0,0,0,0,0.0,23_24,11,30/10/2023,0,"[{'rojas': [2, 2.0]}]"
Alex Baena,ESP,22,MC,16,villarreal,granada,1,57,0,0,0.1,0.0,1,1,0,25,76.0,1,0,0.0,0.0,0.0,-1,1,2,0,1,1,0,1,0,2,0,2,18,92.0,48.0,1,0,0,0.0,23_24,11,30/10/2023,0,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
José Luis Morales,ESP,36,DT,15,villarreal,granada,0,33,0,0,0.3,0.0,1,0,1,4,25.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,5,30.0,5.0,0,0,2,0.0,23_24,11,30/10/2023,0,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Daniel Parejo,ESP,34,MC,10,villarreal,granada,1,90,0,1,0.0,0.0,0,0,0,73,93.2,1,0,0.0,0.0,0.0,7,3,4,0,2,1,0,1,1,0,0,0,36,84.0,32.0,0,0,0,0.0,23_24,11,30/10/2023,0,"[{'penaltis_marcados': [7, 3.0]}]"
Étienne Capoue,FRA,35,MC,6,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,52,88.5,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,3,1,2,31,173.0,34.0,1,1,2,33.3,23_24,11,30/10/2023,0,[]
Ilias Akhomach,MAR,19,MC,27,villarreal,granada,1,75,0,0,0.0,0.0,0,0,0,22,81.8,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,5,1,4,19,108.0,56.0,1,0,1,0.0,23_24,11,30/10/2023,0,"[{'regates_exitosos': [9, 57.0]}]"
Ramón Terrats,ESP,23,MC,20,villarreal,granada,0,15,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,1,0,2,0,2,0,0,0,1,0,0,0,2,0.0,0.0,0,0,0,0.0,23_24,11,30/10/2023,0,[]
Alberto Moreno,ESP,31,DF,18,villarreal,granada,1,75,0,0,0.0,0.0,0,0,0,35,80.0,0,0,0.0,0.0,0.0,1,1,2,0,1,1,0,1,2,0,0,0,21,114.0,61.0,2,0,2,0.0,23_24,11,30/10/2023,0,"[{'rojas': [2, 2.0]}]"
Kiko Femenía,ESP,32,MC,17,villarreal,granada,0,15,0,0,0.0,0.3,0,0,0,10,90.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,5,11.0,1.0,0,0,0,0.0,23_24,11,30/10/2023,0,"[{'rojas': [10, 1.0]}]"
Matteo Gabbia,ITA,24,DF,2,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,63,95.2,0,0,0.0,0.0,0.0,6,3,3,0,2,0,0,0,9,0,0,0,35,199.0,118.0,0,6,2,75.0,23_24,11,30/10/2023,0,[]
Raúl Albiol,ESP,38,DF,3,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,64,85.9,1,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,9,0,0,0,37,150.0,108.0,0,1,2,33.3,23_24,11,30/10/2023,0,[]
Adrià Altimira,ESP,22,DF,26,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,63,88.9,0,0,0.0,0.0,0.0,1,1,2,0,1,3,1,2,3,2,2,0,29,138.0,52.0,1,1,0,100.0,23_24,11,30/10/2023,0,[]
Filip Jørgensen,DEN,21,PT,13,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,42,64.3,0,0,2.0,75.0,1.5,5,0,0,0,0,0,0,0,0,0,0,0,30,125.0,76.0,0,0,0,0.0,23_24,11,30/10/2023,0,"[{'paradas': [1, 143.0]}]"
