player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Artem Dovbyk,UKR,26,DT,9,girona,celta,1,66,0,0,0.1,0.0,2,1,1,5,60.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,7,16.0,4.0,0,0,2,0.0,23_24,11,27/10/2023,1,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Cristhian Stuani,URU,37,DT,7,girona,celta,0,24,0,0,0.1,0.0,2,2,0,3,66.7,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.0,2.0,0,1,0,100.0,23_24,11,27/10/2023,1,"[{'goles_por_tiro': [7, 0.26]}, {'apariciones_suplente': [1, 26.0]}]"
Sávio,BRA,19,DT,16,girona,celta,1,90,0,0,0.0,0.2,1,1,0,22,59.1,0,0,0.0,0.0,0.0,7,1,1,0,0,2,0,2,2,7,4,2,25,229.0,131.0,3,1,1,50.0,23_24,11,27/10/2023,1,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Yan Couto,BRA,21,DT,20,girona,celta,1,90,0,0,0.2,0.1,1,1,0,56,73.2,1,0,0.0,0.0,0.0,4,2,2,0,1,1,0,1,1,4,1,3,51,473.0,221.0,8,1,1,50.0,23_24,11,27/10/2023,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Miguel Gutiérrez,ESP,22,MC,3,girona,celta,1,90,0,0,0.1,0.0,3,3,0,49,83.7,0,0,0.0,0.0,0.0,8,2,1,0,0,0,0,0,3,1,1,0,39,195.0,49.0,0,0,0,0.0,23_24,11,27/10/2023,1,"[{'centros_area': [10, 19.0]}]"
Aleix García,ESP,26,MC,14,girona,celta,1,90,0,1,0.0,0.2,1,1,0,106,82.1,0,0,0.0,0.0,0.0,15,0,1,0,1,2,0,2,3,0,0,0,70,313.0,173.0,1,0,1,0.0,23_24,11,27/10/2023,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Iván Martín,ESP,24,MC,23,girona,celta,1,66,0,0,0.0,0.0,0,0,0,22,100.0,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,0,0,0,21,137.0,74.0,2,0,0,0.0,23_24,11,27/10/2023,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Portu,ESP,31,MC,24,girona,celta,0,24,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,36.0,13.0,1,0,0,0.0,23_24,11,27/10/2023,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Yangel Herrera,VEN,25,MC,21,girona,celta,1,90,1,0,0.1,0.1,2,1,1,42,78.6,0,0,0.0,0.0,0.0,11,3,1,0,0,0,0,0,2,1,0,1,34,105.0,25.0,0,7,4,63.6,23_24,11,27/10/2023,1,"[{'faltas_cometidas': [6, 65.0]}]"
Daley Blind,NED,33,DF,17,girona,celta,1,90,0,0,0.0,0.0,0,0,0,96,90.6,0,0,0.0,0.0,0.0,7,0,2,0,2,0,0,0,1,0,0,0,77,499.0,325.0,4,2,1,66.7,23_24,11,27/10/2023,1,"[{'pases_ultimo_tercio': [5, 256.0]}]"
David López,ESP,34,DF,5,girona,celta,1,44,0,0,0.0,0.0,0,0,0,62,91.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,44,337.0,240.0,3,0,1,0.0,23_24,11,27/10/2023,1,"[{'pases_completados_pct': [3, 92.8]}]"
Juanpe,ESP,32,DF,15,girona,celta,0,46,0,0,0.0,0.0,0,0,0,53,90.6,1,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,2,0,0,0,44,338.0,209.0,0,3,4,42.9,23_24,11,27/10/2023,1,[]
Arnau Martinez,ESP,20,DF,4,girona,celta,1,78,0,0,0.0,0.0,0,0,0,81,88.9,0,0,0.0,0.0,0.0,7,3,0,0,0,1,1,0,1,0,0,0,55,291.0,192.0,1,0,0,0.0,23_24,11,27/10/2023,1,[]
Viktor Tsyhankov,UKR,25,DT,8,girona,celta,0,12,0,0,0.0,0.0,0,0,0,14,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,12,84.0,29.0,1,0,0,0.0,23_24,11,27/10/2023,1,"[{'corners': [10, 80.0]}]"
Paulo Gazzaniga,ARG,31,PT,13,girona,celta,1,90,0,0,0.0,0.0,0,0,0,32,87.5,0,0,0.0,100.0,0.1,11,0,0,0,0,0,0,0,0,0,0,0,23,88.0,40.0,0,0,0,0.0,23_24,11,27/10/2023,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 12.0]}, {'paradas': [2, 121.0]}, {'save_pct': [5, 75.6]}]"
Jørgen Strand Larsen,NOR,23,DT,18,celta,girona,1,90,0,0,0.0,0.0,1,1,0,23,47.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,2,1,0,23,102.0,66.0,2,6,7,46.2,23_24,11,27/10/2023,0,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
