player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Willian José,BRA,31,DT,12,betis,osasuna,1,63,1,0,0.5,0.0,2,1,1,12,75.0,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,0,2,1,1,18,48.0,8.0,0,1,0,100.0,23_24,11,29/10/2023,1,"[{'rojas': [10, 1.0]}]"
Luiz Henrique,BRA,22,DT,11,betis,osasuna,0,27,0,0,0.0,0.0,0,0,0,11,63.6,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,1,1,13,169.0,99.0,3,0,1,0.0,23_24,11,29/10/2023,1,[]
Ayoze Pérez,ESP,30,DT,10,betis,osasuna,1,74,0,0,0.0,0.6,0,0,0,27,77.8,0,0,0.0,0.0,0.0,9,2,2,0,2,2,0,2,2,4,3,0,24,147.0,85.0,2,1,0,100.0,23_24,11,29/10/2023,1,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Abde Ezzalzouli,MAR,21,DT,7,betis,osasuna,0,16,0,0,0.0,0.0,1,1,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,10,72.0,35.0,2,0,1,0.0,23_24,11,29/10/2023,1,"[{'apariciones_suplente': [6, 22.0]}]"
Assane Diao,SEN,18,DT,38,betis,osasuna,1,90,0,0,0.0,0.2,1,1,0,25,72.0,1,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,7,3,3,31,218.0,60.0,3,1,2,33.3,23_24,11,29/10/2023,1,[]
Isco,ESP,31,MC,22,betis,osasuna,1,90,1,1,0.6,0.3,2,1,1,50,76.0,1,0,0.0,0.0,0.0,14,1,2,0,2,0,0,0,1,2,1,1,39,238.0,96.0,3,2,1,66.7,23_24,11,29/10/2023,1,"[{'pases_clave': [4, 81.0]}, {'corners': [2, 127.0]}, {'regates_exitosos': [3, 76.0]}, {'faltas_recibidas': [2, 79.0]}]"
Marc Roca,ESP,26,MC,21,betis,osasuna,1,86,0,0,0.0,0.0,2,2,0,44,75.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,1,0,0,0,30,133.0,78.0,2,0,0,0.0,23_24,11,29/10/2023,1,[]
William Carvalho,POR,31,MC,14,betis,osasuna,0,4,0,0,0.0,0.0,0,0,0,13,69.2,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,35.0,3.0,0,0,0,0.0,23_24,11,29/10/2023,1,[]
Guido Rodríguez,ARG,29,MC,5,betis,osasuna,1,90,0,0,0.0,0.0,1,1,0,44,86.4,0,0,0.0,0.0,0.0,8,1,2,0,1,3,0,3,4,2,2,0,33,127.0,35.0,0,1,0,100.0,23_24,11,29/10/2023,1,[]
Juan Miranda,ESP,23,DF,3,betis,osasuna,1,86,0,0,0.0,0.0,0,0,0,56,82.1,0,0,0.0,0.0,0.0,3,2,0,0,0,3,0,3,1,1,0,1,33,172.0,76.0,3,1,2,33.3,23_24,11,29/10/2023,1,[]
Abner,BRA,23,DF,20,betis,osasuna,0,4,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,14.0,4.0,0,0,1,0.0,23_24,11,29/10/2023,1,[]
Chadi Riad,MAR,20,DF,28,betis,osasuna,1,90,0,0,0.0,0.0,0,0,0,49,89.8,0,0,0.0,0.0,0.0,6,0,0,0,0,1,1,0,7,0,0,0,36,183.0,98.0,0,6,4,60.0,23_24,11,29/10/2023,1,[]
Germán Pezzella,ARG,32,DF,6,betis,osasuna,1,90,0,0,0.0,0.0,0,0,0,53,71.7,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,3,0,0,0,36,193.0,99.0,1,4,1,80.0,23_24,11,29/10/2023,1,"[{'despejes': [5, 150.0]}]"
Héctor Bellerín,ESP,28,DF,2,betis,osasuna,1,90,0,0,0.0,0.0,0,0,0,61,77.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,2,4,4,0,34,180.0,80.0,1,1,1,50.0,23_24,11,29/10/2023,1,"[{'rojas': [10, 1.0]}]"
Claudio Bravo,CHI,40,PT,1,betis,osasuna,1,90,0,0,0.0,0.0,0,0,0,28,78.6,0,0,1.0,0.0,0.3,5,0,0,0,0,0,0,0,0,0,0,0,18,96.0,73.0,0,1,0,100.0,23_24,11,29/10/2023,1,[]
Ante Budimir,CRO,32,DT,17,osasuna,betis,1,88,0,0,0.0,0.0,1,1,0,11,45.5,0,0,0.0,0.0,0.0,2,3,0,0,0,1,0,1,1,0,0,0,8,10.0,5.0,0,4,5,44.4,23_24,11,29/10/2023,0,"[{'goles': [5, 17.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [7, 3.0]}, {'tiros_puerta': [10, 31.0]}]"
Pablo Ibáñez,ESP,25,DT,19,osasuna,betis,0,2,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,11,29/10/2023,0,"[{'apariciones_suplente': [10, 21.0]}]"
Moi Gómez,ESP,29,DT,16,osasuna,betis,1,90,0,0,0.0,0.1,0,0,0,65,86.2,1,0,0.0,0.0,0.0,1,6,5,0,3,2,0,2,0,1,1,0,49,207.0,79.0,0,0,0,0.0,23_24,11,29/10/2023,0,"[{'apariciones_suplente': [10, 20.0]}]"
Ezequiel Ávila,ARG,29,DT,9,osasuna,betis,1,45,0,0,0.0,0.0,0,0,0,22,72.7,0,0,0.0,0.0,0.0,2,0,3,0,3,2,0,2,0,0,0,0,14,64.0,31.0,1,2,2,50.0,23_24,11,29/10/2023,0,"[{'rojas': [8, 1.0]}]"
Raúl,ESP,22,DT,23,osasuna,betis,0,45,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,1,3,2,0,2,0,0,0,1,0,0,0,11,23.0,9.0,0,0,2,0.0,23_24,11,29/10/2023,0,"[{'apariciones_suplente': [6, 22.0]}]"
