player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Jørgen Strand Larsen,DT,celta,sevilla,1,81,0,0,0.9,0.0,5,4,1,15,66.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,2,0,0,13,33.0,14.0,0,1,6,14.3,23_24,12,04/11/2023,1,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Franco Cervi,DT,celta,sevilla,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,0,0,0,2,6.0,1.0,0,0,0,0.0,23_24,12,04/11/2023,1,[]
Iago Aspas,DT,celta,sevilla,1,68,0,1,0.2,0.5,2,2,0,31,74.2,0,0,0.0,0.0,0.0,11,0,1,0,1,1,0,1,1,1,1,0,27,136.0,88.0,3,0,1,0.0,23_24,12,04/11/2023,1,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Carlos Dotor,DT,celta,sevilla,0,22,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,3,23.0,17.0,0,0,1,0.0,23_24,12,04/11/2023,1,[]
Jonathan Bamba,MC,celta,sevilla,1,80,0,0,0.1,0.0,3,2,1,29,55.2,0,0,0.0,0.0,0.0,4,0,3,0,3,2,0,2,1,6,3,3,28,161.0,106.0,4,0,0,0.0,23_24,12,04/11/2023,1,[]
Anastasios Douvikas,MC,celta,sevilla,0,10,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,0,0,1,0.0,23_24,12,04/11/2023,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Hugo Sotelo,MC,celta,sevilla,1,68,0,0,0.0,0.0,0,0,0,44,77.3,0,0,0.0,0.0,0.0,5,2,2,0,2,1,0,1,1,0,0,0,23,90.0,30.0,0,0,0,0.0,23_24,12,04/11/2023,1,[]
Fran Beltrán,MC,celta,sevilla,0,22,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,8.0,6.0,0,0,0,0.0,23_24,12,04/11/2023,1,[]
Renato Tapia,MC,celta,sevilla,1,64,0,0,0.0,0.0,1,1,0,25,84.0,2,1,0.0,0.0,0.0,4,3,3,0,2,3,0,3,4,1,1,0,10,39.0,15.0,0,1,0,100.0,23_24,12,04/11/2023,1,"[{'rojas': [10, 1.0]}]"
Óscar Mingueza,MC,celta,sevilla,1,90,0,0,0.0,0.3,0,0,0,42,71.4,0,0,0.0,0.0,0.0,3,2,2,0,1,2,1,1,2,0,0,0,16,79.0,40.0,1,1,2,33.3,23_24,12,04/11/2023,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
