player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Willian José,BRA,31,DT,12,betis,mallorca,1,68,1,0,0.3,0.1,2,1,1,24,79.2,0,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,1,0,0,0,27,86.0,23.0,1,3,1,75.0,23_24,12,04/11/2023,1,"[{'rojas': [10, 1.0]}]"
Abde Ezzalzouli,MAR,21,DT,7,betis,mallorca,0,22,0,0,0.1,0.0,2,2,0,10,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,11,193.0,159.0,5,1,0,100.0,23_24,12,04/11/2023,1,"[{'apariciones_suplente': [6, 22.0]}]"
Ayoze Pérez,ESP,30,DT,10,betis,mallorca,1,90,1,0,0.7,0.3,5,4,1,26,92.3,0,0,0.0,0.0,0.0,11,1,0,0,0,2,0,2,0,4,3,1,31,196.0,119.0,5,0,2,0.0,23_24,12,04/11/2023,1,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Assane Diao,SEN,18,DT,38,betis,mallorca,1,60,0,0,0.5,0.0,2,2,0,15,80.0,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,5,2,3,18,166.0,84.0,2,1,1,50.0,23_24,12,04/11/2023,1,[]
Luiz Henrique,BRA,22,DT,11,betis,mallorca,0,30,0,1,0.2,0.1,1,1,0,15,86.7,0,0,0.0,0.0,0.0,6,0,0,0,0,2,0,2,0,1,0,1,16,124.0,59.0,3,1,0,100.0,23_24,12,04/11/2023,1,[]
Isco,ESP,31,MC,22,betis,mallorca,1,86,0,0,0.2,0.1,5,4,1,73,87.7,0,0,0.0,0.0,0.0,10,1,1,0,1,0,0,0,0,6,2,4,70,440.0,229.0,7,0,3,0.0,23_24,12,04/11/2023,1,"[{'pases_clave': [4, 81.0]}, {'corners': [2, 127.0]}, {'regates_exitosos': [3, 76.0]}, {'faltas_recibidas': [2, 79.0]}]"
Nabil Fekir,FRA,30,MC,8,betis,mallorca,0,4,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,43.0,15.0,0,0,0,0.0,23_24,12,04/11/2023,1,[]
Marc Roca,ESP,26,MC,21,betis,mallorca,1,90,0,0,0.1,0.0,3,3,0,52,82.7,0,0,0.0,0.0,0.0,6,3,1,0,0,2,1,1,1,2,1,1,43,223.0,71.0,0,1,0,100.0,23_24,12,04/11/2023,1,[]
Guido Rodríguez,ARG,29,MC,5,betis,mallorca,1,90,0,0,0.0,0.0,0,0,0,47,97.9,0,0,0.0,0.0,0.0,6,3,3,0,0,0,0,0,1,0,0,0,38,152.0,59.0,0,0,3,0.0,23_24,12,04/11/2023,1,[]
Juan Miranda,ESP,23,DF,3,betis,mallorca,1,90,0,1,0.0,0.7,0,0,0,67,83.6,0,0,0.0,0.0,0.0,14,2,1,0,0,0,0,0,3,0,0,0,49,192.0,133.0,7,0,0,0.0,23_24,12,04/11/2023,1,[]
