player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Kiké,DT,alaves,almeria,1,67,0,0,0.5,0.1,4,3,1,8,75.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,1,1,0,1,8,36.0,0.0,0,2,1,66.7,23_24,12,1
Samu Omorodion,DT,alaves,almeria,0,23,0,0,0.1,0.0,2,2,0,4,75.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,6,16.0,8.0,1,0,1,0.0,23_24,12,1
Luis Rioja,DT,alaves,almeria,1,82,0,0,0.1,0.5,2,2,0,43,60.5,1,0,0.0,0.0,0.0,6,1,0,0,0,2,0,2,1,1,0,1,37,236.0,143.0,4,0,0,0.0,23_24,12,1
Alex Sola,DT,alaves,almeria,0,8,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0,0,0,0.0,23_24,12,1
Ianis Hagi,DT,alaves,almeria,1,67,0,0,0.9,0.3,1,1,0,27,70.4,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,1,0,0,0,19,68.0,40.0,1,0,0,0.0,23_24,12,1
Abde Rebbach,DT,alaves,almeria,0,23,0,0,0.0,0.3,0,0,0,13,46.2,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,0,1,1,0,11,49.0,25.0,2,0,2,0.0,23_24,12,1
Jon Guridi,MC,alaves,almeria,1,90,0,0,0.3,0.1,3,3,0,27,63.0,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,1,1,0,17,101.0,49.0,2,2,3,40.0,23_24,12,1
Ander Guevara,MC,alaves,almeria,1,90,0,0,0.1,0.0,2,2,0,60,76.7,0,0,0.0,0.0,0.0,8,6,5,0,0,1,0,1,2,0,0,0,38,286.0,145.0,6,2,2,50.0,23_24,12,1
Antonio Blanco,MC,alaves,almeria,1,90,0,0,0.2,0.0,5,4,1,45,80.0,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,0,0,0,0,38,159.0,76.0,1,2,3,40.0,23_24,12,1
Javi López,DF,alaves,almeria,1,90,0,0,0.0,0.0,0,0,0,55,76.4,0,0,0.0,0.0,0.0,6,1,1,0,0,1,0,1,3,2,1,1,31,195.0,102.0,4,0,0,0.0,23_24,12,1
Aleksandar Sedlar,DF,alaves,almeria,1,89,1,0,0.2,0.0,2,1,1,33,90.9,0,0,0.0,0.0,0.0,16,1,0,0,0,2,0,2,4,1,0,0,23,107.0,56.0,0,2,5,28.6,23_24,12,1
Rafa Marín,DF,alaves,almeria,0,1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,6.0,3.0,0,0,0,0.0,23_24,12,1
Abdel Abqar,DF,alaves,almeria,1,90,0,0,0.1,0.0,1,1,0,22,81.8,0,0,0.0,0.0,0.0,7,0,1,0,1,1,1,0,3,0,0,0,17,113.0,71.0,1,0,0,0.0,23_24,12,1
Andoni Gorosabel,DF,alaves,almeria,1,82,0,0,0.0,0.0,0,0,0,37,81.1,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,1,0,1,25,102.0,38.0,1,0,0,0.0,23_24,12,1
Nahuel Tenaglia,DF,alaves,almeria,0,8,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,0,100.0,23_24,12,1
Antonio Sivera,PT,alaves,almeria,1,90,0,0,0.0,0.0,0,0,0,23,60.9,0,0,0.0,100.0,0.5,9,0,0,0,0,0,0,0,0,0,0,0,16,106.0,77.0,0,0,0,0.0,23_24,12,1
Léo Baptistão,DT,almeria,alaves,1,70,0,0,0.0,0.0,0,0,0,18,55.6,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,1,2,0,2,11,19.0,4.0,0,7,2,77.8,23_24,12,0
Marko Milovanović,DT,almeria,alaves,0,20,0,0,0.0,0.0,0,0,0,5,40.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,3,0,0,0,1,2.0,2.0,0,3,1,75.0,23_24,12,0
Largie Ramazani,DT,almeria,alaves,1,86,0,0,0.1,0.1,2,2,0,12,66.7,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,1,3,0,3,17,149.0,87.0,2,0,0,0.0,23_24,12,0
Marciano Tchami,DT,almeria,alaves,0,4,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,32.0,7.0,1,0,0,0.0,23_24,12,0
Arnau Puigmal,DT,almeria,alaves,1,45,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,0,0,0,5,20.0,3.0,0,0,0,0.0,23_24,12,0
Sergio Arribas,DT,almeria,alaves,0,45,0,0,0.2,0.0,2,1,1,17,82.4,0,0,0.0,0.0,0.0,2,3,1,0,0,0,0,0,0,2,1,1,13,96.0,67.0,2,0,0,0.0,23_24,12,0
Gonzalo Melero,MC,almeria,alaves,1,45,0,0,0.0,0.0,0,0,0,11,63.6,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,2,1,1,0,10,41.0,16.0,0,1,2,33.3,23_24,12,0
Adri Embarba,MC,almeria,alaves,0,45,0,0,0.2,0.0,3,2,1,15,26.7,0,0,0.0,0.0,0.0,1,4,1,0,0,2,0,2,1,2,0,2,15,154.0,72.0,3,0,0,0.0,23_24,12,0
Lucas Robertone,MC,almeria,alaves,1,70,0,0,0.0,0.2,2,1,1,34,76.5,1,0,0.0,0.0,0.0,8,1,1,0,1,1,0,1,2,0,0,0,22,88.0,31.0,0,0,1,0.0,23_24,12,0
Iddrisu Baba,MC,almeria,alaves,0,20,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,3,0,0,0,6,37.0,29.0,0,0,0,0.0,23_24,12,0
Dion Lopy,MC,almeria,alaves,1,90,0,0,0.0,0.0,0,0,0,25,84.0,0,0,0.0,0.0,0.0,6,1,0,0,0,1,0,1,4,2,1,1,16,140.0,82.0,1,2,1,66.7,23_24,12,0
Sergio Akieme,DF,almeria,alaves,1,90,0,0,0.0,0.0,0,0,0,32,68.8,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,0,0,0,15,114.0,72.0,1,0,1,0.0,23_24,12,0
