player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Hugo Duro,DT,valencia,granada,1,72,0,0,0.0,0.0,0,0,0,13,61.5,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,0,0,0,0,9,31.0,1.0,0,1,2,33.3,23_24,12,1
Hugo Guillamón,MC,valencia,granada,0,18,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,3,0,0,0,7,25.0,10.0,0,0,0,0.0,23_24,12,1
Diego López,DT,valencia,granada,1,90,0,0,0.1,0.1,2,2,0,24,62.5,1,0,0.0,0.0,0.0,3,1,1,0,1,2,0,2,0,1,1,0,28,134.0,32.0,2,3,2,60.0,23_24,12,1
Selim Amallah,MC,valencia,granada,1,23,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,0,0,0,0,5,9.0,0.0,0,0,2,0.0,23_24,12,1
Sergi Canós,MC,valencia,granada,0,49,0,0,0.1,0.0,2,1,1,9,44.4,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,0,0,0,10,30.0,3.0,0,0,0,0.0,23_24,12,1
Dimitri Foulquier,MC,valencia,granada,0,18,0,0,0.1,0.0,1,1,0,3,100.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,1,4,10.0,1.0,0,0,1,0.0,23_24,12,1
Javier Guerra,MC,valencia,granada,1,90,0,0,0.1,0.0,2,2,0,26,80.8,1,0,0.0,0.0,0.0,6,4,3,0,2,0,0,0,2,5,2,2,30,173.0,81.0,0,0,1,0.0,23_24,12,1
José Luis García Vayá,MC,valencia,granada,1,88,1,0,0.9,0.0,1,1,0,49,73.5,0,0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,2,1,1,38,168.0,66.0,2,0,1,0.0,23_24,12,1
Roman Yaremchuk,MC,valencia,granada,0,2,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,2,9.0,0.0,0,0,1,0.0,23_24,12,1
Francisco Perez,MC,valencia,granada,1,90,0,0,0.0,0.0,1,1,0,31,74.2,0,0,0.0,0.0,0.0,5,1,1,0,1,1,0,1,0,3,2,0,32,137.0,79.0,2,0,0,0.0,23_24,12,1
José Luis Gayà,DF,valencia,granada,1,90,0,0,0.0,0.1,1,1,0,57,77.2,0,0,0.0,0.0,0.0,9,5,6,0,2,1,0,1,2,0,0,0,35,122.0,56.0,0,0,0,0.0,23_24,12,1
Gabriel Paulista,DF,valencia,granada,1,90,0,0,0.0,0.0,0,0,0,57,80.7,1,0,0.0,0.0,0.0,5,1,1,0,0,1,1,0,5,0,0,0,40,228.0,151.0,0,4,1,80.0,23_24,12,1
Cristhian Mosquera,DF,valencia,granada,1,89,0,0,0.0,0.0,0,0,0,63,90.5,0,0,0.0,0.0,0.0,9,3,2,0,1,4,2,2,5,0,0,0,50,295.0,171.0,1,2,0,100.0,23_24,12,1
Yarek Gasiorowski,DF,valencia,granada,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,100.0,23_24,12,1
Thierry Correia,DF,valencia,granada,1,90,0,0,0.0,0.0,0,0,0,66,62.1,0,0,0.0,0.0,0.0,7,3,3,0,1,0,0,0,2,4,1,2,46,143.0,73.0,0,0,2,0.0,23_24,12,1
Giorgi Mamardashvili,PT,valencia,granada,1,90,0,0,0.0,0.0,0,0,0,27,66.7,0,0,0.0,100.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,21,88.0,45.0,0,0,0,0.0,23_24,12,1
Lucas Boyé,DT,granada,valencia,1,90,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,4,2,1,0,1,2,0,2,0,8,3,4,21,116.0,36.0,1,2,5,28.6,23_24,12,0
Óscar Melendo,DT,granada,valencia,1,72,0,0,0.0,0.0,1,1,0,18,83.3,0,0,0.0,0.0,0.0,2,3,2,0,1,1,0,1,0,2,0,1,19,122.0,49.0,2,0,1,0.0,23_24,12,0
Antonio Puertas,MC,granada,valencia,0,18,0,0,0.3,0.0,1,1,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,9,45.0,11.0,0,1,0,100.0,23_24,12,0
Bryan Zaragoza,DT,granada,valencia,1,90,0,0,0.0,0.0,1,1,0,22,45.5,1,0,0.0,0.0,0.0,0,1,3,0,2,0,0,0,0,9,2,5,29,176.0,45.0,1,0,0,0.0,23_24,12,0
Myrto Uzuni,MC,granada,valencia,1,81,0,0,0.0,0.0,1,1,0,4,75.0,0,0,0.0,0.0,0.0,3,3,2,0,0,0,0,0,0,1,1,0,6,28.0,20.0,1,0,2,0.0,23_24,12,0
José Callejón,DT,granada,valencia,0,9,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,4,11.0,3.0,0,1,0,100.0,23_24,12,0
Gerard Gumbau,MC,granada,valencia,1,72,0,0,0.0,0.0,1,0,1,35,85.7,1,0,0.0,0.0,0.0,3,1,0,0,0,3,2,1,2,0,0,0,20,50.0,15.0,0,0,0,0.0,23_24,12,0
Sergio Ruiz,MC,granada,valencia,0,18,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,7,33.0,18.0,0,0,0,0.0,23_24,12,0
Gonzalo Villar,MC,granada,valencia,1,90,0,0,0.0,0.0,0,0,0,59,84.7,1,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,4,2,1,0,51,290.0,164.0,1,1,0,100.0,23_24,12,0
Carlos Neva,DF,granada,valencia,1,72,0,0,0.0,0.0,1,1,0,41,73.2,0,0,0.0,0.0,0.0,3,0,0,0,0,2,0,2,2,0,0,0,17,34.0,14.0,0,0,1,0.0,23_24,12,0
Álvaro Carreras,DF,granada,valencia,0,18,0,0,0.0,0.0,0,0,0,13,92.3,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,10,39.0,21.0,0,0,0,0.0,23_24,12,0
Raúl Torrente,DF,granada,valencia,1,90,0,0,0.0,0.0,0,0,0,59,62.7,1,0,0.0,0.0,0.0,1,3,1,0,0,1,0,1,6,0,0,0,42,227.0,88.0,0,4,1,80.0,23_24,12,0
Ignasi Miquel,DF,granada,valencia,1,90,0,0,0.0,0.0,0,0,0,48,81.3,0,0,0.0,0.0,0.0,5,0,0,0,0,1,1,0,6,0,0,0,33,109.0,36.0,0,1,1,50.0,23_24,12,0
Ricard Sánchez,DF,granada,valencia,1,81,0,0,0.0,0.0,0,0,0,44,79.5,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,1,0,24,86.0,49.0,0,2,0,100.0,23_24,12,0
Wilson Manafá,DF,granada,valencia,0,9,0,0,0.0,0.3,0,0,0,11,72.7,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,6,49.0,38.0,2,1,0,100.0,23_24,12,0
André Ferreira,PT,granada,valencia,1,90,0,0,0.0,0.0,0,0,0,35,62.9,0,0,1.0,100.0,1.1,6,0,0,0,0,0,0,0,0,0,0,0,21,135.0,45.0,0,0,0,0.0,23_24,12,0
