player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ante Budimir,DT,17,osasuna,las palmas,1,87,1,0,0.6,0.0,4,2,2,21,57.1,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,1,0,1,14,72.0,16.0,2,10,3,76.9,23_24,13,11/11/2023,1,"[{'goles': [5, 17.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [7, 3.0]}, {'tiros_puerta': [10, 31.0]}]"
Raúl,DT,23,osasuna,las palmas,0,3,0,0,0.1,0.0,1,1,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0.0,23_24,13,11/11/2023,1,"[{'apariciones_suplente': [6, 22.0]}]"
Ezequiel Ávila,DT,9,osasuna,las palmas,1,80,0,0,0.0,0.4,1,1,0,34,64.7,0,0,0.0,0.0,0.0,5,0,0,0,0,2,0,2,1,4,1,2,21,129.0,62.0,3,2,2,50.0,23_24,13,11/11/2023,1,"[{'rojas': [8, 1.0]}]"
José Arnaiz,DT,20,osasuna,las palmas,0,10,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,2,0,1,3,35.0,32.0,1,0,1,0.0,23_24,13,11/11/2023,1,[]
Rubén Peña,DT,15,osasuna,las palmas,1,66,0,0,0.0,0.0,0,0,0,24,50.0,0,0,0.0,0.0,0.0,5,1,1,0,1,3,0,3,0,2,0,2,20,68.0,19.0,0,0,1,0.0,23_24,13,11/11/2023,1,[]
Kike Barja,DT,11,osasuna,las palmas,0,24,0,0,0.0,0.0,0,0,0,7,57.1,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,1,0,6,67.0,39.0,2,0,1,0.0,23_24,13,11/11/2023,1,"[{'apariciones_suplente': [5, 11.0]}]"
Aimar Oroz,MC,10,osasuna,las palmas,1,87,0,0,0.0,0.0,0,0,0,36,86.1,0,0,0.0,0.0,0.0,3,1,2,0,2,1,0,1,1,1,0,1,31,152.0,47.0,1,1,1,50.0,23_24,13,11/11/2023,1,"[{'faltas_recibidas': [5, 64.0]}]"
Pablo Ibáñez,MC,19,osasuna,las palmas,0,3,0,0,0.1,0.0,2,2,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,1,12.0,0.0,0,2,2,50.0,23_24,13,11/11/2023,1,"[{'apariciones_suplente': [10, 21.0]}]"
Moi Gómez,MC,16,osasuna,las palmas,1,66,0,0,0.0,0.0,0,0,0,38,81.6,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,1,1,0,1,24,100.0,49.0,1,1,1,50.0,23_24,13,11/11/2023,1,"[{'apariciones_suplente': [10, 20.0]}]"
Jon Moncayola,MC,7,osasuna,las palmas,0,24,0,1,0.0,0.3,0,0,0,18,55.6,0,0,0.0,0.0,0.0,10,2,2,0,0,1,0,1,0,0,0,0,7,9.0,7.0,0,1,0,100.0,23_24,13,11/11/2023,1,"[{'rojas': [10, 1.0]}]"
Lucas Torró,MC,6,osasuna,las palmas,1,90,0,0,0.0,0.0,1,1,0,44,68.2,0,0,0.0,0.0,0.0,5,2,0,0,0,0,0,0,0,2,2,0,21,113.0,29.0,0,3,3,50.0,23_24,13,11/11/2023,1,"[{'faltas_cometidas': [1, 75.0]}]"
Johan Mojica,DF,22,osasuna,las palmas,1,90,0,0,0.0,0.2,0,0,0,67,67.2,0,0,0.0,0.0,0.0,8,2,1,0,0,1,0,1,1,3,1,2,30,165.0,69.0,1,2,2,50.0,23_24,13,11/11/2023,1,"[{'centros_area': [3, 25.0]}]"
David García,DF,5,osasuna,las palmas,1,90,0,0,0.1,0.0,2,1,1,49,91.8,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,0,0,0,27,75.0,42.0,0,4,0,100.0,23_24,13,11/11/2023,1,[]
Catena,DF,24,osasuna,las palmas,1,90,0,0,0.0,0.0,0,0,0,39,74.4,1,0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,1,0,0,0,26,90.0,41.0,0,1,3,25.0,23_24,13,11/11/2023,1,"[{'rojas': [10, 1.0]}]"
Jesús Areso,DF,12,osasuna,las palmas,1,90,0,0,0.0,0.0,0,0,0,47,70.2,0,0,0.0,0.0,0.0,3,2,0,0,0,2,0,2,2,6,2,4,18,150.0,95.0,3,4,0,100.0,23_24,13,11/11/2023,1,"[{'centros_area': [4, 24.0]}]"
Sergio Herrera,PT,1,osasuna,las palmas,1,90,0,0,0.0,0.0,0,0,0,43,65.1,0,0,1.0,0.0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,28,205.0,100.0,0,0,0,0.0,23_24,13,11/11/2023,1,"[{'minutos': [3, 3330.0]}, {'porterias_cero': [7, 8.0]}, {'paradas': [2, 131.0]}, {'save_pct': [7, 75.3]}]"
