player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Vinicius Júnior,DT,real madrid,valencia,1,81,2,0,0.7,0.1,5,2,3,28,75.0,0,0,0.0,0.0,0.0,19,1,1,0,1,1,0,1,0,13,7,5,35,245.0,155.0,5,0,0,0.0
Joselu,DT,real madrid,valencia,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0
Rodrygo,DT,real madrid,valencia,1,90,2,2,0.9,0.4,5,3,2,27,81.5,0,0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,11,4,3,29,221.0,111.0,6,0,1,0.0
Brahim Díaz,MC,real madrid,valencia,1,70,0,0,0.0,0.0,0,0,0,31,74.2,0,0,0.0,0.0,0.0,5,2,2,0,0,1,0,1,0,4,2,1,30,186.0,121.0,4,0,0,0.0
Lucas Vázquez,DF,real madrid,valencia,0,20,0,0,0.0,0.0,0,0,0,13,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,12,67.0,38.0,3,0,0,0.0
Toni Kroos,MC,real madrid,valencia,1,90,0,1,0.1,0.0,1,1,0,83,91.6,0,0,0.0,0.0,0.0,9,5,5,0,0,0,0,0,0,0,0,0,62,274.0,102.0,1,0,0,0.0
Eduardo Camavinga,MC,real madrid,valencia,1,90,0,0,0.0,0.0,1,1,0,57,87.7,1,0,0.0,0.0,0.0,4,1,0,0,0,2,1,1,1,4,2,1,43,261.0,121.0,3,0,1,0.0
Federico Valverde,MC,real madrid,valencia,1,59,0,0,0.0,0.0,0,0,0,40,87.5,0,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,2,0,0,0,27,169.0,38.0,1,1,0,100.0
Luka Modrić,MC,real madrid,valencia,0,31,0,0,0.0,0.0,0,0,0,29,79.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,1,1,1,0,21,117.0,55.0,2,0,0,0.0
Ferland Mendy,DF,real madrid,valencia,1,70,0,0,0.0,0.3,0,0,0,52,94.2,0,0,0.0,0.0,0.0,10,1,1,0,1,0,0,0,2,2,1,1,32,149.0,43.0,0,0,0,0.0
Fran Garcia,DF,real madrid,valencia,0,20,0,1,0.0,0.3,0,0,0,15,73.3,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,13,104.0,76.0,3,0,0,0.0
David Alaba,DF,real madrid,valencia,1,90,0,0,0.1,0.0,2,2,0,68,86.8,0,0,0.0,0.0,0.0,4,3,1,0,0,0,0,0,2,0,0,0,55,248.0,121.0,0,0,0,0.0
Nacho,DF,real madrid,valencia,1,90,0,0,0.0,0.0,0,0,0,61,96.7,0,0,0.0,0.0,0.0,6,1,0,0,0,2,1,1,4,0,0,0,42,202.0,139.0,2,0,0,0.0
Dani Carvajal,DF,real madrid,valencia,1,81,1,0,0.0,0.0,2,0,2,51,98.0,0,0,0.0,0.0,0.0,17,1,1,0,0,1,0,1,1,1,0,1,27,65.0,26.0,0,0,0,0.0
