player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Juanmi Latasa,ESP,22,DT,14,getafe,almeria,1,71,0,0,0.2,0.4,3,3,0,28,71.4,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,1,0,1,17,63.0,8.0,0,5,3,62.5,23_24,14,25/11/2023,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [5, 66.0]}]"
Carles Aleñá,ESP,25,DT,11,getafe,almeria,0,19,0,0,0.1,0.0,2,2,0,5,80.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,1,0,0,0,5,24.0,13.0,1,1,0,100.0,23_24,14,25/11/2023,1,[]
Borja Mayoral,ESP,26,DT,19,getafe,almeria,1,88,1,0,0.5,0.2,4,2,2,33,81.8,0,0,0.0,0.0,0.0,10,0,1,0,1,0,0,0,1,1,0,1,22,77.0,39.0,2,3,3,50.0,23_24,14,25/11/2023,1,"[{'goles': [8, 15.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [3, 4.0]}, {'goles_por_tiro': [7, 0.26]}]"
Jaime Mata,ESP,35,DT,7,getafe,almeria,0,2,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,1,34.0,0.0,0,0,0,0.0,23_24,14,25/11/2023,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [8, 63.0]}]"
Mason Greenwood,ENG,22,MC,12,getafe,almeria,1,88,1,0,0.1,0.1,3,1,2,36,72.2,0,0,0.0,0.0,0.0,11,0,1,0,1,0,0,0,0,4,2,2,18,120.0,73.0,0,0,1,0.0,23_24,14,25/11/2023,1,"[{'tiros_puerta': [10, 31.0]}, {'regates_exitosos': [4, 72.0]}, {'rojas': [10, 1.0]}]"
Fabrizio Angileri,ARG,29,MC,3,getafe,almeria,0,2,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,1,4.0,0.0,0,1,0,100.0,23_24,14,25/11/2023,1,"[{'rojas': [10, 1.0]}]"
Nemanja Maksimović,SRB,28,MC,20,getafe,almeria,1,90,0,0,0.0,0.0,0,0,0,35,57.1,0,0,0.0,0.0,0.0,3,2,1,0,1,0,0,0,1,0,0,0,7,82.0,6.0,0,3,2,60.0,23_24,14,25/11/2023,1,"[{'intercepciones': [4, 46.0]}, {'minutos': [9, 3265.0]}]"
Luis Milla,ESP,29,MC,5,getafe,almeria,1,90,0,0,0.0,0.1,1,1,0,65,86.2,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,0,1,1,0,23,115.0,58.0,1,0,2,0.0,23_24,14,25/11/2023,1,"[{'pases_clave': [3, 70.0]}, {'corners': [3, 113.0]}]"
Carmona,ESP,21,MC,18,getafe,almeria,1,29,0,0,0.0,0.0,1,0,1,13,61.5,0,0,0.0,0.0,0.0,0,0,2,0,2,1,0,1,0,1,0,1,7,40.0,6.0,0,2,1,66.7,23_24,14,25/11/2023,1,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
Óscar Rodríguez Arnaiz,ESP,25,MC,9,getafe,almeria,0,61,0,0,0.1,0.0,1,1,0,38,71.1,0,0,0.0,0.0,0.0,6,3,2,0,0,0,0,0,0,1,0,1,15,88.0,51.0,1,1,4,20.0,23_24,14,25/11/2023,1,"[{'rojas': [8, 1.0]}]"
Diego Rico,ESP,30,DF,16,getafe,almeria,1,90,0,0,0.0,0.1,1,1,0,65,75.4,1,0,0.0,0.0,0.0,4,4,3,0,1,1,0,1,3,3,1,2,16,95.0,28.0,1,2,1,66.7,23_24,14,25/11/2023,1,"[{'centros_area': [1, 32.0]}, {'intercepciones': [9, 41.0]}]"
Omar Alderete,PAR,26,DF,15,getafe,almeria,1,45,0,1,0.1,0.0,2,2,0,29,65.5,1,0,0.0,0.0,0.0,7,1,0,0,0,3,2,1,5,0,0,0,13,52.0,40.0,0,3,0,100.0,23_24,14,25/11/2023,1,"[{'rojas': [10, 1.0]}]"
Djené,TOG,31,DF,2,getafe,almeria,0,45,0,0,0.0,0.0,0,0,0,17,64.7,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,0,0,0,3,17.0,7.0,0,2,2,50.0,23_24,14,25/11/2023,1,"[{'amarillas': [2, 14.0]}, {'rojas': [10, 1.0]}]"
Gastón Álvarez,URU,23,DF,4,getafe,almeria,1,90,0,0,0.0,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,4,0,0,0,8,45.0,29.0,0,2,0,100.0,23_24,14,25/11/2023,1,[]
Damián Suárez,URU,35,DF,22,getafe,almeria,1,90,0,0,0.0,0.0,0,0,0,37,83.8,0,0,0.0,0.0,0.0,6,3,5,0,2,2,2,0,4,4,3,1,11,98.0,68.0,3,2,1,66.7,23_24,14,25/11/2023,1,"[{'rojas': [10, 1.0]}]"
David Soria,ESP,30,PT,13,getafe,almeria,1,90,0,0,0.0,0.0,0,0,0,36,58.3,0,0,1.0,75.0,1.4,7,0,0,0,0,0,0,0,0,0,0,0,14,98.0,62.0,0,0,0,0.0,23_24,14,25/11/2023,1,"[{'minutos': [3, 3413.0]}, {'porterias_cero': [8, 10.0]}, {'paradas': [3, 118.0]}]"
Largie Ramazani,BEL,22,DT,7,almeria,getafe,1,82,1,0,0.8,0.1,2,0,2,15,40.0,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,19,81.0,38.0,2,0,4,0.0,23_24,14,25/11/2023,0,"[{'amarillas': [7, 11.0]}, {'rojas': [2, 2.0]}]"
Marciano Tchami,GNB,19,DT,34,almeria,getafe,0,8,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,19.0,1.0,0,0,1,0.0,23_24,14,25/11/2023,0,[]
Adri Embarba,ESP,31,DT,10,almeria,getafe,1,66,0,0,0.1,0.0,3,2,1,22,45.5,0,0,0.0,0.0,0.0,5,1,2,0,2,0,0,0,0,6,4,1,21,141.0,95.0,3,0,1,0.0,23_24,14,25/11/2023,0,"[{'corners': [6, 94.0]}]"
Lázaro,BRA,21,DT,14,almeria,getafe,0,24,0,0,0.2,0.0,2,2,0,13,69.2,0,0,0.0,0.0,0.0,5,1,1,0,0,1,0,1,0,3,2,1,9,52.0,28.0,0,1,0,100.0,23_24,14,25/11/2023,0,[]
Léo Baptistão,BRA,31,DT,12,almeria,getafe,1,90,0,0,0.5,0.0,2,2,0,33,36.4,1,0,0.0,0.0,0.0,-1,4,3,0,1,2,0,2,1,1,0,1,22,94.0,23.0,0,6,6,50.0,23_24,14,25/11/2023,0,"[{'rojas': [10, 1.0]}]"
Sergio Arribas,ESP,22,MC,19,almeria,getafe,1,83,0,0,0.0,0.0,1,1,0,29,82.8,0,0,0.0,0.0,0.0,4,1,2,0,1,1,0,1,0,4,2,2,20,110.0,70.0,1,1,1,50.0,23_24,14,25/11/2023,0,[]
Arnau Puigmal,ESP,22,MC,8,almeria,getafe,0,7,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,18.0,1.0,0,0,0,0.0,23_24,14,25/11/2023,0,[]
Lucas Robertone,ARG,26,MC,5,almeria,getafe,1,74,0,0,0.0,0.0,1,1,0,28,71.4,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,3,1,1,0,14,54.0,14.0,0,1,2,33.3,23_24,14,25/11/2023,0,"[{'intercepciones': [2, 51.0]}, {'amarillas': [7, 11.0]}]"
Gonzalo Melero,ESP,29,MC,11,almeria,getafe,0,16,0,0,0.0,0.0,0,0,0,11,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,11,93.0,52.0,2,0,0,0.0,23_24,14,25/11/2023,0,[]
Iddrisu Baba,GHA,27,MC,4,almeria,getafe,1,90,0,0,0.0,0.0,0,0,0,54,74.1,1,0,0.0,0.0,0.0,3,5,3,0,2,1,0,1,0,0,0,0,30,109.0,41.0,0,4,5,44.4,23_24,14,25/11/2023,0,[]
Sergio Akieme,ESP,25,DF,15,almeria,getafe,1,90,0,0,0.1,0.2,1,0,1,38,47.4,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,2,3,2,1,22,116.0,72.0,2,1,1,50.0,23_24,14,25/11/2023,0,[]
Édgar González,ESP,26,DF,3,almeria,getafe,1,90,0,0,0.1,0.0,1,1,0,36,80.6,1,0,0.0,0.0,0.0,1,3,2,0,0,1,0,1,3,0,0,0,21,69.0,27.0,0,2,2,50.0,23_24,14,25/11/2023,0,"[{'despejes': [9, 130.0]}, {'rojas': [10, 1.0]}]"
Chumi,ESP,24,DF,21,almeria,getafe,1,90,0,1,0.0,0.8,0,0,0,36,69.4,0,0,0.0,0.0,0.0,8,1,0,0,0,5,4,1,5,0,0,0,21,57.0,29.0,0,3,3,50.0,23_24,14,25/11/2023,0,[]
Houboulang Mendes,GNB,25,DF,24,almeria,getafe,1,67,0,0,0.0,0.0,0,0,0,31,71.0,0,0,0.0,0.0,0.0,-1,2,1,0,0,1,0,1,0,1,0,1,5,14.0,10.0,0,1,1,50.0,23_24,14,25/11/2023,0,[]
Alejandro Pozo Pozo,ESP,24,DF,17,almeria,getafe,0,23,0,0,0.0,0.1,0,0,0,23,87.0,0,0,0.0,0.0,0.0,4,2,1,0,0,2,0,2,0,0,0,0,17,80.0,38.0,0,0,0,0.0,23_24,14,25/11/2023,0,[]
Luís Maximiano,POR,24,PT,25,almeria,getafe,1,90,0,0,0.0,0.0,0,0,0,36,55.6,0,0,2.0,60.0,1.3,3,0,0,0,0,0,0,0,0,0,0,0,22,118.0,53.0,0,0,0,0.0,23_24,14,25/11/2023,0,"[{'paradas': [4, 111.0]}]"
