player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
José Luis Morales,DT,villarreal,osasuna,1,86,3,0,1.9,0.0,5,2,3,13,84.6,0,0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,1,2,1,1,16,106.0,91.0,4,0,1,0.0,23_24,14,1
Ben Brereton,DT,villarreal,osasuna,0,4,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,1,45.0,0.0,0,0,1,0.0,23_24,14,1
Gerard Moreno,DT,villarreal,osasuna,1,78,0,1,0.0,1.0,1,1,0,27,70.4,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,1,1,0,20,98.0,53.0,1,2,1,66.7,23_24,14,1
Manu Trigueros,MC,villarreal,osasuna,0,12,0,0,0.0,0.0,0,0,0,13,92.3,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,1,0,0,0,9,43.0,21.0,1,1,0,100.0,23_24,14,1
Alex Baena,MC,villarreal,osasuna,1,90,0,1,0.0,0.3,1,1,0,48,77.1,0,0,0.0,0.0,0.0,10,0,0,0,0,1,0,1,0,1,1,0,41,178.0,87.0,2,0,2,0.0,23_24,14,1
Étienne Capoue,MC,villarreal,osasuna,1,67,0,0,0.0,0.0,0,0,0,36,86.1,0,0,0.0,0.0,0.0,5,1,1,0,1,2,0,2,3,0,0,0,24,59.0,18.0,0,0,1,0.0,23_24,14,1
Santi Comesaña,MC,villarreal,osasuna,0,23,0,0,0.0,0.0,0,0,0,9,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,3.0,1.0,0,0,0,0.0,23_24,14,1
Daniel Parejo,MC,villarreal,osasuna,1,90,0,0,0.0,0.0,0,0,0,62,90.3,0,0,0.0,0.0,0.0,5,2,0,0,0,2,1,1,0,1,0,1,39,121.0,19.0,0,0,0,0.0,23_24,14,1
Adrià Altimira,MC,villarreal,osasuna,1,67,0,0,0.0,0.1,0,0,0,18,66.7,0,0,0.0,0.0,0.0,6,0,2,0,2,0,0,0,0,2,1,1,12,39.0,18.0,2,1,0,100.0,23_24,14,1
Ilias Akhomach,MC,villarreal,osasuna,0,23,0,0,0.0,0.0,0,0,0,8,75.0,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,2,0,0,0,7,49.0,13.0,0,0,0,0.0,23_24,14,1
Alfonso Pedraza,DF,villarreal,osasuna,1,86,0,0,0.1,0.1,1,1,0,48,79.2,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,2,1,1,35,133.0,29.0,2,1,0,100.0,23_24,14,1
Alberto Moreno,DF,villarreal,osasuna,0,4,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,25.0,18.0,1,0,0,0.0,23_24,14,1
