player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Sandro Ramírez,DT,9,las palmas,getafe,1,84,0,0,0.2,0.1,4,2,2,22,72.7,0,0,0.0,0.0,0.0,9,1,1,0,0,1,0,1,0,2,0,2,20,135.0,35.0,1,0,0,0.0,23_24,15,01/12/2023,1,[]
Cristian Herrera,DT,7,las palmas,getafe,0,6,1,0,0.9,0.0,1,0,1,4,100.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,4,20.0,0.0,0,0,0,0.0,23_24,15,01/12/2023,1,[]
Alberto Moleiro,DT,10,las palmas,getafe,1,89,0,0,0.0,0.0,1,1,0,43,76.7,0,0,0.0,0.0,0.0,6,0,2,0,2,1,0,1,0,3,2,1,27,214.0,117.0,4,0,0,0.0,23_24,15,01/12/2023,1,"[{'regates_exitosos': [9, 57.0]}]"
Benito Ramírez,DT,11,las palmas,getafe,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,15,01/12/2023,1,"[{'rojas': [8, 1.0]}]"
Munir El Haddadi,DT,17,las palmas,getafe,1,62,0,0,0.0,0.1,0,0,0,18,94.4,0,0,0.0,0.0,0.0,5,4,1,0,0,1,0,1,0,1,0,1,8,29.0,3.0,0,1,1,50.0,23_24,15,01/12/2023,1,"[{'faltas_recibidas': [4, 73.0]}]"
Máximo Perrone,MC,8,las palmas,getafe,0,28,0,0,0.0,0.0,0,0,0,28,92.9,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,10,45.0,22.0,0,0,2,0.0,23_24,15,01/12/2023,1,[]
Enzo Loiodice,MC,12,las palmas,getafe,1,62,0,0,0.0,0.0,0,0,0,34,82.4,0,0,0.0,0.0,0.0,6,4,2,0,0,0,0,0,0,0,0,0,13,79.0,36.0,0,2,1,66.7,23_24,15,01/12/2023,1,[]
Marvin,DT,2,las palmas,getafe,0,28,0,1,0.0,0.9,1,1,0,20,85.0,0,0,0.0,0.0,0.0,10,1,1,0,0,0,0,0,0,2,2,0,10,81.0,48.0,1,0,3,0.0,23_24,15,01/12/2023,1,[]
Kirian Rodríguez,MC,20,las palmas,getafe,1,89,0,1,0.0,0.4,1,0,1,115,87.0,0,0,0.0,0.0,0.0,12,0,0,0,0,1,1,0,0,0,0,0,59,199.0,98.0,0,0,1,0.0,23_24,15,01/12/2023,1,"[{'pases_ultimo_tercio': [3, 278.0]}]"
Daley Sinkgraven,MC,18,las palmas,getafe,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,15,01/12/2023,1,"[{'rojas': [10, 1.0]}]"
