player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Artem Dovbyk,DT,girona,valencia,1,90,0,0,0.1,0.0,1,1,0,8,87.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,12,26.0,9.0,0,1,1,50.0
Sávio,MC,girona,valencia,1,90,0,0,0.0,0.1,1,1,0,41,82.9,1,0,0.0,0.0,0.0,2,4,4,0,1,1,0,1,0,3,1,1,38,282.0,101.0,3,0,1,0.0
Iván Martín,MC,girona,valencia,1,81,0,0,0.0,0.0,1,1,0,70,85.7,0,0,0.0,0.0,0.0,2,3,4,0,3,1,0,1,0,1,1,0,60,356.0,216.0,4,0,1,0.0
Portu,MC,girona,valencia,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0
Aleix García,MC,girona,valencia,1,90,0,0,0.1,0.0,2,0,2,115,84.3,0,0,0.0,0.0,0.0,6,1,1,0,1,4,2,2,0,1,0,0,85,380.0,241.0,5,1,0,100.0
Yangel Herrera,MC,girona,valencia,1,12,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,14.0,0.0,0,0,2,0.0
Pablo Torre,MC,girona,valencia,0,68,0,0,0.0,0.1,0,0,0,30,83.3,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,4,1,2,31,133.0,32.0,1,0,1,0.0
Yan Couto,DF,girona,valencia,0,10,0,1,0.0,0.8,0,0,0,14,64.3,1,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,0,1,0,1,10,69.0,38.0,0,0,0,0.0
Miguel Gutiérrez,MC,girona,valencia,1,90,0,0,0.0,0.0,1,1,0,63,77.8,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,1,0,0,0,47,301.0,89.0,1,1,0,100.0
Viktor Tsyhankov,MC,girona,valencia,1,90,0,0,0.0,0.2,0,0,0,56,71.4,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,3,1,1,46,253.0,171.0,6,0,0,0.0
Daley Blind,DF,girona,valencia,1,90,0,0,0.0,0.0,0,0,0,101,90.1,1,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,1,0,0,0,76,435.0,306.0,5,2,0,100.0
