player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ante Budimir,CRO,32,DT,17,osasuna,real sociedad,1,74,0,1,0.1,0.2,3,3,0,13,53.8,1,0,0.0,0.0,0.0,9,0,0,0,0,1,1,0,4,2,1,1,9,29.0,19.0,1,14,7,66.7,23_24,15,02/12/2023,1,"[{'goles': [5, 17.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [7, 3.0]}, {'tiros_puerta': [10, 31.0]}]"
Raúl,ESP,23,DT,23,osasuna,real sociedad,0,16,0,0,0.0,0.0,0,0,0,4,0.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,1,1,4,29.0,14.0,1,3,3,50.0,23_24,15,02/12/2023,1,"[{'apariciones_suplente': [6, 22.0]}]"
Rubén García,ESP,30,DT,14,osasuna,real sociedad,1,63,0,0,0.0,0.0,0,0,0,17,52.9,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,1,1,0,1,9,19.0,5.0,0,1,4,20.0,23_24,15,02/12/2023,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Jon Moncayola,ESP,25,MC,7,osasuna,real sociedad,0,27,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,3,0,0,0,0,0.0,0.0,0,0,1,0.0,23_24,15,02/12/2023,1,"[{'rojas': [10, 1.0]}]"
Moi Gómez,ESP,29,MC,16,osasuna,real sociedad,1,90,1,0,0.3,0.0,2,1,1,22,63.6,0,0,0.0,0.0,0.0,10,2,0,0,0,1,1,0,3,1,0,1,16,65.0,38.0,0,0,1,0.0,23_24,15,02/12/2023,1,"[{'apariciones_suplente': [10, 20.0]}]"
Lucas Torró,ESP,29,MC,6,osasuna,real sociedad,1,90,0,0,0.0,0.0,1,0,1,20,65.0,0,0,0.0,0.0,0.0,6,1,3,0,2,0,0,0,6,0,0,0,11,54.0,12.0,0,3,4,42.9,23_24,15,02/12/2023,1,"[{'faltas_cometidas': [1, 75.0]}]"
Aimar Oroz,ESP,22,MC,10,osasuna,real sociedad,1,74,0,0,0.0,0.0,0,0,0,20,75.0,0,0,0.0,0.0,0.0,1,2,1,0,1,1,0,1,0,0,0,0,16,102.0,44.0,1,1,1,50.0,23_24,15,02/12/2023,1,"[{'faltas_recibidas': [5, 64.0]}]"
Ezequiel Ávila,ARG,29,DT,9,osasuna,real sociedad,0,16,0,0,0.1,0.0,1,1,0,7,71.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,5,48.0,30.0,1,0,1,0.0,23_24,15,02/12/2023,1,"[{'rojas': [8, 1.0]}]"
Johan Mojica,COL,31,DF,22,osasuna,real sociedad,1,54,0,0,0.0,0.1,0,0,0,20,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,14,62.0,32.0,1,0,1,0.0,23_24,15,02/12/2023,1,"[{'centros_area': [3, 25.0]}]"
Jorge Herrando,ESP,22,DF,28,osasuna,real sociedad,0,36,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0,0,1,0.0,23_24,15,02/12/2023,1,[]
