player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Abdón Prats,ESP,30,MC,9,mallorca,alaves,1,90,0,0,0.2,0.4,1,1,0,15,46.7,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,0,0,0,17,52.0,19.0,0,1,5,16.7,23_24,15,03/12/2023,1,"[{'apariciones_suplente': [5, 23.0]}]"
Amath,SEN,27,DT,23,mallorca,alaves,1,85,0,0,0.1,0.0,1,1,0,25,64.0,1,0,0.0,0.0,0.0,4,3,5,0,4,0,0,0,2,7,3,3,28,151.0,79.0,2,1,1,50.0,23_24,15,03/12/2023,1,[]
Javier Llabrés,ESP,21,DT,19,mallorca,alaves,0,5,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,2,24.0,6.0,1,0,0,0.0,23_24,15,03/12/2023,1,[]
Antonio Sánchez,ESP,26,DT,18,mallorca,alaves,1,45,0,0,0.0,0.0,0,0,0,20,65.0,1,0,0.0,0.0,0.0,0,0,1,0,1,2,1,1,0,1,0,1,21,75.0,21.0,0,0,3,0.0,23_24,15,03/12/2023,1,"[{'apariciones_suplente': [6, 21.0]}]"
Cyle Larin,CAN,28,DT,17,mallorca,alaves,0,45,0,0,0.5,0.1,3,1,2,9,66.7,0,0,0.0,0.0,0.0,4,2,1,0,0,1,0,1,0,1,1,0,15,80.0,42.0,2,0,2,0.0,23_24,15,03/12/2023,1,[]
Sergi Darder,ESP,29,DT,10,mallorca,alaves,1,90,0,0,0.1,0.2,1,0,1,53,60.4,0,0,0.0,0.0,0.0,8,1,0,0,0,2,0,2,0,5,2,2,41,206.0,86.0,2,0,1,0.0,23_24,15,03/12/2023,1,"[{'corners': [9, 32.0]}]"
Samu Costa,POR,23,MC,12,mallorca,alaves,1,66,0,0,0.0,0.0,0,0,0,37,70.3,1,0,0.0,0.0,0.0,4,2,5,0,3,1,0,1,0,1,1,0,31,165.0,50.0,0,1,3,25.0,23_24,15,03/12/2023,1,"[{'entradas': [3, 91.0]}, {'faltas_cometidas': [9, 62.0]}]"
Manu Morlanes,ESP,24,MC,8,mallorca,alaves,0,24,0,0,0.0,0.0,0,0,0,18,100.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,114.0,45.0,1,0,0,0.0,23_24,15,03/12/2023,1,"[{'rojas': [2, 1.0]}]"
Omar Mascarell,EQG,30,MC,5,mallorca,alaves,1,90,0,0,0.0,0.0,0,0,0,66,92.4,0,0,0.0,0.0,0.0,8,2,1,0,0,3,0,3,2,0,0,0,45,275.0,95.0,1,3,1,75.0,23_24,15,03/12/2023,1,"[{'rojas': [10, 1.0]}]"
Jaume Costa,ESP,35,DF,11,mallorca,alaves,1,66,0,0,0.0,0.1,0,0,0,41,80.5,0,0,0.0,0.0,0.0,6,2,2,0,2,2,0,2,2,2,1,1,30,171.0,95.0,2,0,1,0.0,23_24,15,03/12/2023,1,[]
Toni Lato,ESP,26,DF,3,mallorca,alaves,0,24,0,0,0.0,0.0,0,0,0,24,70.8,0,0,0.0,0.0,0.0,3,4,1,0,0,0,0,0,0,1,1,0,15,45.0,13.0,1,1,1,50.0,23_24,15,03/12/2023,1,"[{'rojas': [8, 1.0]}]"
Antonio Raillo,ESP,32,DF,21,mallorca,alaves,1,90,0,0,0.0,0.0,1,1,0,74,90.5,0,0,0.0,0.0,0.0,7,1,0,0,0,2,1,1,2,0,0,0,54,372.0,249.0,0,3,1,75.0,23_24,15,03/12/2023,1,"[{'rojas': [10, 1.0]}]"
Martin Valjent,SVK,27,DF,24,mallorca,alaves,1,90,0,0,0.0,0.1,0,0,0,71,84.5,0,0,0.0,0.0,0.0,10,2,2,0,0,0,0,0,1,0,0,0,61,474.0,299.0,5,3,1,75.0,23_24,15,03/12/2023,1,"[{'despejes': [7, 195.0]}]"
Giovanni González,URU,29,DF,20,mallorca,alaves,1,75,0,0,0.0,0.0,0,0,0,57,73.7,0,0,0.0,0.0,0.0,8,1,3,0,2,2,1,1,1,2,2,0,27,152.0,83.0,2,3,0,100.0,23_24,15,03/12/2023,1,"[{'entradas': [9, 73.0]}]"
Pablo Maffeo,ESP,26,DF,15,mallorca,alaves,0,15,0,0,0.0,0.0,0,0,0,17,58.8,0,0,0.0,0.0,0.0,1,1,3,0,2,0,0,0,0,0,0,0,12,39.0,13.0,0,1,1,50.0,23_24,15,03/12/2023,1,"[{'rojas': [10, 1.0]}]"
