player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Youssef EnNesyri,DT,sevilla,villarreal,1,90,0,0,0.6,0.1,5,4,1,7,85.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,8,39.0,12.0,0,2,3,40.0,23_24,15,1
Dodi Lukebakio,DT,sevilla,villarreal,1,90,0,0,0.5,0.2,2,1,1,44,75.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,8,5,3,42,254.0,117.0,4,0,3,0.0,23_24,15,1
Lucas Ocampos,DT,sevilla,villarreal,1,90,0,0,0.5,0.5,2,2,0,50,60.0,0,0,0.0,0.0,0.0,7,1,0,0,0,1,0,1,0,6,4,2,42,372.0,198.0,8,2,2,50.0,23_24,15,1
Ivan Rakitić,MC,sevilla,villarreal,1,90,0,0,0.0,0.1,1,1,0,78,83.3,1,0,0.0,0.0,0.0,7,2,0,0,0,1,0,1,1,0,0,0,52,322.0,169.0,2,0,1,0.0,23_24,15,1
Fernando,MC,sevilla,villarreal,1,89,0,0,0.0,0.2,1,1,0,70,90.0,0,0,0.0,0.0,0.0,7,1,1,0,0,0,0,0,2,0,0,0,50,314.0,218.0,2,2,1,66.7,23_24,15,1
Óliver Torres,MC,sevilla,villarreal,0,1,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,15,1
Djibril Sow,MC,sevilla,villarreal,1,90,0,0,0.1,0.0,2,2,0,38,92.1,1,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,0,0,0,27,127.0,51.0,0,1,1,50.0,23_24,15,1
Marcos Acuña,DF,sevilla,villarreal,1,45,0,0,0.0,0.0,0,0,0,42,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,26,156.0,87.0,2,1,0,100.0,23_24,15,1
Adrià Pedrosa,DF,sevilla,villarreal,0,45,0,1,0.1,0.1,2,1,1,25,80.0,0,0,0.0,0.0,0.0,8,2,0,0,0,1,0,1,0,0,0,0,20,80.0,27.0,0,0,0,0.0,23_24,15,1
Nemanja Gudelj,DF,sevilla,villarreal,1,90,0,0,0.0,0.0,1,1,0,68,95.6,0,0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,2,1,0,1,51,342.0,220.0,3,0,0,0.0,23_24,15,1
Tanguy Nianzou,DF,sevilla,villarreal,1,71,0,0,0.0,0.0,1,1,0,38,97.4,0,0,0.0,0.0,0.0,9,7,6,0,0,0,0,0,1,0,0,0,32,190.0,108.0,0,1,0,100.0,23_24,15,1
Kike Salas,DF,sevilla,villarreal,0,19,1,0,0.0,0.0,1,0,1,16,93.8,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,12,59.0,32.0,1,1,0,100.0,23_24,15,1
Juanlu Sánchez,DF,sevilla,villarreal,1,90,0,0,0.0,0.1,0,0,0,64,76.6,1,0,0.0,0.0,0.0,4,2,2,0,1,1,0,1,2,4,2,2,53,299.0,223.0,8,1,0,100.0,23_24,15,1
Marko Dmitrović,PT,sevilla,villarreal,1,90,0,0,0.0,0.0,0,0,0,25,80.0,0,0,1.0,75.0,1.7,6,1,1,0,0,0,0,0,1,0,0,0,14,81.0,56.0,0,0,0,0.0,23_24,15,1
José Luis Morales,DT,villarreal,sevilla,1,86,1,0,0.4,0.0,1,0,1,12,58.3,0,0,0.0,0.0,0.0,8,2,1,0,0,1,0,1,0,3,0,3,8,64.0,9.0,0,0,0,0.0,23_24,15,0
Ben Brereton,DT,villarreal,sevilla,0,4,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,1,24.0,0.0,0,0,0,0.0,23_24,15,0
Gerard Moreno,DT,villarreal,sevilla,1,90,0,0,0.0,0.4,0,0,0,34,79.4,0,0,0.0,0.0,0.0,4,1,1,0,1,4,2,2,2,2,0,2,20,144.0,56.0,3,1,1,50.0,23_24,15,0
Alex Baena,MC,villarreal,sevilla,1,90,0,0,0.8,0.0,3,0,3,47,85.1,0,0,0.0,0.0,0.0,3,1,4,0,3,0,0,0,0,4,1,3,26,114.0,48.0,1,0,0,0.0,23_24,15,0
Daniel Parejo,MC,villarreal,sevilla,1,83,0,0,0.0,0.0,0,0,0,47,89.4,0,0,0.0,0.0,0.0,5,1,3,0,2,0,0,0,3,0,0,0,27,121.0,45.0,0,1,1,50.0,23_24,15,0
Francis Coquelin,MC,villarreal,sevilla,0,7,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,4,13.0,8.0,0,1,0,100.0,23_24,15,0
Santi Comesaña,MC,villarreal,sevilla,1,70,0,0,0.0,0.0,0,0,0,23,87.0,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,2,1,1,0,10,73.0,28.0,0,0,1,0.0,23_24,15,0
Étienne Capoue,MC,villarreal,sevilla,0,20,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,3,13.0,1.0,0,0,0,0.0,23_24,15,0
Adrià Altimira,MC,villarreal,sevilla,1,70,0,0,0.0,0.0,0,0,0,15,73.3,1,0,0.0,0.0,0.0,3,1,5,0,4,1,0,1,1,0,0,0,11,83.0,64.0,2,0,2,0.0,23_24,15,0
Alberto Moreno,MC,villarreal,sevilla,0,13,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,15,0
Ilias Akhomach,MC,villarreal,sevilla,0,7,0,0,0.0,0.1,0,0,0,6,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,24.0,16.0,0,0,0,0.0,23_24,15,0
Alfonso Pedraza,DF,villarreal,sevilla,1,90,0,0,0.0,0.4,1,1,0,34,67.6,1,0,0.0,0.0,0.0,3,2,2,0,0,2,0,2,5,2,1,1,18,138.0,94.0,3,0,1,0.0,23_24,15,0
Jorge Cuenca,DF,villarreal,sevilla,1,90,0,0,0.0,0.0,0,0,0,54,88.9,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,4,0,0,0,25,151.0,113.0,1,1,3,25.0,23_24,15,0
Raúl Albiol,DF,villarreal,sevilla,1,90,0,0,0.0,0.0,0,0,0,61,93.4,0,0,0.0,0.0,0.0,4,0,1,0,1,2,2,0,4,0,0,0,29,283.0,141.0,0,4,0,100.0,23_24,15,0
Juan Foyth,DF,villarreal,sevilla,1,90,0,0,0.0,0.0,0,0,0,44,81.8,0,0,0.0,0.0,0.0,4,1,2,0,1,1,1,0,8,0,0,0,22,189.0,119.0,3,3,2,60.0,23_24,15,0
Filip Jørgensen,PT,villarreal,sevilla,1,90,0,0,0.0,0.0,0,0,0,43,90.7,0,0,1.0,75.0,1.2,7,0,0,0,0,0,0,0,1,0,0,0,16,123.0,58.0,0,0,0,0.0,23_24,15,0
