player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Roger Martí,ESP,32,DT,21,cadiz,osasuna,1,90,1,0,0.2,0.0,1,0,1,28,57.1,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,1,2,0,1,20,47.0,15.0,0,3,1,75.0,23_24,16,10/12/2023,1,[]
Chris Ramos,ESP,26,DT,16,cadiz,osasuna,1,75,0,0,0.0,0.0,1,1,0,17,35.3,0,0,0.0,0.0,0.0,3,1,1,0,1,1,0,1,3,3,0,3,11,17.0,3.0,0,4,3,57.1,23_24,16,10/12/2023,1,[]
Maxi Gómez,URU,27,DT,25,cadiz,osasuna,0,15,0,0,0.0,0.0,0,0,0,5,20.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,4,30.0,15.0,2,2,1,66.7,23_24,16,10/12/2023,1,[]
Darwin Machís,VEN,30,MC,18,cadiz,osasuna,1,57,0,0,0.0,0.0,0,0,0,18,44.4,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,7,34.0,14.0,1,1,0,100.0,23_24,16,10/12/2023,1,"[{'rojas': [10, 1.0]}]"
Rubén Sobrino,ESP,31,MC,7,cadiz,osasuna,0,33,0,0,0.1,0.0,2,2,0,20,60.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,6,24.0,11.0,0,2,0,100.0,23_24,16,10/12/2023,1,"[{'rojas': [10, 1.0]}]"
Rubén Alcaraz,ESP,32,MC,4,cadiz,osasuna,1,90,0,0,0.0,0.0,0,0,0,36,77.8,0,0,0.0,0.0,0.0,5,3,1,0,1,0,0,0,1,0,0,0,10,66.0,2.0,0,4,4,50.0,23_24,16,10/12/2023,1,"[{'entradas': [2, 97.0]}, {'amarillas': [2, 14.0]}, {'faltas_cometidas': [1, 84.0]}, {'faltas_recibidas': [6, 71.0]}]"
Álex Fernández,ESP,31,MC,8,cadiz,osasuna,1,90,0,0,0.0,0.1,2,1,1,37,89.2,0,0,0.0,0.0,0.0,7,0,1,0,1,1,0,1,3,0,0,0,12,50.0,20.0,0,0,4,0.0,23_24,16,10/12/2023,1,[]
Iván Alejo,ESP,28,MC,11,cadiz,osasuna,1,75,0,1,0.1,0.2,2,0,2,15,33.3,1,0,0.0,0.0,0.0,8,0,4,0,4,1,0,1,1,2,0,1,14,69.0,30.0,0,0,0,0.0,23_24,16,10/12/2023,1,"[{'centros_area': [5, 22.0]}, {'amarillas': [1, 17.0]}]"
Brian Ocampo,URU,24,MC,10,cadiz,osasuna,0,15,0,0,0.0,0.0,1,1,0,11,90.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,11,91.0,44.0,1,0,2,0.0,23_24,16,10/12/2023,1,[]
Javi Hernández,ESP,25,DF,15,cadiz,osasuna,1,74,0,0,0.0,0.1,0,0,0,36,72.2,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,1,0,0,0,6,19.0,5.0,0,2,2,50.0,23_24,16,10/12/2023,1,[]
Lucas,BRA,22,DF,33,cadiz,osasuna,0,16,0,0,0.0,0.1,0,0,0,14,85.7,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,1,0,0,6,36.0,17.0,0,0,0,0.0,23_24,16,10/12/2023,1,[]
Mamadou Mbaye,SEN,25,DF,14,cadiz,osasuna,1,90,0,0,0.3,0.0,2,1,1,37,51.4,0,0,0.0,0.0,0.0,2,2,0,0,0,4,3,1,6,0,0,0,11,82.0,47.0,0,6,2,75.0,23_24,16,10/12/2023,1,[]
Fali,ESP,30,DF,3,cadiz,osasuna,1,90,0,0,0.0,0.0,0,0,0,33,48.5,0,0,0.0,0.0,0.0,2,1,0,0,0,3,2,1,5,0,0,0,13,56.0,35.0,0,0,2,0.0,23_24,16,10/12/2023,1,"[{'amarillas': [5, 12.0]}]"
Isaac Carcelen,ESP,30,DF,20,cadiz,osasuna,1,90,0,0,0.0,0.2,1,1,0,31,58.1,0,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,3,0,0,0,5,34.0,8.0,0,1,3,25.0,23_24,16,10/12/2023,1,[]
Jeremías Ledesma,ARG,30,PT,1,cadiz,osasuna,1,90,0,0,0.0,0.0,0,0,0,29,62.1,0,0,1.0,100.0,1.6,7,0,0,0,0,0,0,0,1,0,0,0,13,117.0,82.0,0,0,0,0.0,23_24,16,10/12/2023,1,"[{'paradas': [6, 104.0]}]"
Ante Budimir,CRO,32,DT,17,osasuna,cadiz,1,90,1,0,0.8,0.0,1,1,0,17,47.1,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,1,1,1,0,14,41.0,6.0,0,6,3,66.7,23_24,16,10/12/2023,0,"[{'goles': [5, 17.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [7, 3.0]}, {'tiros_puerta': [10, 31.0]}]"
Ezequiel Ávila,ARG,29,DT,9,osasuna,cadiz,1,89,0,0,0.4,0.0,4,2,2,32,62.5,0,0,0.0,0.0,0.0,5,0,1,0,1,3,0,3,0,0,0,0,17,51.0,14.0,0,3,3,50.0,23_24,16,10/12/2023,0,"[{'rojas': [8, 1.0]}]"
José Arnaiz,ESP,28,DT,20,osasuna,cadiz,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,16,10/12/2023,0,[]
Rubén García,ESP,30,DT,14,osasuna,cadiz,1,89,0,0,0.0,0.6,1,0,1,41,63.4,0,0,0.0,0.0,0.0,6,1,0,0,0,3,0,3,1,0,0,0,18,55.0,17.0,1,2,3,40.0,23_24,16,10/12/2023,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
