player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Lucas Boyé,ARG,27,DT,7,granada,athletic,1,78,0,0,0.3,0.0,3,3,0,18,61.1,0,0,0.0,0.0,0.0,4,2,0,0,0,0,0,0,1,3,0,3,15,36.0,7.0,0,3,0,100.0,23_24,16,11/12/2023,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [3, 72.0]}]"
José Callejón,ESP,36,DT,9,granada,athletic,0,12,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,0,0,0,0.0,23_24,16,11/12/2023,1,[]
Bryan Zaragoza,ESP,22,DT,26,granada,athletic,1,90,0,0,0.0,0.1,1,0,1,27,51.9,0,0,0.0,0.0,0.0,3,2,2,0,0,2,0,2,0,9,3,4,30,302.0,116.0,5,0,0,0.0,23_24,16,11/12/2023,1,"[{'regates_exitosos': [9, 57.0]}]"
Myrto Uzuni,ALB,28,DT,11,granada,athletic,1,90,0,0,0.3,0.1,2,1,1,16,62.5,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,1,0,0,0,9,45.0,28.0,3,1,0,100.0,23_24,16,11/12/2023,1,"[{'penaltis_marcados': [3, 4.0]}]"
Gonzalo Villar,ESP,25,MC,24,granada,athletic,1,78,0,0,0.1,0.0,1,1,0,33,81.8,0,0,0.0,0.0,0.0,4,2,0,0,0,1,0,1,0,1,1,0,23,106.0,53.0,1,0,2,0.0,23_24,16,11/12/2023,1,"[{'faltas_recibidas': [9, 66.0]}]"
Njegoš Petrović,SRB,24,MC,18,granada,athletic,0,12,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,1,0,2,8.0,0.0,0,0,0,0.0,23_24,16,11/12/2023,1,[]
Sergio Ruiz,ESP,28,MC,20,granada,athletic,1,89,0,0,0.0,0.0,0,0,0,48,87.5,0,0,0.0,0.0,0.0,7,4,5,0,2,2,0,2,0,5,2,1,35,151.0,61.0,1,0,3,0.0,23_24,16,11/12/2023,1,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Antonio Puertas,ESP,31,MC,10,granada,athletic,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,0,0,0.0,23_24,16,11/12/2023,1,"[{'apariciones_suplente': [10, 21.0]}, {'rojas': [10, 1.0]}]"
Gerard Gumbau,ESP,28,MC,23,granada,athletic,1,90,0,0,0.0,0.0,0,0,0,66,78.8,0,0,0.0,0.0,0.0,4,2,1,0,1,0,0,0,1,0,0,0,35,109.0,57.0,0,2,1,66.7,23_24,16,11/12/2023,1,"[{'amarillas': [5, 12.0]}, {'faltas_cometidas': [9, 62.0]}]"
Carlos Neva,ESP,27,DF,15,granada,athletic,1,90,0,0,0.0,0.0,0,0,0,65,83.1,0,0,0.0,0.0,0.0,6,2,2,0,1,2,2,0,5,0,0,0,28,67.0,32.0,0,2,1,66.7,23_24,16,11/12/2023,1,[]
Raúl Torrente,ESP,22,DF,28,granada,athletic,1,90,0,0,0.0,0.3,0,0,0,72,80.6,0,0,0.0,0.0,0.0,6,3,2,0,1,1,1,0,9,0,0,0,46,265.0,120.0,0,1,2,33.3,23_24,16,11/12/2023,1,[]
Ignasi Miquel,ESP,31,DF,14,granada,athletic,1,90,0,0,0.0,0.0,0,0,0,56,78.6,0,0,0.0,0.0,0.0,4,0,2,0,2,1,0,1,4,1,1,0,34,122.0,31.0,0,0,0,0.0,23_24,16,11/12/2023,1,"[{'intercepciones': [6, 45.0]}, {'despejes': [8, 132.0]}]"
Ricard Sánchez,ESP,23,DF,12,granada,athletic,1,90,0,0,0.0,0.0,0,0,0,37,75.7,0,0,0.0,0.0,0.0,3,2,2,0,1,2,0,2,6,1,0,1,19,62.0,27.0,1,0,0,0.0,23_24,16,11/12/2023,1,[]
André Ferreira,POR,27,PT,13,granada,athletic,1,90,0,0,0.0,0.0,0,0,0,41,78.0,0,0,1.0,75.0,0.6,5,0,0,0,0,0,0,0,0,0,0,0,18,70.0,41.0,0,1,0,100.0,23_24,16,11/12/2023,1,[]
Gorka Guruzeta,ESP,27,DT,12,athletic,granada,1,66,0,0,0.0,0.3,2,1,1,20,80.0,0,0,0.0,0.0,0.0,5,2,1,0,1,1,0,1,0,0,0,0,11,46.0,15.0,0,2,2,50.0,23_24,16,11/12/2023,0,"[{'goles_90': [9, 0.57]}]"
Asier Villalibre,ESP,26,DT,20,athletic,granada,0,24,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,15.0,9.0,1,1,0,100.0,23_24,16,11/12/2023,0,[]
Nico Williams,ESP,21,DT,11,athletic,granada,1,90,0,0,0.1,0.1,3,3,0,42,73.8,1,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,1,5,3,1,41,416.0,254.0,9,0,0,0.0,23_24,16,11/12/2023,0,"[{'asistencias': [2, 11.0]}, {'asistencias_90': [3, 0.44]}, {'centros_area': [5, 22.0]}, {'regates_exitosos': [2, 86.0]}, {'rojas': [10, 1.0]}]"
Iñaki Williams,GHA,29,DT,9,athletic,granada,1,79,1,0,0.3,0.1,5,4,1,30,66.7,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,4,2,2,27,161.0,74.0,3,0,1,0.0,23_24,16,11/12/2023,0,"[{'tiros_puerta': [1, 43.0]}]"
Álex Berenguer,ESP,28,DT,7,athletic,granada,0,11,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,10,65.0,55.0,2,0,0,0.0,23_24,16,11/12/2023,0,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Oihan Sancet,ESP,23,MC,8,athletic,granada,1,90,0,0,0.4,0.1,3,2,1,31,83.9,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,4,1,2,32,190.0,122.0,4,1,1,50.0,23_24,16,11/12/2023,0,"[{'rojas': [2, 2.0]}]"
Beñat Prados,ESP,22,MC,24,athletic,granada,1,87,0,0,0.1,0.0,1,0,1,44,75.0,0,0,0.0,0.0,0.0,5,2,2,0,0,1,0,1,0,0,0,0,21,90.0,45.0,1,1,0,100.0,23_24,16,11/12/2023,0,[]
Peru Nolaskoain,ESP,25,MC,23,athletic,granada,0,3,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,17.0,1.0,0,0,0,0.0,23_24,16,11/12/2023,0,[]
Iñigo Ruiz de Galarreta,ESP,30,MC,16,athletic,granada,1,78,0,0,0.0,0.0,0,0,0,47,78.7,0,0,0.0,0.0,0.0,3,3,5,0,3,0,0,0,0,1,1,0,30,98.0,38.0,0,1,0,100.0,23_24,16,11/12/2023,0,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Ander Herrera,ESP,34,MC,21,athletic,granada,0,12,0,0,0.1,0.0,1,1,0,12,100.0,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,0,0,0,0,11,43.0,26.0,1,0,0,0.0,23_24,16,11/12/2023,0,[]
