player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Antoine Griezmann,FRA,32,DT,7,atletico madrid,getafe,1,90,2,0,1.3,0.0,2,1,1,45,82.2,0,0,0.0,0.0,0.0,15,1,3,0,2,3,0,3,4,0,0,0,22,71.0,29.0,0,0,2,0.0,23_24,18,19/12/2023,1,"[{'goles': [6, 16.0]}, {'penaltis_marcados': [3, 4.0]}, {'corners': [6, 94.0]}]"
Memphis,NED,29,DT,9,atletico madrid,getafe,1,39,0,0,0.2,0.0,1,0,1,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,11,25.0,8.0,0,0,0,0.0,23_24,18,19/12/2023,1,[]
César Azpilicueta,ESP,34,DF,3,atletico madrid,getafe,0,51,0,0,0.0,0.0,0,0,0,13,69.2,0,0,0.0,0.0,0.0,0,1,0,0,0,2,0,2,3,0,0,0,6,17.0,2.0,0,1,2,33.3,23_24,18,19/12/2023,1,[]
Samuel Lino,BRA,23,MC,12,atletico madrid,getafe,1,80,0,0,0.0,0.0,1,1,0,28,85.7,0,0,0.0,0.0,0.0,4,1,0,0,0,2,0,2,2,1,1,0,27,124.0,68.0,3,1,1,50.0,23_24,18,19/12/2023,1,[]
Saúl Ñíguez,ESP,29,MC,8,atletico madrid,getafe,0,10,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2,0,0,0,3,6.0,4.0,0,1,0,100.0,23_24,18,19/12/2023,1,"[{'rojas': [10, 1.0]}]"
Koke,ESP,31,MC,6,atletico madrid,getafe,1,90,0,0,0.0,0.0,0,0,0,68,83.8,0,0,0.0,0.0,0.0,3,2,2,0,1,1,1,0,3,0,0,0,43,138.0,63.0,0,2,0,100.0,23_24,18,19/12/2023,1,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Rodrigo De Paul,ARG,29,MC,5,atletico madrid,getafe,1,56,0,0,0.0,0.2,0,0,0,37,73.0,0,0,0.0,0.0,0.0,4,0,0,0,0,2,0,2,3,1,0,1,26,144.0,64.0,1,0,0,0.0,23_24,18,19/12/2023,1,"[{'pases_ultimo_tercio': [8, 180.0]}]"
Álvaro Morata,ESP,31,DT,19,atletico madrid,getafe,0,34,1,0,0.4,0.0,1,0,1,9,66.7,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,1,1,0,1,8,34.0,12.0,0,1,0,100.0,23_24,18,19/12/2023,1,"[{'goles': [8, 15.0]}, {'goles_90': [5, 0.71]}, {'tiros_puerta': [9, 33.0]}, {'goles_por_tiro': [10, 0.23]}, {'rojas': [10, 1.0]}]"
Rodrigo Riquelme,ESP,23,MC,25,atletico madrid,getafe,1,90,0,1,0.1,0.5,2,2,0,38,78.9,0,0,0.0,0.0,0.0,5,1,3,0,2,0,0,0,0,3,1,2,35,275.0,191.0,7,1,1,50.0,23_24,18,19/12/2023,1,[]
Marcos Llorente,ESP,28,MC,14,atletico madrid,getafe,1,80,0,1,0.0,0.4,0,0,0,33,72.7,0,0,0.0,0.0,0.0,9,1,0,0,0,3,2,1,2,0,0,0,19,85.0,34.0,1,0,2,0.0,23_24,18,19/12/2023,1,"[{'rojas': [8, 1.0]}]"
Nahuel Molina,ARG,25,MC,16,atletico madrid,getafe,0,10,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,3,9.0,6.0,0,0,0,0.0,23_24,18,19/12/2023,1,"[{'rojas': [10, 1.0]}]"
Mario Hermoso,ESP,28,DF,22,atletico madrid,getafe,1,90,0,0,0.0,0.0,0,0,0,41,63.4,1,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,12,0,0,0,26,74.0,21.0,0,4,3,57.1,23_24,18,19/12/2023,1,[]
Axel Witsel,BEL,34,DF,20,atletico madrid,getafe,1,90,0,0,0.0,0.0,0,0,0,35,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,4,3,1,11,2,1,1,27,128.0,61.0,0,3,1,75.0,23_24,18,19/12/2023,1,"[{'pases_completados_pct': [6, 91.9]}]"
Stefan Savić,MNE,32,DF,15,atletico madrid,getafe,1,37,0,0,0.0,0.0,0,0,0,22,68.2,2,1,0.0,0.0,0.0,-1,1,0,0,0,0,0,0,0,0,0,0,15,60.0,46.0,0,1,0,100.0,23_24,18,19/12/2023,1,"[{'rojas': [10, 1.0]}]"
Jan Oblak,SVN,30,PT,13,atletico madrid,getafe,1,90,0,0,0.0,0.0,0,0,0,35,65.7,0,0,3.0,77.8,2.6,6,0,0,0,0,0,0,0,1,0,0,0,15,122.0,82.0,0,0,0,0.0,23_24,18,19/12/2023,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [4, 13.0]}, {'paradas': [9, 101.0]}]"
Juanmi Latasa,ESP,22,DT,14,getafe,atletico madrid,1,90,0,0,0.5,0.0,8,5,3,11,54.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,14,40.0,7.0,0,6,5,54.5,23_24,18,19/12/2023,0,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [5, 66.0]}]"
Borja Mayoral,ESP,26,DT,19,getafe,atletico madrid,1,90,2,0,0.9,0.0,3,2,1,26,76.9,0,0,0.0,0.0,0.0,12,0,1,0,1,1,0,1,0,0,0,0,26,126.0,78.0,3,1,1,50.0,23_24,18,19/12/2023,0,"[{'goles': [8, 15.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [3, 4.0]}, {'goles_por_tiro': [7, 0.26]}]"
Jaime Mata,ESP,35,MC,7,getafe,atletico madrid,1,71,0,0,0.0,0.2,0,0,0,31,77.4,0,0,0.0,0.0,0.0,4,2,1,0,0,1,0,1,1,0,0,0,23,61.0,16.0,0,0,0,0.0,23_24,18,19/12/2023,0,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [8, 63.0]}]"
Óscar Rodríguez Arnaiz,ESP,25,MC,9,getafe,atletico madrid,0,19,1,0,0.3,0.0,4,2,2,25,80.0,1,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,2,19,72.0,32.0,0,0,1,0.0,23_24,18,19/12/2023,0,"[{'rojas': [8, 1.0]}]"
Nemanja Maksimović,SRB,28,MC,20,getafe,atletico madrid,1,81,0,0,0.0,0.0,2,2,0,44,88.6,0,0,0.0,0.0,0.0,3,1,1,0,0,2,1,1,1,0,0,0,28,103.0,52.0,1,2,0,100.0,23_24,18,19/12/2023,0,"[{'intercepciones': [4, 46.0]}, {'minutos': [9, 3265.0]}]"
Jordi,ESP,22,MC,32,getafe,atletico madrid,0,9,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,6,16.0,11.0,0,0,0,0.0,23_24,18,19/12/2023,0,[]
Luis Milla,ESP,29,MC,5,getafe,atletico madrid,1,90,0,0,0.0,0.0,1,1,0,93,87.1,1,0,0.0,0.0,0.0,3,3,1,0,0,1,0,1,0,1,1,0,59,317.0,198.0,5,1,0,100.0,23_24,18,19/12/2023,0,"[{'pases_clave': [3, 70.0]}, {'corners': [3, 113.0]}]"
Mason Greenwood,ENG,22,MC,12,getafe,atletico madrid,1,90,0,0,0.1,0.2,5,3,2,65,78.5,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,6,4,1,58,404.0,255.0,8,0,3,0.0,23_24,18,19/12/2023,0,"[{'tiros_puerta': [10, 31.0]}, {'regates_exitosos': [4, 72.0]}, {'rojas': [10, 1.0]}]"
Diego Rico,ESP,30,DF,16,getafe,atletico madrid,1,89,0,0,0.0,0.2,0,0,0,76,77.6,0,0,0.0,0.0,0.0,4,2,2,0,1,3,0,3,1,1,1,0,46,157.0,91.0,2,1,0,100.0,23_24,18,19/12/2023,0,"[{'centros_area': [1, 32.0]}, {'intercepciones': [9, 41.0]}]"
Carmona,ESP,21,DF,18,getafe,atletico madrid,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,23_24,18,19/12/2023,0,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
Gastón Álvarez,URU,23,DF,4,getafe,atletico madrid,1,89,0,0,0.1,0.0,4,4,0,61,86.9,0,0,0.0,0.0,0.0,-1,1,0,0,0,2,0,2,2,0,0,0,33,160.0,91.0,0,0,0,0.0,23_24,18,19/12/2023,0,[]
Omar Alderete,PAR,26,DF,15,getafe,atletico madrid,0,1,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,53.0,52.0,1,0,2,0.0,23_24,18,19/12/2023,0,"[{'rojas': [10, 1.0]}]"
Domingos Duarte,POR,28,DF,6,getafe,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,56,92.9,0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,0,0,0,0,39,170.0,95.0,1,1,1,50.0,23_24,18,19/12/2023,0,"[{'rojas': [2, 2.0]}]"
Iglesias,ESP,25,DF,21,getafe,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,30,63.3,0,0,0.0,0.0,0.0,1,1,2,0,1,1,0,1,0,0,0,0,19,54.0,27.0,0,0,0,0.0,23_24,18,19/12/2023,0,"[{'entradas': [9, 81.0]}, {'intercepciones': [4, 50.0]}]"
Damián Suárez,URU,35,DF,22,getafe,atletico madrid,0,45,0,1,0.1,0.3,1,1,0,36,83.3,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,20,72.0,45.0,1,0,1,0.0,23_24,18,19/12/2023,0,"[{'rojas': [10, 1.0]}]"
David Soria,ESP,30,PT,13,getafe,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,25,64.0,0,0,3.0,50.0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,11,45.0,30.0,0,0,0,0.0,23_24,18,19/12/2023,0,"[{'minutos': [3, 3413.0]}, {'porterias_cero': [8, 10.0]}, {'paradas': [3, 118.0]}]"
