player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Robert Lewandowski,DT,9,barcelona,almeria,1,90,0,1,0.7,1.5,8,5,3,20,75.0,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,1,1,0,1,13,54.0,16.0,0,5,3,62.5,23_24,18,20/12/2023,1,"[{'goles': [3, 19.0]}, {'goles_90': [8, 0.62]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [3, 4.0]}, {'tiros_puerta': [3, 37.0]}]"
João Félix,DT,14,barcelona,almeria,1,45,0,0,0.1,0.0,4,4,0,16,81.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,12,85.0,24.0,1,1,0,100.0,23_24,18,20/12/2023,1,[]
Ferrán Torres,DT,7,barcelona,almeria,0,45,0,0,0.3,0.0,3,1,2,15,80.0,0,0,0.0,0.0,0.0,3,2,2,0,1,0,0,0,0,0,0,0,14,125.0,43.0,2,0,0,0.0,23_24,18,20/12/2023,1,"[{'goles_por_tiro': [9, 0.21]}, {'rojas': [8, 1.0]}]"
Raphinha,DT,11,barcelona,almeria,1,75,1,1,0.5,0.5,2,1,1,44,75.0,1,0,0.0,0.0,0.0,16,0,0,0,0,3,0,3,0,1,0,0,26,184.0,124.0,5,0,0,0.0,23_24,18,20/12/2023,1,"[{'asistencias': [5, 9.0]}, {'asistencias_90': [1, 0.59]}, {'rojas': [10, 1.0]}]"
Lamine Yamal,DT,27,barcelona,almeria,0,15,0,0,0.0,0.0,0,0,0,9,100.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,1,1,0,10,71.0,37.0,1,0,0,0.0,23_24,18,20/12/2023,1,"[{'regates_exitosos': [5, 70.0]}]"
Sergi Roberto,MC,20,barcelona,almeria,1,90,2,0,0.9,0.1,5,2,3,70,92.9,0,0,0.0,0.0,0.0,19,2,2,0,1,0,0,0,1,0,0,0,35,252.0,169.0,2,2,1,66.7,23_24,18,20/12/2023,1,[]
İlkay Gündoğan,MC,22,barcelona,almeria,1,90,0,0,0.6,0.5,1,1,0,85,88.2,0,0,0.0,0.0,0.0,1,1,3,0,2,0,0,0,0,1,1,0,56,385.0,238.0,6,0,1,0.0,23_24,18,20/12/2023,1,"[{'asistencias': [5, 9.0]}, {'pases_clave': [1, 97.0]}, {'pases_ultimo_tercio': [10, 188.0]}, {'corners': [1, 140.0]}]"
Fermin López,MC,32,barcelona,almeria,1,66,0,0,0.1,0.0,1,1,0,30,86.7,0,0,0.0,0.0,0.0,2,0,3,0,3,0,0,0,0,1,0,1,14,68.0,31.0,1,1,0,100.0,23_24,18,20/12/2023,1,"[{'asistencias_90': [3, 0.36]}, {'rojas': [8, 1.0]}]"
Oriol Romeu,MC,18,barcelona,almeria,0,24,0,0,0.0,0.0,0,0,0,21,81.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,10,64.0,14.0,0,3,0,100.0,23_24,18,20/12/2023,1,[]
Alejandro Balde,DF,3,barcelona,almeria,1,90,0,0,0.0,0.1,1,1,0,35,97.1,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,6,2,3,23,215.0,99.0,3,0,1,0.0,23_24,18,20/12/2023,1,[]
