player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Alexander Sørloth,DT,11,villarreal,celta,1,90,0,1,0.5,0.1,2,1,1,23,82.6,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,2,1,0,1,9,63.0,7.0,0,5,5,50.0,23_24,18,20/12/2023,1,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Alex Baena,DT,16,villarreal,celta,1,87,0,0,0.1,0.4,2,1,1,32,75.0,1,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,0,0,0,20,124.0,72.0,3,0,0,0.0,23_24,18,20/12/2023,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Manu Trigueros,MC,14,villarreal,celta,0,3,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,4,29.0,21.0,0,1,1,50.0,23_24,18,20/12/2023,1,[]
Alberto Moreno,MC,18,villarreal,celta,1,59,0,0,0.0,0.0,0,0,0,21,71.4,0,0,0.0,0.0,0.0,4,2,2,0,1,2,1,1,0,0,0,0,9,21.0,10.0,0,1,1,50.0,23_24,18,20/12/2023,1,"[{'rojas': [2, 2.0]}]"
José Luis Morales,DT,15,villarreal,celta,0,31,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,16.0,6.0,1,0,1,0.0,23_24,18,20/12/2023,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Daniel Parejo,MC,10,villarreal,celta,1,90,1,0,0.8,0.0,0,0,0,61,93.4,0,0,0.0,0.0,0.0,12,2,2,0,1,1,0,1,0,2,2,0,27,102.0,30.0,0,1,0,100.0,23_24,18,20/12/2023,1,"[{'penaltis_marcados': [7, 3.0]}]"
Santi Comesaña,MC,4,villarreal,celta,1,90,0,0,0.0,0.0,1,1,0,53,90.6,1,0,0.0,0.0,0.0,3,2,1,0,1,5,1,4,1,3,2,1,18,95.0,57.0,1,1,2,33.3,23_24,18,20/12/2023,1,"[{'rojas': [2, 2.0]}]"
Ilias Akhomach,MC,27,villarreal,celta,1,88,0,0,0.1,0.0,1,0,1,22,59.1,0,0,0.0,0.0,0.0,1,3,4,0,2,1,1,0,0,9,1,8,29,190.0,97.0,3,1,0,100.0,23_24,18,20/12/2023,1,"[{'regates_exitosos': [9, 57.0]}]"
Ramón Terrats,MC,20,villarreal,celta,0,2,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,3,1,1,4,12.0,8.0,0,0,0,0.0,23_24,18,20/12/2023,1,[]
Alfonso Pedraza,DF,24,villarreal,celta,1,21,1,0,0.1,0.1,2,0,2,17,82.4,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,1,0,1,9,43.0,16.0,1,0,0,0.0,23_24,18,20/12/2023,1,"[{'rojas': [10, 1.0]}]"
Carlos Romero,DF,37,villarreal,celta,0,69,0,0,0.3,0.0,1,0,1,46,60.9,0,0,0.0,0.0,0.0,0,5,4,0,2,1,0,1,4,1,1,0,24,138.0,86.0,3,1,1,50.0,23_24,18,20/12/2023,1,"[{'entradas': [6, 44.0]}]"
Aïssa Mandi,DF,23,villarreal,celta,1,90,1,0,0.5,0.0,1,0,1,52,92.3,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,4,0,0,0,36,258.0,181.0,1,1,1,50.0,23_24,18,20/12/2023,1,[]
Raúl Albiol,DF,3,villarreal,celta,1,59,0,0,0.0,0.0,1,1,0,51,92.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,30,148.0,78.0,0,1,0,100.0,23_24,18,20/12/2023,1,[]
Jorge Cuenca,DF,5,villarreal,celta,0,31,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,3,0,0,0,3,19.0,8.0,0,0,0,0.0,23_24,18,20/12/2023,1,[]
Adrià Altimira,DF,26,villarreal,celta,1,90,0,0,0.0,0.0,0,0,0,74,78.4,0,0,0.0,0.0,0.0,0,4,3,0,0,6,3,3,1,1,1,0,28,170.0,99.0,1,0,2,0.0,23_24,18,20/12/2023,1,[]
