player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Cyle Larin,DT,mallorca,osasuna,1,69,0,0,0.1,0.1,2,2,0,7,57.1,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,5,2,3,14,45.0,14.0,0,3,9,25.0
Abdón Prats,DT,mallorca,osasuna,0,21,0,0,0.0,0.0,1,1,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,4,43.0,0.0,1,0,0,0.0
Dani Rodríguez,MC,mallorca,osasuna,1,89,1,2,0.1,0.4,1,0,1,35,60.0,0,0,0.0,0.0,0.0,21,0,2,0,2,1,0,1,1,0,0,0,16,74.0,41.0,1,0,5,0.0
Amath,MC,mallorca,osasuna,0,1,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,3,77.0,18.0,2,1,0,100.0
Antonio Sánchez,MC,mallorca,osasuna,1,89,0,0,0.4,0.0,2,0,2,31,61.3,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,2,1,0,1,22,205.0,96.0,6,1,0,100.0
Javier Llabrés,MC,mallorca,osasuna,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,1,0,100.0
Manu Morlanes,MC,mallorca,osasuna,1,70,0,0,0.0,0.0,0,0,0,30,90.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,1,0,19,103.0,55.0,2,0,0,0.0
Sergi Darder,MC,mallorca,osasuna,0,20,0,0,0.0,0.0,1,0,1,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,6,69.0,61.0,1,0,0,0.0
Samu Costa,MC,mallorca,osasuna,1,90,0,0,0.0,0.0,0,0,0,33,69.7,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,4,0,0,0,8,26.0,3.0,0,2,0,100.0
Jaume Costa,MC,mallorca,osasuna,1,78,0,0,0.1,0.1,2,1,1,29,62.1,1,0,0.0,0.0,0.0,1,4,4,0,0,1,0,1,1,1,0,1,16,102.0,74.0,3,0,1,0.0
