player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Sandro Ramírez,DT,las palmas,barcelona,1,67,0,1,0.1,0.2,4,3,1,22,72.7,0,0,0.0,0.0,0.0,10,0,2,0,2,1,1,0,1,1,1,0,13,47.0,17.0,1,0,1,0.0,23_24,19,1
Pejiño,DT,las palmas,barcelona,0,23,0,0,0.0,0.1,2,2,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,5,50.0,35.0,3,0,1,0.0,23_24,19,1
Alberto Moleiro,DT,las palmas,barcelona,1,67,0,0,0.0,0.2,0,0,0,19,78.9,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,0,0,0,11,35.0,15.0,0,0,1,0.0,23_24,19,1
Enzo Loiodice,DT,las palmas,barcelona,0,23,0,0,0.0,0.1,1,1,0,19,73.7,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,2,2,0,8,54.0,34.0,0,0,0,0.0,23_24,19,1
Munir El Haddadi,DT,las palmas,barcelona,1,58,1,0,0.2,0.0,1,0,1,11,45.5,0,0,0.0,0.0,0.0,7,1,2,0,1,0,0,0,0,0,0,0,9,53.0,14.0,0,0,3,0.0,23_24,19,1
Marc Cardona,DT,las palmas,barcelona,0,32,0,0,0.1,0.0,1,1,0,12,83.3,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,1,1,1,0,11,33.0,16.0,1,0,0,0.0,23_24,19,1
Kirian Rodríguez,MC,las palmas,barcelona,1,90,0,0,0.1,0.0,1,1,0,59,88.1,1,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,0,35,108.0,63.0,1,0,0,0.0,23_24,19,1
Máximo Perrone,MC,las palmas,barcelona,1,90,0,0,0.0,0.0,0,0,0,45,84.4,0,0,0.0,0.0,0.0,2,0,3,0,3,1,1,0,2,0,0,0,19,39.0,17.0,1,0,0,0.0,23_24,19,1
Javier Muñoz,MC,las palmas,barcelona,1,90,0,0,0.0,0.0,1,0,1,37,81.1,1,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,1,0,1,24,97.0,20.0,1,0,0,0.0,23_24,19,1
Sergi Cardona,DF,las palmas,barcelona,1,90,0,0,0.0,0.0,0,0,0,45,80.0,1,0,0.0,0.0,0.0,2,2,1,0,0,3,1,2,9,3,1,1,24,110.0,70.0,0,2,4,33.3,23_24,19,1
Mika Mármol,DF,las palmas,barcelona,1,90,0,0,0.1,0.0,1,1,0,51,86.3,0,0,0.0,0.0,0.0,4,2,2,0,1,2,1,1,7,0,0,0,24,63.0,41.0,0,1,1,50.0,23_24,19,1
Saúl Coco,DF,las palmas,barcelona,1,90,0,0,0.0,0.0,0,0,0,20,90.0,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,11,0,0,0,10,21.0,2.0,0,0,0,0.0,23_24,19,1
Álex Suárez,DF,las palmas,barcelona,1,82,0,0,0.0,0.0,0,0,0,23,82.6,1,0,0.0,0.0,0.0,1,2,1,0,0,2,2,0,4,0,0,0,8,41.0,27.0,0,1,0,100.0,23_24,19,1
Daley Sinkgraven,DF,las palmas,barcelona,0,7,0,0,0.0,0.0,0,0,0,2,100.0,0,1,0.0,0.0,0.0,-4,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,19,1
Álvaro Vallés,PT,las palmas,barcelona,1,90,0,0,0.0,0.0,0,0,0,49,67.3,0,0,2.0,80.0,1.5,5,0,0,0,0,0,0,0,4,0,0,0,25,97.0,68.0,0,0,0,0.0,23_24,19,1
Robert Lewandowski,DT,barcelona,las palmas,1,71,0,0,0.2,0.0,2,2,0,11,54.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,2,1,1,10,51.0,12.0,1,4,1,80.0,23_24,19,0
