player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
André Silva,DT,real sociedad,alaves,1,38,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,6,38.0,0.0,0,0,0,0.0,23_24,19,02/01/2024,1,[]
Unai Marrero,PT,real sociedad,alaves,0,52,0,0,0.0,0.0,0,0,0,15,46.7,0,0,1.0,100.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,5,19.0,14.0,0,0,0,0.0,23_24,19,02/01/2024,1,[]
Mikel Oyarzabal,DT,real sociedad,alaves,1,85,0,0,0.2,0.0,1,1,0,22,63.6,1,0,0.0,0.0,0.0,2,5,1,0,0,0,0,0,0,0,0,0,15,95.0,54.0,2,5,3,62.5,23_24,19,02/01/2024,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Ander Barrenetxea,DT,real sociedad,alaves,0,5,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,1,0,2,43.0,26.0,1,0,1,0.0,23_24,19,02/01/2024,1,"[{'regates_exitosos': [7, 32.0]}]"
Takefusa Kubo,DT,real sociedad,alaves,1,89,0,0,0.1,0.3,2,2,0,23,52.2,0,0,0.0,0.0,0.0,7,2,1,0,0,1,1,0,0,5,4,1,24,248.0,135.0,3,0,1,0.0,23_24,19,02/01/2024,1,"[{'pases_clave': [6, 58.0]}]"
Arsen Zakharyan,DT,real sociedad,alaves,0,1,0,0,0.1,0.1,1,0,1,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,8.0,5.0,0,0,0,0.0,23_24,19,02/01/2024,1,"[{'apariciones_suplente': [9, 10.0]}]"
Mikel Merino,MC,real sociedad,alaves,1,90,0,1,0.3,0.1,3,3,0,32,53.1,0,0,0.0,0.0,0.0,6,0,0,0,0,4,0,4,3,1,0,0,15,101.0,42.0,0,8,4,66.7,23_24,19,02/01/2024,1,"[{'entradas': [7, 77.0]}, {'faltas_cometidas': [4, 70.0]}]"
Martín Zubimendi,MC,real sociedad,alaves,1,90,1,0,0.1,0.0,2,0,2,51,76.5,0,0,0.0,0.0,0.0,11,2,2,0,0,1,1,0,0,0,0,0,26,123.0,47.0,0,3,1,75.0,23_24,19,02/01/2024,1,[]
Brais Méndez,MC,real sociedad,alaves,1,85,0,0,0.0,0.0,1,1,0,30,63.3,0,0,0.0,0.0,0.0,2,3,1,0,1,0,0,0,0,1,0,1,20,122.0,38.0,0,3,1,75.0,23_24,19,02/01/2024,1,[]
Umar Sadiq,MC,real sociedad,alaves,0,5,0,0,0.1,0.3,1,0,1,2,100.0,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,5,2.0,0.0,0,1,0,100.0,23_24,19,02/01/2024,1,[]
Kieran Tierney,DF,real sociedad,alaves,1,89,0,0,0.0,0.0,1,1,0,56,66.1,0,0,0.0,0.0,0.0,2,3,2,0,1,0,0,0,1,0,0,0,26,118.0,83.0,0,3,2,60.0,23_24,19,02/01/2024,1,[]
Aihen Muñoz,DF,real sociedad,alaves,0,1,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,19,02/01/2024,1,[]
Robin Le Normand,DF,real sociedad,alaves,1,90,0,0,0.2,0.1,1,0,1,55,89.1,0,0,0.0,0.0,0.0,6,1,1,0,0,1,1,0,5,0,0,0,41,227.0,102.0,0,8,3,72.7,23_24,19,02/01/2024,1,"[{'amarillas': [4, 13.0]}]"
Igor Zubeldia,DF,real sociedad,alaves,1,90,0,0,0.1,0.0,1,1,0,50,84.0,1,0,0.0,0.0,0.0,2,2,2,0,0,1,1,0,2,1,0,1,40,229.0,130.0,0,5,5,50.0,23_24,19,02/01/2024,1,"[{'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Hamari Traoré,DF,real sociedad,alaves,1,90,0,0,0.1,0.0,2,2,0,65,75.4,1,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,3,1,1,0,32,142.0,59.0,1,1,0,100.0,23_24,19,02/01/2024,1,[]
Álex Remiro,PT,real sociedad,alaves,1,35,0,0,0.0,0.0,0,0,0,7,100.0,0,1,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,6,22.0,19.0,0,0,0,0.0,23_24,19,02/01/2024,1,"[{'minutos': [8, 3275.0]}, {'rojas': [10, 1.0]}, {'porterias_cero': [2, 15.0]}, {'save_pct': [3, 76.2]}]"
Samu Omorodion,DT,alaves,real sociedad,1,69,0,0,0.0,0.0,0,0,0,10,70.0,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,8,43.0,22.0,1,2,8,20.0,23_24,19,02/01/2024,0,[]
Giuliano Simeone,DT,alaves,real sociedad,0,21,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,51.0,36.0,2,0,3,0.0,23_24,19,02/01/2024,0,"[{'asistencias': [8, 4.0]}]"
Abde Rebbach,DT,alaves,real sociedad,1,56,0,0,0.1,0.1,3,3,0,13,53.8,1,0,0.0,0.0,0.0,1,0,1,0,1,3,1,2,2,1,0,1,10,42.0,20.0,1,0,1,0.0,23_24,19,02/01/2024,0,[]
Kiké,DT,alaves,real sociedad,0,34,0,0,0.0,0.0,1,0,1,7,71.4,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,6,27.0,8.0,1,1,4,20.0,23_24,19,02/01/2024,0,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Luis Rioja,DT,alaves,real sociedad,1,89,1,0,0.8,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,11,1,2,0,1,0,0,0,1,0,0,0,17,62.0,17.0,1,0,2,0.0,23_24,19,02/01/2024,0,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
