player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Lucas Boyé,ARG,27,DT,7,granada,cadiz,1,71,0,1,0.4,0.9,2,1,1,22,90.9,1,0,0.0,0.0,0.0,8,2,2,0,1,0,0,0,2,4,1,3,14,42.0,22.0,1,1,4,20.0,23_24,19,03/01/2024,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [3, 72.0]}]"
José Callejón,ESP,36,DT,9,granada,cadiz,0,19,0,0,0.2,0.0,2,1,1,17,76.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,7,26.0,13.0,0,0,0,0.0,23_24,19,03/01/2024,1,[]
Myrto Uzuni,ALB,28,DT,11,granada,cadiz,1,79,1,0,1.6,0.0,5,3,2,9,88.9,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,9,38.0,15.0,0,0,3,0.0,23_24,19,03/01/2024,1,"[{'penaltis_marcados': [3, 4.0]}]"
Matias Arezo,URU,21,DT,8,granada,cadiz,0,11,0,0,0.0,0.0,1,0,1,7,85.7,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,2,0,0,0,6,88.0,55.0,1,0,0,0.0,23_24,19,03/01/2024,1,[]
Álvaro Carreras,ESP,20,MC,33,granada,cadiz,1,87,0,0,0.0,0.0,0,0,0,40,67.5,0,0,0.0,0.0,0.0,6,2,3,0,2,1,1,0,1,1,0,0,25,140.0,83.0,1,1,1,50.0,23_24,19,03/01/2024,1,"[{'pases_ultimo_tercio': [3, 112.0]}, {'intercepciones': [6, 23.0]}, {'rojas': [2, 1.0]}]"
Antonio Puertas,ESP,31,DT,10,granada,cadiz,0,3,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,16.0,3.0,0,0,0,0.0,23_24,19,03/01/2024,1,"[{'apariciones_suplente': [10, 21.0]}, {'rojas': [10, 1.0]}]"
Gonzalo Villar,ESP,25,MC,24,granada,cadiz,1,90,0,0,0.0,0.0,1,1,0,54,90.7,0,0,0.0,0.0,0.0,8,4,0,0,0,1,0,1,3,4,2,1,34,190.0,110.0,2,3,1,75.0,23_24,19,03/01/2024,1,"[{'faltas_recibidas': [9, 66.0]}]"
Sergio Ruiz,ESP,29,MC,20,granada,cadiz,1,90,0,0,0.0,0.2,0,0,0,55,85.5,0,0,0.0,0.0,0.0,11,3,6,0,4,1,1,0,7,0,0,0,30,137.0,75.0,1,7,0,100.0,23_24,19,03/01/2024,1,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Bryan Zaragoza,ESP,22,MC,26,granada,cadiz,1,90,1,0,0.7,0.9,3,1,2,30,56.7,0,0,0.0,0.0,0.0,18,2,0,0,0,0,0,0,0,5,4,1,24,236.0,164.0,5,0,0,0.0,23_24,19,03/01/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Carlos Neva,ESP,27,DF,15,granada,cadiz,1,90,0,1,0.0,0.6,0,0,0,60,75.0,0,0,0.0,0.0,0.0,13,0,0,0,0,3,1,2,5,1,0,1,25,146.0,85.0,2,1,0,100.0,23_24,19,03/01/2024,1,[]
Ignasi Miquel,ESP,31,DF,14,granada,cadiz,1,90,0,0,0.1,0.0,1,0,1,31,83.9,1,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,4,0,0,0,14,67.0,18.0,0,2,0,100.0,23_24,19,03/01/2024,1,"[{'intercepciones': [6, 45.0]}, {'despejes': [8, 132.0]}]"
Bruno Méndez,URU,24,DF,2,granada,cadiz,1,78,0,0,0.0,0.0,0,0,0,25,64.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,1,0,0,0,15,93.0,45.0,0,2,2,50.0,23_24,19,03/01/2024,1,[]
Miguel Ángel Rubio,ESP,25,DF,4,granada,cadiz,0,12,0,0,0.0,0.1,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,2,2.0,0.0,0,0,0,0.0,23_24,19,03/01/2024,1,[]
Ricard Sánchez,ESP,23,DF,12,granada,cadiz,1,79,0,0,0.0,0.1,0,0,0,34,76.5,1,0,0.0,0.0,0.0,6,0,1,0,1,1,0,1,3,3,2,1,13,105.0,83.0,2,0,0,0.0,23_24,19,03/01/2024,1,[]
Jesús Vallejo,ESP,26,DF,5,granada,cadiz,0,11,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,1,0,0,0,1,0.0,0.0,0,0,0,0.0,23_24,19,03/01/2024,1,[]
Augusto Batalla,ARG,27,PT,25,granada,cadiz,1,90,0,0,0.0,0.0,0,0,0,25,76.0,0,0,0.0,100.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,13,72.0,59.0,0,0,0,0.0,23_24,19,03/01/2024,1,"[{'porterias_cero': [7, 8.0]}, {'paradas': [5, 93.0]}, {'save_pct': [8, 75.2]}]"
Maxi Gómez,URU,27,DT,25,cadiz,granada,1,57,0,0,0.2,0.0,1,0,1,8,62.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,4,6.0,1.0,0,3,6,33.3,23_24,19,03/01/2024,0,[]
Sergi Guardiola,ESP,32,MC,19,cadiz,granada,0,33,0,0,0.1,0.0,1,1,0,11,63.6,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,10,39.0,23.0,2,0,2,0.0,23_24,19,03/01/2024,0,"[{'apariciones_suplente': [10, 21.0]}]"
Chris Ramos,ESP,26,DT,16,cadiz,granada,1,79,0,0,0.2,0.2,3,3,0,8,62.5,1,0,0.0,0.0,0.0,0,1,2,0,2,1,0,1,1,1,0,1,5,12.0,1.0,0,4,4,50.0,23_24,19,03/01/2024,0,[]
Álvaro Negredo,ESP,38,DT,9,cadiz,granada,0,11,0,0,0.1,0.0,2,2,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,10.0,1.0,0,0,0,0.0,23_24,19,03/01/2024,0,[]
Rubén Sobrino,ESP,31,MC,7,cadiz,granada,1,53,0,0,0.0,0.0,1,1,0,12,83.3,0,1,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,1,0,1,15,90.0,40.0,1,0,0,0.0,23_24,19,03/01/2024,0,"[{'rojas': [10, 1.0]}]"
Rubén Alcaraz,ESP,32,MC,4,cadiz,granada,1,75,0,0,0.1,0.0,2,2,0,28,82.1,1,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,0,0,0,18,64.0,17.0,0,0,2,0.0,23_24,19,03/01/2024,0,"[{'entradas': [2, 97.0]}, {'amarillas': [2, 14.0]}, {'faltas_cometidas': [1, 84.0]}, {'faltas_recibidas': [6, 71.0]}]"
Brian Ocampo,URU,24,MC,10,cadiz,granada,0,15,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,2,1,0,6,89.0,56.0,2,0,0,0.0,23_24,19,03/01/2024,0,[]
Álex Fernández,ESP,31,MC,8,cadiz,granada,1,45,0,0,0.1,0.0,1,1,0,22,68.2,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,1,1,0,12,28.0,7.0,0,1,1,50.0,23_24,19,03/01/2024,0,[]
Rominigue Kouamé,MLI,27,MC,12,cadiz,granada,0,45,0,0,0.0,0.0,1,1,0,22,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,16,127.0,70.0,1,0,0,0.0,23_24,19,03/01/2024,0,[]
Darwin Machís,VEN,30,MC,18,cadiz,granada,1,45,0,0,0.0,0.0,1,0,1,15,60.0,0,0,0.0,0.0,0.0,3,4,3,0,1,0,0,0,0,1,0,1,15,88.0,19.0,2,0,1,0.0,23_24,19,03/01/2024,0,"[{'rojas': [10, 1.0]}]"
Roberto Navarro,ESP,21,MC,27,cadiz,granada,0,45,0,0,0.0,0.1,1,1,0,18,66.7,0,0,0.0,0.0,0.0,2,1,3,0,3,1,0,1,1,4,2,1,21,180.0,96.0,4,0,0,0.0,23_24,19,03/01/2024,0,"[{'rojas': [10, 1.0]}]"
Lucas,BRA,22,DF,33,cadiz,granada,1,90,0,0,0.0,0.1,0,0,0,40,67.5,0,0,0.0,0.0,0.0,5,3,3,0,1,0,0,0,3,3,3,0,30,179.0,71.0,1,0,0,0.0,23_24,19,03/01/2024,0,[]
Fali,ESP,30,DF,3,cadiz,granada,1,90,0,0,0.0,0.0,0,0,0,33,75.8,1,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,3,1,0,1,26,132.0,66.0,1,1,0,100.0,23_24,19,03/01/2024,0,"[{'amarillas': [5, 12.0]}]"
Luis Hernández,ESP,34,DF,23,cadiz,granada,1,90,0,0,0.0,0.0,0,0,0,44,65.9,0,0,0.0,0.0,0.0,-1,0,0,0,0,1,1,0,1,0,0,0,21,65.0,48.0,0,1,0,100.0,23_24,19,03/01/2024,0,[]
Isaac Carcelen,ESP,30,DF,20,cadiz,granada,1,90,0,0,0.0,0.1,1,1,0,49,77.6,0,0,0.0,0.0,0.0,2,2,1,0,1,1,0,1,1,1,1,0,28,164.0,97.0,4,1,1,50.0,23_24,19,03/01/2024,0,[]
Jeremías Ledesma,ARG,30,PT,1,cadiz,granada,1,90,0,0,0.0,0.0,0,0,0,33,36.4,0,0,2.0,75.0,3.6,5,0,1,0,1,0,0,0,1,0,0,0,18,121.0,92.0,0,0,0,0.0,23_24,19,03/01/2024,0,"[{'paradas': [6, 104.0]}]"
