player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Domingos André Ribeiro Almeida,DT,valencia,las palmas,1,55,0,0,0.0,0.0,0,0,0,12,41.7,0,0,0.0,0.0,0.0,1,2,5,0,3,2,0,2,1,3,1,2,15,80.0,15.0,0,0,1,0.0
Javier Guerra,DT,valencia,las palmas,0,35,0,0,0.0,0.0,1,1,0,19,73.7,0,0,0.0,0.0,0.0,2,0,1,0,1,1,1,0,0,2,2,0,16,135.0,70.0,4,1,1,50.0
Hugo Duro,DT,valencia,las palmas,1,81,0,0,0.1,0.4,1,0,1,8,87.5,0,0,0.0,0.0,0.0,5,0,3,0,3,0,0,0,0,0,0,0,6,6.0,3.0,0,1,3,25.0
Hugo González,DT,valencia,las palmas,0,9,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,6,25.0,5.0,0,0,1,0.0
Diego López,MC,valencia,las palmas,1,69,0,0,0.1,0.0,1,0,1,16,81.3,0,0,0.0,0.0,0.0,5,2,2,0,0,3,0,3,0,1,0,1,14,98.0,50.0,2,2,1,66.7
Pablo Gozalbez,MC,valencia,las palmas,0,21,0,0,0.0,0.0,0,0,0,7,57.1,0,0,0.0,0.0,0.0,0,0,2,0,2,0,0,0,0,1,0,1,8,15.0,3.0,0,0,1,0.0
José Luis García Vayá,MC,valencia,las palmas,1,90,1,0,0.8,0.1,0,0,0,54,79.6,0,0,0.0,0.0,0.0,14,4,4,0,2,0,0,0,0,1,1,0,33,202.0,97.0,1,1,0,100.0
Mouctar Diakhaby,MC,valencia,las palmas,1,69,0,0,0.0,0.0,0,0,0,26,88.5,0,0,0.0,0.0,0.0,7,0,2,0,2,0,0,0,1,0,0,0,14,63.0,31.0,0,1,0,100.0
Jesus Vazquez,MC,valencia,las palmas,0,21,0,0,0.0,0.0,0,0,0,5,40.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,15.0,3.0,0,1,3,25.0
Francisco Perez,MC,valencia,las palmas,1,81,0,0,0.1,0.0,1,1,0,25,76.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,6,3,3,20,119.0,59.0,3,0,0,0.0
