player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Luis Javier Suárez,DT,9,almeria,real madrid,1,90,0,0,0.2,0.0,5,5,0,20,80.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,4,1,3,24,257.0,104.0,3,2,5,28.6,23_24,2,19/08/2023,1,[]
Largie Ramazani,DT,7,almeria,real madrid,1,60,0,0,0.4,0.4,6,4,2,14,64.3,0,0,0.0,0.0,0.0,5,0,1,0,1,2,1,1,0,1,0,0,19,150.0,80.0,4,0,0,0.0,23_24,2,19/08/2023,1,"[{'amarillas': [7, 11.0]}, {'rojas': [2, 2.0]}]"
Ibrahima Koné,DT,23,almeria,real madrid,0,30,0,0,0.1,0.0,1,0,1,8,75.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,8,46.0,14.0,1,0,0,0.0,23_24,2,19/08/2023,1,[]
Adri Embarba,DT,10,almeria,real madrid,1,90,0,0,0.0,0.1,0,0,0,56,67.9,0,0,0.0,0.0,0.0,4,4,5,0,1,1,0,1,0,6,5,1,45,271.0,154.0,6,3,0,100.0,23_24,2,19/08/2023,1,"[{'corners': [6, 94.0]}]"
Sergio Arribas,MC,19,almeria,real madrid,1,89,1,0,0.2,0.2,1,0,1,25,92.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,2,20,153.0,95.0,3,0,0,0.0,23_24,2,19/08/2023,1,[]
Arnau Puigmal,MC,8,almeria,real madrid,0,1,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,41.0,5.0,0,0,0,0.0,23_24,2,19/08/2023,1,[]
Iddrisu Baba,MC,4,almeria,real madrid,1,89,0,0,0.0,0.1,1,0,1,47,80.9,0,0,0.0,0.0,0.0,4,3,4,0,3,1,0,1,1,1,1,0,40,218.0,113.0,0,2,0,100.0,23_24,2,19/08/2023,1,[]
Lázaro,MC,14,almeria,real madrid,0,1,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,5,28.0,11.0,0,1,0,100.0,23_24,2,19/08/2023,1,[]
Lucas Robertone,MC,5,almeria,real madrid,1,69,0,1,0.1,0.2,5,3,2,42,83.3,0,0,0.0,0.0,0.0,10,0,0,0,0,1,1,0,1,0,0,0,42,223.0,141.0,2,1,0,100.0,23_24,2,19/08/2023,1,"[{'intercepciones': [2, 51.0]}, {'amarillas': [7, 11.0]}]"
Gonzalo Melero,MC,11,almeria,real madrid,0,21,0,0,0.0,0.0,0,0,0,14,85.7,0,0,0.0,0.0,0.0,1,1,2,0,2,0,0,0,0,0,0,0,12,77.0,46.0,1,0,1,0.0,23_24,2,19/08/2023,1,[]
Sergio Akieme,DF,15,almeria,real madrid,1,90,0,0,0.0,0.0,0,0,0,48,87.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,37,237.0,111.0,2,0,0,0.0,23_24,2,19/08/2023,1,[]
Édgar González,DF,3,almeria,real madrid,1,90,0,0,0.4,0.0,1,0,1,47,97.9,0,0,0.0,0.0,0.0,5,3,3,0,1,2,1,1,9,0,0,0,35,150.0,65.0,0,1,0,100.0,23_24,2,19/08/2023,1,"[{'despejes': [9, 130.0]}, {'rojas': [10, 1.0]}]"
Chumi,DF,21,almeria,real madrid,1,90,0,0,0.0,0.0,0,0,0,33,90.9,1,0,0.0,0.0,0.0,0,1,2,0,1,2,2,0,5,0,0,0,27,135.0,70.0,1,0,1,0.0,23_24,2,19/08/2023,1,[]
Marc Pubill,DF,18,almeria,real madrid,1,68,0,0,0.0,0.1,0,0,0,38,81.6,0,0,0.0,0.0,0.0,0,3,4,0,2,1,0,1,2,3,1,1,31,116.0,62.0,0,0,1,0.0,23_24,2,19/08/2023,1,[]
Alejandro Pozo Pozo,DF,17,almeria,real madrid,0,22,0,0,0.0,0.1,0,0,0,34,94.1,0,0,0.0,0.0,0.0,6,2,1,0,0,0,0,0,0,1,1,0,25,89.0,44.0,1,0,0,0.0,23_24,2,19/08/2023,1,[]
Luís Maximiano,PT,25,almeria,real madrid,1,90,0,0,0.0,0.0,0,0,0,35,80.0,0,0,3.0,66.7,3.0,6,0,0,0,0,0,0,0,0,0,0,0,20,62.0,38.0,0,0,0,0.0,23_24,2,19/08/2023,1,"[{'paradas': [4, 111.0]}]"
Vinicius Júnior,DT,7,real madrid,almeria,1,89,1,0,0.2,0.0,4,3,1,35,68.6,0,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,0,8,3,4,38,323.0,173.0,4,0,0,0.0,23_24,2,19/08/2023,0,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Brahim Díaz,DT,21,real madrid,almeria,0,1,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,3,2,1,6,94.0,66.0,1,0,0,0.0,23_24,2,19/08/2023,0,"[{'asistencias_90': [5, 0.35]}]"
Rodrygo,DT,11,real madrid,almeria,1,71,0,0,0.3,0.1,3,2,1,27,92.6,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,5,3,2,30,197.0,90.0,5,0,0,0.0,23_24,2,19/08/2023,0,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Luka Modrić,MC,10,real madrid,almeria,0,19,0,0,0.1,0.5,2,2,0,26,84.6,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,20,87.0,35.0,1,0,0,0.0,23_24,2,19/08/2023,0,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Jude Bellingham,MC,5,real madrid,almeria,1,80,2,1,0.7,0.3,6,2,4,45,91.1,0,0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,2,1,1,30,157.0,103.0,1,0,1,0.0,23_24,2,19/08/2023,0,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Joselu,DT,14,real madrid,almeria,0,10,0,0,0.2,0.0,1,1,0,7,85.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,4,29.0,8.0,1,0,1,0.0,23_24,2,19/08/2023,0,[]
Toni Kroos,MC,8,real madrid,almeria,1,71,0,1,0.0,0.4,0,0,0,69,89.9,0,0,0.0,0.0,0.0,11,3,4,0,2,1,0,1,1,0,0,0,43,184.0,131.0,1,0,0,0.0,23_24,2,19/08/2023,0,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Eduardo Camavinga,MC,12,real madrid,almeria,0,19,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,1,2,2,0,1,0,0,0,0,0,0,0,8,58.0,31.0,1,0,1,0.0,23_24,2,19/08/2023,0,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Aurélien Tchouaméni,MC,18,real madrid,almeria,1,90,0,0,0.0,0.0,2,1,1,75,90.7,0,0,0.0,0.0,0.0,6,2,2,0,2,1,0,1,1,2,2,0,62,312.0,191.0,1,4,2,66.7,23_24,2,19/08/2023,0,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
Federico Valverde,MC,15,real madrid,almeria,1,89,0,0,0.2,0.1,4,3,1,70,94.3,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,1,0,0,0,59,425.0,280.0,9,1,0,100.0,23_24,2,19/08/2023,0,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Lucas Vázquez,MC,17,real madrid,almeria,0,1,0,0,0.0,0.1,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,4,22.0,14.0,1,0,1,0.0,23_24,2,19/08/2023,0,"[{'asistencias_90': [4, 0.38]}]"
Fran Garcia,DF,20,real madrid,almeria,1,90,0,0,0.1,0.1,1,1,0,62,87.1,0,0,0.0,0.0,0.0,4,0,3,0,3,1,0,1,4,1,0,1,44,317.0,161.0,2,1,3,25.0,23_24,2,19/08/2023,0,"[{'asistencias_90': [9, 0.32]}]"
David Alaba,DF,4,real madrid,almeria,1,90,0,0,0.0,0.0,1,1,0,46,93.5,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,4,0,0,0,34,163.0,87.0,0,0,1,0.0,23_24,2,19/08/2023,0,[]
Antonio Rüdiger,DF,22,real madrid,almeria,1,90,0,0,0.0,0.0,0,0,0,46,87.0,0,0,0.0,0.0,0.0,4,2,2,0,0,4,4,0,3,0,0,0,32,172.0,107.0,1,2,0,100.0,23_24,2,19/08/2023,0,"[{'pases_completados_pct': [9, 91.8]}]"
Dani Carvajal,DF,2,real madrid,almeria,1,90,0,0,0.2,0.3,1,0,1,63,77.8,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,5,1,0,1,43,146.0,91.0,3,0,0,0.0,23_24,2,19/08/2023,0,"[{'rojas': [10, 1.0]}]"
