player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Ante Budimir,DT,osasuna,athletic,1,90,0,0,0.1,0.0,2,2,0,14,57.1,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,0,0,0,0,9,53.0,23.0,1,5,2,71.4,23_24,2,19/08/2023,1,"[{'goles': [5, 17.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [7, 3.0]}, {'tiros_puerta': [10, 31.0]}]"
Moi Gómez,DT,osasuna,athletic,1,83,0,0,0.1,0.0,2,1,1,63,79.4,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,51,394.0,164.0,5,0,1,0.0,23_24,2,19/08/2023,1,"[{'apariciones_suplente': [10, 20.0]}]"
Pablo Ibáñez,MC,osasuna,athletic,0,7,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,2,6,58.0,40.0,1,1,1,50.0,23_24,2,19/08/2023,1,"[{'apariciones_suplente': [10, 21.0]}]"
Rubén García,DT,osasuna,athletic,1,60,0,0,0.2,0.4,1,0,1,31,61.3,0,0,0.0,0.0,0.0,6,1,2,0,1,3,0,3,2,2,2,0,17,71.0,19.0,0,3,2,60.0,23_24,2,19/08/2023,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Ezequiel Ávila,DT,osasuna,athletic,0,29,0,0,0.2,0.1,3,2,1,20,65.0,0,1,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,16,88.0,32.0,1,0,0,0.0,23_24,2,19/08/2023,1,"[{'rojas': [8, 1.0]}]"
Aimar Oroz,MC,osasuna,athletic,1,73,0,0,0.0,0.0,0,0,0,28,89.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,4,0,4,24,98.0,40.0,0,1,0,100.0,23_24,2,19/08/2023,1,"[{'faltas_recibidas': [5, 64.0]}]"
Raúl,MC,osasuna,athletic,0,17,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.0,3.0,0,0,1,0.0,23_24,2,19/08/2023,1,"[{'apariciones_suplente': [6, 22.0]}]"
Lucas Torró,MC,osasuna,athletic,1,59,0,0,0.0,0.0,0,0,0,23,73.9,0,0,0.0,0.0,0.0,2,2,1,0,1,1,1,0,0,0,0,0,14,81.0,16.0,0,1,3,25.0,23_24,2,19/08/2023,1,"[{'faltas_cometidas': [1, 75.0]}]"
José Arnaiz,DT,osasuna,athletic,0,31,0,0,0.1,0.0,3,1,2,18,77.8,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,2,0,2,16,60.0,22.0,0,0,0,0.0,23_24,2,19/08/2023,1,[]
Jon Moncayola,MC,osasuna,athletic,1,90,0,0,0.0,0.1,1,1,0,56,85.7,0,0,0.0,0.0,0.0,5,3,2,0,1,0,0,0,2,2,0,2,33,168.0,74.0,0,0,2,0.0,23_24,2,19/08/2023,1,"[{'rojas': [10, 1.0]}]"
Johan Mojica,DF,osasuna,athletic,1,90,0,0,0.5,0.2,2,2,0,105,76.2,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,3,2,1,66,412.0,266.0,10,0,1,0.0,23_24,2,19/08/2023,1,"[{'centros_area': [3, 25.0]}]"
David García,DF,osasuna,athletic,1,90,0,0,0.1,0.0,2,1,1,66,87.9,1,0,0.0,0.0,0.0,1,2,1,0,0,1,0,1,3,0,0,0,38,208.0,117.0,1,5,2,71.4,23_24,2,19/08/2023,1,[]
Catena,DF,osasuna,athletic,1,90,0,0,0.1,0.0,1,0,1,66,83.3,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,2,0,0,0,38,190.0,113.0,2,4,1,80.0,23_24,2,19/08/2023,1,"[{'rojas': [10, 1.0]}]"
Rubén Peña,DF,osasuna,athletic,1,90,0,0,0.0,0.2,1,1,0,64,75.0,0,0,0.0,0.0,0.0,3,3,3,0,2,3,0,3,1,4,2,2,31,165.0,85.0,3,0,3,0.0,23_24,2,19/08/2023,1,[]
Aitor Fernández,PT,osasuna,athletic,1,90,0,0,0.0,0.0,0,0,0,45,73.3,0,0,2.0,0.0,1.6,2,0,0,0,0,0,0,0,0,0,0,0,28,149.0,106.0,0,0,0,0.0,23_24,2,19/08/2023,1,[]
Gorka Guruzeta,DT,athletic,osasuna,1,64,1,0,0.4,0.1,2,1,1,18,55.6,0,0,0.0,0.0,0.0,9,2,1,0,1,2,0,2,2,1,1,0,14,28.0,12.0,0,2,3,40.0,23_24,2,19/08/2023,0,"[{'goles_90': [9, 0.57]}]"
Ander Herrera,DT,athletic,osasuna,0,26,0,0,0.0,0.0,0,0,0,7,57.1,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,1,1,1,0,5,46.0,11.0,0,0,1,0.0,23_24,2,19/08/2023,0,[]
Nico Williams,DT,athletic,osasuna,1,64,0,2,0.1,0.7,1,1,0,26,76.9,0,0,0.0,0.0,0.0,16,3,2,0,0,1,0,1,0,4,2,2,20,165.0,89.0,4,1,0,100.0,23_24,2,19/08/2023,0,"[{'asistencias': [2, 11.0]}, {'asistencias_90': [3, 0.44]}, {'centros_area': [5, 22.0]}, {'regates_exitosos': [2, 86.0]}, {'rojas': [10, 1.0]}]"
Álex Berenguer,DT,athletic,osasuna,0,26,0,0,0.4,0.0,1,1,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,5,13.0,2.0,0,0,1,0.0,23_24,2,19/08/2023,0,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Iñaki Williams,DT,athletic,osasuna,1,83,1,0,0.4,0.7,1,0,1,26,80.8,0,0,0.0,0.0,0.0,10,0,0,0,0,1,1,0,2,3,1,1,23,159.0,88.0,2,2,2,50.0,23_24,2,19/08/2023,0,"[{'tiros_puerta': [1, 43.0]}]"
Raúl García,MC,athletic,osasuna,0,7,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0,0,1,0.0,23_24,2,19/08/2023,0,[]
Oihan Sancet,MC,athletic,osasuna,1,58,0,0,0.2,0.0,1,1,0,18,72.2,2,1,0.0,0.0,0.0,-1,0,1,0,1,0,0,0,0,1,1,0,15,96.0,23.0,2,2,2,50.0,23_24,2,19/08/2023,0,"[{'rojas': [2, 2.0]}]"
Iñigo Ruiz de Galarreta,MC,athletic,osasuna,1,90,0,0,0.1,0.0,1,1,0,36,77.8,1,0,0.0,0.0,0.0,4,2,0,0,0,0,0,0,1,1,1,0,27,101.0,49.0,1,2,2,50.0,23_24,2,19/08/2023,0,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Mikel Vesga,MC,athletic,osasuna,1,90,0,0,0.0,0.0,1,1,0,29,79.3,0,0,0.0,0.0,0.0,6,2,1,0,0,2,2,0,4,0,0,0,20,83.0,34.0,0,1,3,25.0,23_24,2,19/08/2023,0,"[{'apariciones_suplente': [5, 11.0]}]"
