player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Isaac Romero,DT,sevilla,alaves,1,54,0,0,0.2,0.0,3,2,1,10,80.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,0,0,11,33.0,3.0,0,3,0,100.0
Mariano,DT,sevilla,alaves,0,36,0,0,0.4,0.0,5,5,0,8,62.5,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,12,165.0,36.0,2,5,1,83.3
Lucas Ocampos,DT,sevilla,alaves,1,90,1,0,0.9,0.0,2,1,1,45,48.9,0,0,0.0,0.0,0.0,9,2,2,0,0,2,0,2,1,7,2,4,30,196.0,78.0,4,2,1,66.7
Óliver Torres,MC,sevilla,alaves,1,90,0,0,0.0,0.0,0,0,0,42,81.0,0,0,0.0,0.0,0.0,2,2,3,0,1,1,0,1,1,1,0,1,27,188.0,123.0,7,1,1,50.0
Ivan Rakitić,MC,sevilla,alaves,1,54,0,0,0.0,0.1,1,1,0,61,85.2,0,0,0.0,0.0,0.0,3,0,2,0,2,3,1,2,1,0,0,0,36,139.0,56.0,2,1,0,100.0
Djibril Sow,MC,sevilla,alaves,0,36,0,0,0.1,0.0,1,1,0,28,85.7,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,0,0,0,17,129.0,95.0,6,1,1,50.0
Boubakary Soumaré,MC,sevilla,alaves,1,54,0,0,0.0,0.0,0,0,0,37,97.3,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,1,1,0,19,90.0,16.0,0,2,0,100.0
Rafa Mir,MC,sevilla,alaves,0,36,1,0,0.6,0.0,1,0,1,5,80.0,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,0,0,0,3,15.0,8.0,0,2,0,100.0
Suso,MC,sevilla,alaves,1,90,0,0,0.0,0.3,2,2,0,65,75.4,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,2,2,0,45,232.0,118.0,4,1,0,100.0
Kike Salas,DF,sevilla,alaves,1,41,0,0,0.0,0.1,1,1,0,29,82.8,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,0,1,18,81.0,46.0,1,2,2,50.0
Adrià Pedrosa,DF,sevilla,alaves,0,49,0,0,0.0,0.0,0,0,0,28,78.6,0,0,0.0,0.0,0.0,1,2,3,0,1,0,0,0,0,2,0,2,14,88.0,38.0,0,0,1,0.0
Marcão,DF,sevilla,alaves,1,90,0,0,0.0,0.0,0,0,0,83,90.4,1,0,0.0,0.0,0.0,-1,3,4,0,3,2,2,0,0,3,1,1,54,358.0,276.0,0,2,0,100.0
Sergio Ramos,DF,sevilla,alaves,1,90,0,0,0.0,0.0,1,1,0,92,89.1,0,0,0.0,0.0,0.0,2,2,2,0,0,1,1,0,4,0,0,0,56,352.0,254.0,2,6,2,75.0
Jesús Navas,DF,sevilla,alaves,1,68,0,0,0.0,0.0,1,1,0,55,81.8,1,0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,0,1,1,0,34,231.0,196.0,4,0,1,0.0
Juanlu Sánchez,DF,sevilla,alaves,0,22,0,0,0.0,0.1,0,0,0,18,88.9,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,10,92.0,58.0,3,1,1,50.0
Marko Dmitrović,PT,sevilla,alaves,1,90,0,0,0.0,0.0,0,0,0,26,96.2,0,0,3.0,62.5,2.8,4,0,0,0,0,0,0,0,0,0,0,0,16,76.0,53.0,0,0,0,0.0
Kiké,DT,alaves,sevilla,1,71,1,0,0.6,0.0,4,0,4,20,85.0,1,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,0,2,2,0,15,94.0,48.0,0,0,5,0.0
Samu Omorodion,DT,alaves,sevilla,0,19,0,1,0.1,0.3,1,1,0,3,66.7,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,2,0,2,7,35.0,10.0,1,1,4,20.0
Luis Rioja,DT,alaves,sevilla,1,76,0,0,0.4,0.2,2,2,0,24,79.2,0,0,0.0,0.0,0.0,7,1,1,0,1,2,0,2,4,2,2,0,18,151.0,88.0,4,1,0,100.0
Rubén Duarte,DF,alaves,sevilla,0,14,1,0,0.3,0.0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,0,0,0.0
Carlos Vicente,DT,alaves,sevilla,1,89,0,1,0.1,0.4,1,0,1,26,61.5,0,0,0.0,0.0,0.0,9,2,2,0,0,0,0,0,0,8,3,5,19,79.0,32.0,2,2,0,100.0
Victor Parada,MC,alaves,sevilla,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
Jon Guridi,MC,alaves,sevilla,1,76,0,1,0.1,0.4,1,1,0,16,68.8,0,0,0.0,0.0,0.0,9,1,1,0,0,2,0,2,0,3,1,2,11,90.0,14.0,1,0,3,0.0
Alex Sola,MC,alaves,sevilla,0,14,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,0,1,0.0
Ander Guevara,MC,alaves,sevilla,1,89,0,0,0.0,0.0,1,1,0,36,77.8,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,1,0,0,0,20,160.0,95.0,2,0,1,0.0
Antonio Blanco,MC,alaves,sevilla,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,2,12.0,0.0,0,1,0,100.0
Carlos Benavídez,MC,alaves,sevilla,1,90,0,0,0.1,0.0,2,2,0,26,61.5,1,0,0.0,0.0,0.0,0,4,2,0,1,0,0,0,4,0,0,0,12,36.0,13.0,0,0,2,0.0
Javi López,DF,alaves,sevilla,1,90,0,0,0.0,0.0,0,0,0,30,70.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,7,1,0,0,13,57.0,29.0,0,1,3,25.0
Rafa Marín,DF,alaves,sevilla,1,90,0,0,0.0,0.0,0,0,0,20,75.0,1,0,0.0,0.0,0.0,0,1,1,0,1,2,1,1,4,0,0,0,6,29.0,24.0,0,0,6,0.0
Nahuel Tenaglia,DF,alaves,sevilla,1,90,1,0,0.4,0.0,2,1,1,15,60.0,0,0,0.0,0.0,0.0,9,2,3,0,2,0,0,0,5,0,0,0,4,19.0,2.0,0,4,3,57.1
Andoni Gorosabel,DF,alaves,sevilla,1,90,0,0,0.0,0.0,1,0,1,35,68.6,0,0,0.0,0.0,0.0,1,4,6,0,2,0,0,0,4,1,0,1,14,113.0,88.0,4,1,1,50.0
Antonio Sivera,PT,alaves,sevilla,1,90,0,0,0.0,0.0,0,0,0,38,50.0,0,0,2.0,75.0,2.3,2,0,0,0,0,0,0,0,0,0,0,0,16,117.0,87.0,0,0,0,0.0
