player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Lucas Boyé,DT,granada,atletico madrid,1,90,0,0,0.0,0.2,1,1,0,31,71.0,1,0,0.0,0.0,0.0,2,3,2,0,0,2,0,2,2,3,1,2,30,145.0,64.0,1,2,2,50.0,23_24,21,22/01/2024,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [3, 72.0]}]"
Myrto Uzuni,DT,granada,atletico madrid,1,66,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,1,1,0,7,66.0,6.0,0,0,2,0.0,23_24,21,22/01/2024,1,"[{'penaltis_marcados': [3, 4.0]}]"
Matias Arezo,DT,granada,atletico madrid,0,24,0,0,0.2,0.0,5,4,1,2,50.0,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,0,0,0,0,2,6.0,6.0,0,2,0,100.0,23_24,21,22/01/2024,1,[]
Bryan Zaragoza,DT,granada,atletico madrid,1,79,0,0,0.0,0.0,1,1,0,34,67.6,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,5,2,2,25,130.0,92.0,4,0,0,0.0,23_24,21,22/01/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
José Callejón,DT,granada,atletico madrid,0,11,0,0,0.0,0.1,1,1,0,8,87.5,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,0,0,0,5,14.0,5.0,0,0,0,0.0,23_24,21,22/01/2024,1,[]
Gonzalo Villar,MC,granada,atletico madrid,1,90,0,0,0.1,0.0,3,3,0,74,85.1,0,0,0.0,0.0,0.0,5,5,3,0,0,0,0,0,0,1,1,0,55,216.0,87.0,1,2,1,66.7,23_24,21,22/01/2024,1,"[{'faltas_recibidas': [9, 66.0]}]"
Sergio Ruiz,MC,granada,atletico madrid,1,90,0,0,0.1,0.0,2,2,0,79,94.9,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,1,0,0,0,52,329.0,233.0,2,1,1,50.0,23_24,21,22/01/2024,1,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Gerard Gumbau,MC,granada,atletico madrid,1,79,0,0,0.1,0.1,2,2,0,52,86.5,0,0,0.0,0.0,0.0,6,1,1,0,1,1,0,1,2,0,0,0,25,113.0,33.0,0,0,1,0.0,23_24,21,22/01/2024,1,"[{'amarillas': [5, 12.0]}, {'faltas_cometidas': [9, 62.0]}]"
Óscar Melendo,MC,granada,atletico madrid,0,11,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,19.0,8.0,0,1,0,100.0,23_24,21,22/01/2024,1,[]
Carlos Neva,DF,granada,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,70,81.4,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,5,2,1,1,46,183.0,98.0,0,0,0,0.0,23_24,21,22/01/2024,1,[]
