player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Alexander Sørloth,NOR,28,DT,11,villarreal,mallorca,1,90,1,0,1.0,0.2,5,3,2,24,83.3,1,0,0.0,0.0,0.0,11,1,1,0,0,0,0,0,2,8,4,4,28,106.0,37.0,2,3,1,75.0,23_24,21,20/01/2024,1,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Gerard Moreno,ESP,31,DT,7,villarreal,mallorca,1,90,0,0,0.4,0.4,4,2,2,48,79.2,0,0,0.0,0.0,0.0,9,3,2,0,1,0,0,0,1,9,7,2,35,194.0,99.0,3,2,0,100.0,23_24,21,20/01/2024,1,"[{'pases_clave': [10, 53.0]}]"
Alex Baena,ESP,22,MC,16,villarreal,mallorca,1,83,0,1,0.2,0.5,3,3,0,41,63.4,0,0,0.0,0.0,0.0,12,3,3,0,1,2,0,2,2,3,1,2,18,116.0,84.0,2,0,0,0.0,23_24,21,20/01/2024,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Manu Trigueros,ESP,32,MC,14,villarreal,mallorca,0,7,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,3,0,0,0,1,1,0,0,1,0,1,2,4.0,1.0,0,0,0,0.0,23_24,21,20/01/2024,1,[]
Francis Coquelin,FRA,32,MC,19,villarreal,mallorca,1,83,0,0,0.0,0.0,0,0,0,43,90.7,0,0,0.0,0.0,0.0,6,2,1,0,1,2,0,2,1,2,1,1,16,87.0,23.0,0,1,0,100.0,23_24,21,20/01/2024,1,[]
Étienne Capoue,FRA,35,MC,6,villarreal,mallorca,0,7,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,1,0,0,0,3,49.0,49.0,1,0,1,0.0,23_24,21,20/01/2024,1,[]
Santi Comesaña,ESP,27,MC,4,villarreal,mallorca,1,90,0,0,0.1,0.1,1,1,0,53,81.1,0,0,0.0,0.0,0.0,5,0,0,0,0,6,1,5,3,1,0,1,24,144.0,76.0,1,1,3,25.0,23_24,21,20/01/2024,1,"[{'rojas': [2, 2.0]}]"
Ilias Akhomach,MAR,19,MC,27,villarreal,mallorca,1,69,0,0,0.0,0.1,0,0,0,11,90.9,0,0,0.0,0.0,0.0,3,3,1,0,0,1,0,1,0,3,1,2,13,51.0,21.0,0,0,0,0.0,23_24,21,20/01/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Gonçalo Guedes,POR,27,MC,9,villarreal,mallorca,0,21,0,0,0.2,0.1,2,2,0,13,61.5,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,2,2,0,10,67.0,35.0,2,0,3,0.0,23_24,21,20/01/2024,1,[]
Alberto Moreno,ESP,31,DF,18,villarreal,mallorca,1,90,0,0,0.1,0.2,2,2,0,52,78.8,0,0,0.0,0.0,0.0,4,3,0,0,0,0,0,0,2,0,0,0,22,117.0,68.0,2,0,0,0.0,23_24,21,20/01/2024,1,"[{'rojas': [2, 2.0]}]"
Jorge Cuenca,ESP,24,DF,5,villarreal,mallorca,1,90,0,0,0.0,0.0,1,0,1,40,75.0,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,8,0,0,0,18,125.0,79.0,0,7,2,77.8,23_24,21,20/01/2024,1,[]
Eric Bailly,CIV,29,DF,12,villarreal,mallorca,1,90,0,0,0.0,0.0,0,0,0,42,85.7,0,0,0.0,0.0,0.0,7,0,0,0,0,1,1,0,4,2,1,0,21,155.0,82.0,1,4,2,66.7,23_24,21,20/01/2024,1,"[{'rojas': [8, 1.0]}]"
Kiko Femenía,ESP,32,DF,17,villarreal,mallorca,1,90,0,0,0.0,0.0,0,0,0,79,79.7,1,0,0.0,0.0,0.0,3,0,0,0,0,3,0,3,2,0,0,0,35,238.0,142.0,4,0,1,0.0,23_24,21,20/01/2024,1,"[{'rojas': [10, 1.0]}]"
Filip Jørgensen,DEN,21,PT,13,villarreal,mallorca,1,90,0,0,0.0,0.0,0,0,0,22,72.7,0,0,1.0,50.0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,14,78.0,58.0,0,0,0,0.0,23_24,21,20/01/2024,1,"[{'paradas': [1, 143.0]}]"
Cyle Larin,CAN,28,DT,17,mallorca,villarreal,1,79,0,0,0.2,0.0,2,1,1,7,42.9,1,0,0.0,0.0,0.0,1,1,1,0,1,1,0,1,1,1,0,1,5,9.0,1.0,0,6,5,54.5,23_24,21,20/01/2024,0,[]
Vedat Muriqi,KVX,29,DT,7,mallorca,villarreal,0,11,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,7,12.0,6.0,0,0,2,0.0,23_24,21,20/01/2024,0,"[{'rojas': [2, 2.0]}]"
