player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Diego López,ESP,21,MC,16,valencia,athletic,1,81,0,0,0.0,0.6,0,0,0,22,77.3,0,0,0.0,0.0,0.0,10,1,1,0,1,4,0,4,0,5,1,4,16,81.0,13.0,0,0,0,0.0,23_24,21,20/01/2024,1,[]
Jesus Vazquez,ESP,21,MC,21,valencia,athletic,0,9,0,0,0.0,0.0,0,0,0,8,25.0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,1,10,26.0,7.0,0,0,0,0.0,23_24,21,20/01/2024,1,[]
Hugo Duro,ESP,24,DT,9,valencia,athletic,1,90,1,0,0.7,0.1,2,1,1,13,76.9,0,0,0.0,0.0,0.0,10,2,1,0,0,0,0,0,0,1,0,1,15,47.0,11.0,0,1,2,33.3,23_24,21,20/01/2024,1,"[{'faltas_recibidas': [1, 95.0]}]"
Sergi Canós,ESP,26,MC,7,valencia,athletic,1,13,0,0,0.0,0.0,1,1,0,7,42.9,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,2,1,1,4,33.0,26.0,2,0,0,0.0,23_24,21,20/01/2024,1,[]
Roman Yaremchuk,UKR,28,DT,17,valencia,athletic,0,68,0,0,0.1,0.0,1,1,0,15,46.7,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,0,1,1,0,8,18.0,4.0,0,5,6,45.5,23_24,21,20/01/2024,1,[]
Javier Guerra,ESP,21,DT,8,valencia,athletic,0,9,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0,23_24,21,20/01/2024,1,"[{'rojas': [10, 1.0]}]"
José Luis García Vayá,ESP,25,MC,18,valencia,athletic,1,90,0,0,0.0,0.1,0,0,0,65,66.2,0,0,0.0,0.0,0.0,9,2,2,0,2,0,0,0,2,0,0,0,27,79.0,30.0,0,4,0,100.0,23_24,21,20/01/2024,1,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Hugo Guillamón,ESP,23,MC,6,valencia,athletic,1,90,0,0,0.1,0.0,1,1,0,38,78.9,0,0,0.0,0.0,0.0,6,3,4,0,2,0,0,0,2,0,0,0,23,47.0,20.0,0,2,0,100.0,23_24,21,20/01/2024,1,[]
Francisco Perez,ESP,21,MC,23,valencia,athletic,1,68,0,0,0.0,0.0,1,1,0,29,69.0,0,0,0.0,0.0,0.0,6,1,2,0,1,2,0,2,0,6,3,3,28,171.0,62.0,1,0,1,0.0,23_24,21,20/01/2024,1,"[{'apariciones_suplente': [5, 22.0]}]"
Thierry Correia,POR,24,DF,12,valencia,athletic,0,22,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,1,0,1,2,2.0,0.0,0,0,0,0.0,23_24,21,20/01/2024,1,"[{'rojas': [10, 1.0]}]"
