player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Jørgen Strand Larsen,NOR,23,DT,18,celta,real sociedad,1,75,0,0,0.0,0.0,0,0,0,14,64.3,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,2,2,0,16,108.0,42.0,2,1,2,33.3,23_24,21,20/01/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Williot Swedberg,SWE,19,DT,19,celta,real sociedad,0,15,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,3,39.0,9.0,1,1,0,100.0,23_24,21,20/01/2024,1,"[{'asistencias_90': [6, 0.33]}]"
Iago Aspas,ESP,36,DT,10,celta,real sociedad,1,57,0,0,0.0,0.0,1,1,0,27,59.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,12,48.0,5.0,0,0,1,0.0,23_24,21,20/01/2024,1,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Anastasios Douvikas,GRE,24,DT,12,celta,real sociedad,0,33,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,7,25.0,1.0,0,0,1,0.0,23_24,21,20/01/2024,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Luca de la Torre,USA,25,MC,14,celta,real sociedad,1,75,0,0,0.1,0.0,2,0,2,24,75.0,0,0,0.0,0.0,0.0,4,1,2,0,1,2,0,2,0,2,1,1,12,96.0,62.0,2,2,2,50.0,23_24,21,20/01/2024,1,"[{'rojas': [10, 1.0]}]"
Jailson Siqueira,BRA,28,MC,16,celta,real sociedad,0,15,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,1,0,7,30.0,12.0,0,0,1,0.0,23_24,21,20/01/2024,1,[]
Carlos Dotor,ESP,22,MC,6,celta,real sociedad,1,90,0,0,0.0,0.0,0,0,0,57,80.7,0,0,0.0,0.0,0.0,2,1,2,0,2,2,0,2,0,0,0,0,26,90.0,45.0,0,1,1,50.0,23_24,21,20/01/2024,1,[]
Renato Tapia,PER,28,MC,5,celta,real sociedad,1,90,0,0,0.0,0.0,0,0,0,59,74.6,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,3,3,2,1,36,147.0,57.0,0,2,1,66.7,23_24,21,20/01/2024,1,"[{'rojas': [10, 1.0]}]"
Miguel Rodríguez,ESP,20,MC,29,celta,real sociedad,1,57,0,0,0.1,0.0,1,1,0,15,73.3,1,0,0.0,0.0,0.0,0,0,1,0,1,2,0,2,0,0,0,0,9,83.0,48.0,2,1,2,33.3,23_24,21,20/01/2024,1,[]
Carles Pérez,ESP,25,DT,7,celta,real sociedad,0,33,0,0,0.0,0.0,1,1,0,6,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,2,0,8,60.0,38.0,1,0,0,0.0,23_24,21,20/01/2024,1,[]
