player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Willian José,DT,12,betis,barcelona,1,45,0,0,0.0,0.0,1,1,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,7,11.0,0.0,0,0,4,0.0,23_24,21,21/01/2024,1,"[{'rojas': [10, 1.0]}]"
Borja Iglesias,DT,9,betis,barcelona,0,45,0,0,0.0,0.0,0,0,0,13,76.9,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.0,0.0,0,0,2,0.0,23_24,21,21/01/2024,1,"[{'tiros_puerta': [10, 28.0]}, {'goles_por_tiro': [5, 0.24]}]"
Assane Diao,DT,38,betis,barcelona,1,45,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,1,2,0,2,0,0,0,0,4,1,3,10,112.0,14.0,1,0,1,0.0,23_24,21,21/01/2024,1,[]
Nabil Fekir,MC,8,betis,barcelona,0,45,0,0,0.1,0.3,1,0,1,25,84.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,18,108.0,62.0,2,1,0,100.0,23_24,21,21/01/2024,1,[]
Luiz Henrique,DT,11,betis,barcelona,1,90,0,1,0.6,0.2,6,6,0,28,60.7,0,0,0.0,0.0,0.0,9,2,1,0,0,2,0,2,3,9,5,4,28,217.0,84.0,2,2,0,100.0,23_24,21,21/01/2024,1,[]
Isco,DT,22,betis,barcelona,1,90,2,0,0.3,0.2,3,0,3,38,68.4,0,0,0.0,0.0,0.0,16,2,1,0,1,0,0,0,1,4,2,2,26,175.0,105.0,4,1,2,33.3,23_24,21,21/01/2024,1,"[{'pases_clave': [4, 81.0]}, {'corners': [2, 127.0]}, {'regates_exitosos': [3, 76.0]}, {'faltas_recibidas': [2, 79.0]}]"
Marc Roca,MC,21,betis,barcelona,1,90,0,0,0.1,0.0,2,2,0,36,80.6,0,0,0.0,0.0,0.0,0,1,1,0,1,1,0,1,2,2,0,2,27,229.0,104.0,0,0,3,0.0,23_24,21,21/01/2024,1,[]
Johnny Cardoso,MC,4,betis,barcelona,1,72,0,0,0.0,0.0,1,1,0,24,95.8,0,0,0.0,0.0,0.0,4,3,3,0,1,1,0,1,3,0,0,0,15,73.0,54.0,1,2,0,100.0,23_24,21,21/01/2024,1,"[{'intercepciones': [6, 48.0]}]"
Sergi Altimira,MC,27,betis,barcelona,0,18,0,0,0.0,0.0,0,0,0,15,73.3,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,1,1,1,0,11,65.0,12.0,0,0,0,0.0,23_24,21,21/01/2024,1,[]
Abner,DF,20,betis,barcelona,1,90,0,0,0.0,0.0,0,0,0,42,73.8,1,0,0.0,0.0,0.0,-2,2,2,0,1,1,0,1,6,1,1,0,21,145.0,89.0,2,0,0,0.0,23_24,21,21/01/2024,1,[]
