player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Léo Baptistão,DT,almeria,alaves,1,55,0,0,0.0,0.0,1,1,0,8,37.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,6,43.0,6.0,0,1,2,33.3
Marko Milovanović,DT,almeria,alaves,0,35,0,0,0.0,0.1,1,1,0,6,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,6,18.0,5.0,1,0,0,0.0
Adri Embarba,DT,almeria,alaves,1,74,0,0,0.5,0.1,3,0,3,31,64.5,0,0,0.0,0.0,0.0,2,2,2,0,2,0,0,0,0,1,0,1,19,148.0,74.0,3,0,1,0.0
Lázaro,DT,almeria,alaves,0,16,0,0,0.2,0.0,1,0,1,9,55.6,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,8,22.0,8.0,0,0,1,0.0
Sergio Arribas,DT,almeria,alaves,1,78,0,0,0.1,0.7,3,3,0,38,78.9,0,0,0.0,0.0,0.0,6,0,1,0,1,1,0,1,0,1,0,1,34,147.0,72.0,3,0,1,0.0
Luka Romero,DT,almeria,alaves,0,12,0,0,0.0,0.0,0,0,0,12,91.7,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,0,0,0,0,11,43.0,28.0,1,0,0,0.0
Lucas Robertone,MC,almeria,alaves,1,90,0,0,0.1,0.1,3,1,2,62,79.0,0,0,0.0,0.0,0.0,2,1,2,0,2,0,0,0,0,0,0,0,38,210.0,115.0,3,3,2,60.0
Édgar González,MC,almeria,alaves,1,55,0,0,0.0,0.0,0,0,0,30,80.0,1,0,0.0,0.0,0.0,-2,2,1,0,0,4,2,2,2,2,1,1,18,82.0,45.0,0,1,2,33.3
Gonzalo Melero,MC,almeria,alaves,0,35,0,0,0.2,0.0,2,2,0,14,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,11,80.0,23.0,0,0,0,0.0
Dion Lopy,MC,almeria,alaves,1,90,0,0,0.2,0.0,2,2,0,49,77.6,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,2,4,3,1,37,294.0,150.0,5,2,1,66.7
Sergio Akieme,DF,almeria,alaves,1,55,0,0,0.0,0.0,0,0,0,33,66.7,0,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,4,0,0,0,13,69.0,56.0,1,3,0,100.0
Álex Centelles,DF,almeria,alaves,0,35,0,0,0.0,0.0,0,0,0,28,82.1,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,1,0,1,16,65.0,36.0,0,3,1,75.0
Chumi,DF,almeria,alaves,1,90,0,0,0.0,0.0,0,0,0,73,93.2,0,0,0.0,0.0,0.0,1,1,2,0,1,2,1,1,3,0,0,0,55,248.0,172.0,2,5,2,71.4
César Montes,DF,almeria,alaves,1,90,0,0,0.0,0.0,1,1,0,77,84.4,0,0,0.0,0.0,0.0,1,3,2,0,0,1,1,0,3,0,0,0,54,392.0,313.0,4,1,1,50.0
Marc Pubill,DF,almeria,alaves,1,90,0,0,0.1,0.0,2,1,1,59,71.2,0,0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,2,7,4,3,41,243.0,140.0,3,0,0,0.0
Luís Maximiano,PT,almeria,alaves,1,90,0,0,0.0,0.0,0,0,0,45,95.6,0,0,3.0,33.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,23,79.0,60.0,0,0,0,0.0
Samu Omorodion,DT,alaves,almeria,1,88,2,0,0.8,0.0,4,2,2,13,69.2,0,0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,5,3,2,18,138.0,84.0,2,4,0,100.0
Giuliano Simeone,DT,alaves,almeria,0,2,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0
Luis Rioja,DT,alaves,almeria,1,77,1,0,0.8,0.1,0,0,0,24,58.3,0,0,0.0,0.0,0.0,14,2,4,0,2,1,0,1,0,2,2,0,9,133.0,79.0,2,0,1,0.0
Alex Sola,DT,alaves,almeria,0,13,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0.0
Carlos Vicente,DT,alaves,almeria,1,88,0,1,0.1,0.5,1,1,0,21,47.6,0,0,0.0,0.0,0.0,10,1,1,0,0,0,0,0,0,0,0,0,13,52.0,14.0,0,1,8,11.1
Victor Parada,DT,alaves,almeria,0,2,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0
Jon Guridi,MC,alaves,almeria,1,61,0,0,0.0,0.2,1,1,0,22,72.7,0,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,2,1,0,1,14,77.0,52.0,0,1,2,33.3
Carlos Benavídez,MC,alaves,almeria,0,29,0,1,0.0,0.1,0,0,0,11,72.7,0,0,0.0,0.0,0.0,9,2,3,0,1,0,0,0,1,0,0,0,5,34.0,15.0,0,0,0,0.0
Ander Guevara,MC,alaves,almeria,1,90,0,0,0.0,0.0,1,1,0,31,67.7,1,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,1,0,0,0,11,96.0,35.0,0,0,4,0.0
Antonio Blanco,MC,alaves,almeria,1,90,0,0,0.0,0.1,0,0,0,38,78.9,0,0,0.0,0.0,0.0,6,4,3,0,1,2,0,2,1,1,0,1,15,87.0,23.0,1,4,1,80.0
Javi López,DF,alaves,almeria,1,90,0,0,0.1,0.0,2,2,0,40,62.5,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,1,1,0,1,15,132.0,44.0,3,0,0,0.0
Rubén Duarte,DF,alaves,almeria,1,90,0,0,0.0,0.0,1,1,0,27,81.5,0,0,0.0,0.0,0.0,10,1,0,0,0,3,1,2,3,0,0,0,14,69.0,22.0,0,1,0,100.0
