player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
André Silva,POR,28,DT,21,real sociedad,rayo,1,61,0,0,0.0,0.1,1,1,0,15,73.3,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,0,4,2,2,12,83.0,38.0,2,0,2,0.0,23_24,22,27/01/2024,1,[]
Sheraldo Becker,SUR,28,DT,11,real sociedad,rayo,0,29,0,0,0.0,0.0,0,0,0,6,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,53.0,14.0,2,0,1,0.0,23_24,22,27/01/2024,1,"[{'rojas': [8, 1.0]}]"
Umar Sadiq,NGA,26,DT,19,real sociedad,rayo,1,61,0,0,0.0,0.0,0,0,0,7,57.1,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,0,3,1,2,7,26.0,13.0,1,0,1,0.0,23_24,22,27/01/2024,1,[]
Mikel Oyarzabal,ESP,26,DT,10,real sociedad,rayo,0,29,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,2,0,0,0,6,10.0,7.0,0,0,0,0.0,23_24,22,27/01/2024,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Beñat Turrientes,ESP,21,MC,22,real sociedad,rayo,1,90,0,0,0.1,0.0,2,0,2,32,81.3,0,0,0.0,0.0,0.0,6,2,3,0,2,0,0,0,0,2,0,1,25,127.0,58.0,2,0,0,0.0,23_24,22,27/01/2024,1,[]
Martín Zubimendi,ESP,24,MC,4,real sociedad,rayo,1,90,0,0,0.1,0.0,1,0,1,55,81.8,0,0,0.0,0.0,0.0,8,3,2,0,0,2,0,2,3,0,0,0,41,275.0,187.0,0,0,1,0.0,23_24,22,27/01/2024,1,[]
Arsen Zakharyan,RUS,20,MC,12,real sociedad,rayo,1,28,0,0,0.0,0.0,0,0,0,8,37.5,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,1,0,0,0,6,12.0,3.0,0,1,1,50.0,23_24,22,27/01/2024,1,"[{'apariciones_suplente': [9, 10.0]}]"
Brais Méndez,ESP,27,MC,23,real sociedad,rayo,0,62,0,0,0.0,0.0,1,1,0,35,71.4,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,2,1,1,35,98.0,27.0,0,0,1,0.0,23_24,22,27/01/2024,1,[]
Javi Galán,ESP,29,DF,25,real sociedad,rayo,1,90,0,0,0.0,0.0,1,1,0,32,71.9,1,0,0.0,0.0,0.0,6,4,3,0,1,4,0,4,0,6,2,2,27,227.0,75.0,4,1,2,33.3,23_24,22,27/01/2024,1,[]
Jon Pacheco,ESP,23,DF,20,real sociedad,rayo,1,90,0,0,0.0,0.0,0,0,0,57,73.7,1,0,0.0,0.0,0.0,7,4,3,0,0,2,0,2,3,1,1,0,38,165.0,68.0,1,5,2,71.4,23_24,22,27/01/2024,1,[]
