player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Lucas Ocampos,DT,5,sevilla,osasuna,1,90,0,0,0.3,0.0,2,1,1,29,62.1,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,1,1,0,18,134.0,32.0,2,0,7,0.0,23_24,22,28/01/2024,1,"[{'centros_area': [9, 20.0]}, {'faltas_recibidas': [6, 71.0]}]"
Isaac Romero,DT,20,sevilla,osasuna,1,90,1,0,0.4,0.3,3,1,2,11,72.7,0,0,0.0,0.0,0.0,12,0,0,0,0,1,0,1,1,4,3,1,14,63.0,45.0,4,1,4,20.0,23_24,22,28/01/2024,1,"[{'rojas': [8, 1.0]}]"
Boubakary Soumaré,MC,24,sevilla,osasuna,1,90,0,0,0.0,0.0,0,0,0,46,78.3,1,0,0.0,0.0,0.0,3,0,0,0,0,2,1,1,3,1,1,0,24,176.0,104.0,4,4,1,80.0,23_24,22,28/01/2024,1,[]
Lucien Agoume,MC,42,sevilla,osasuna,1,58,0,0,0.0,0.0,0,0,0,36,86.1,1,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,0,10,49.0,41.0,0,0,0,0.0,23_24,22,28/01/2024,1,"[{'rojas': [8, 1.0]}]"
Djibril Sow,MC,18,sevilla,osasuna,0,8,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,100.0,23_24,22,28/01/2024,1,"[{'goles_por_tiro': [9, 0.25]}]"
Óliver Torres,MC,21,sevilla,osasuna,0,24,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,0,0,0,5,34.0,22.0,1,0,0,0.0,23_24,22,28/01/2024,1,[]
Suso,MC,7,sevilla,osasuna,1,85,0,0,0.0,0.0,0,0,0,41,73.2,0,1,0.0,0.0,0.0,1,2,1,0,0,2,0,2,1,5,1,3,26,203.0,96.0,1,0,1,0.0,23_24,22,28/01/2024,1,"[{'rojas': [10, 1.0]}]"
Marcos Acuña,MC,19,sevilla,osasuna,1,58,0,1,0.1,0.1,2,1,1,24,75.0,0,0,0.0,0.0,0.0,7,1,0,0,0,1,0,1,2,1,0,1,9,26.0,7.0,0,0,0,0.0,23_24,22,28/01/2024,1,[]
Adrià Pedrosa,DF,3,sevilla,osasuna,0,32,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,5,15.0,13.0,0,1,0,100.0,23_24,22,28/01/2024,1,[]
Jesús Navas,MC,16,sevilla,osasuna,1,70,0,0,0.0,0.0,0,0,0,42,76.2,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,1,0,0,0,17,155.0,47.0,1,0,1,0.0,23_24,22,28/01/2024,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Juanlu Sánchez,DF,26,sevilla,osasuna,0,20,0,0,0.0,0.0,0,0,0,8,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,5,19.0,14.0,0,1,0,100.0,23_24,22,28/01/2024,1,"[{'rojas': [8, 1.0]}]"
Marcão,DF,23,sevilla,osasuna,1,70,0,0,0.0,0.2,0,0,0,32,84.4,0,0,0.0,0.0,0.0,5,3,2,0,0,0,0,0,0,0,0,0,20,195.0,153.0,3,3,1,75.0,23_24,22,28/01/2024,1,"[{'rojas': [8, 1.0]}]"
Rafa Mir,DT,9,sevilla,osasuna,0,20,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1,0.0,23_24,22,28/01/2024,1,"[{'goles': [9, 6.0]}, {'tiros_puerta': [2, 22.0]}, {'faltas_cometidas': [4, 30.0]}]"
Sergio Ramos,DF,4,sevilla,osasuna,1,90,0,0,0.1,0.0,1,0,1,34,85.3,1,0,0.0,0.0,0.0,6,2,2,0,0,0,0,0,11,0,0,0,8,21.0,14.0,0,4,4,50.0,23_24,22,28/01/2024,1,"[{'intercepciones': [9, 41.0]}, {'despejes': [2, 156.0]}, {'rojas': [10, 1.0]}]"
Loïc Bade,DF,22,sevilla,osasuna,1,90,0,0,0.0,0.0,2,2,0,51,62.7,0,0,0.0,0.0,0.0,6,2,2,0,1,1,1,0,6,0,0,0,20,99.0,35.0,0,6,1,85.7,23_24,22,28/01/2024,1,"[{'rojas': [10, 1.0]}]"
Ørjan Nyland,PT,13,sevilla,osasuna,1,90,0,0,0.0,0.0,0,0,0,31,45.2,0,0,1.0,75.0,1.3,5,0,0,0,0,0,0,0,0,0,0,0,13,69.0,47.0,0,0,0,0.0,23_24,22,28/01/2024,1,"[{'save_pct': [1, 76.9]}]"
Ante Budimir,DT,17,osasuna,sevilla,1,90,1,0,0.9,0.1,2,1,1,21,52.4,0,0,0.0,0.0,0.0,9,0,0,0,0,2,0,2,1,3,0,3,20,66.0,31.0,1,2,7,22.2,23_24,22,28/01/2024,0,"[{'goles': [5, 17.0]}, {'goles_90': [6, 0.63]}, {'penaltis_marcados': [7, 3.0]}, {'tiros_puerta': [10, 31.0]}]"
Raúl,DT,23,osasuna,sevilla,1,82,0,0,0.1,0.0,1,1,0,19,63.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,1,2,17,77.0,37.0,1,4,3,57.1,23_24,22,28/01/2024,0,"[{'apariciones_suplente': [6, 22.0]}]"
José Arnaiz,DT,20,osasuna,sevilla,0,8,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,13.0,10.0,0,0,1,0.0,23_24,22,28/01/2024,0,[]
