player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Álvaro García,DT,18,rayo,sevilla,1,90,0,0,0.0,0.2,1,1,0,41,56.1,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,2,0,0,0,19,89.0,56.0,3,1,6,14.3,23_24,23,05/02/2024,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Sergio Camello,DT,34,rayo,sevilla,1,63,0,0,0.2,0.1,3,2,1,14,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,27.0,16.0,2,0,1,0.0,23_24,23,05/02/2024,1,"[{'rojas': [2, 1.0]}]"
Raúl de Tomás,DT,22,rayo,sevilla,0,27,0,0,0.1,0.0,2,1,1,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,17.0,3.0,0,1,0,100.0,23_24,23,05/02/2024,1,[]
Pep Chavarría,MC,3,rayo,sevilla,1,63,0,0,0.6,0.0,2,2,0,31,71.0,0,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,1,1,0,20,246.0,122.0,4,0,1,0.0,23_24,23,05/02/2024,1,"[{'rojas': [10, 1.0]}]"
Óscar Trejo,MC,8,rayo,sevilla,0,27,0,0,0.0,0.0,0,0,0,27,100.0,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,6,3,3,16,77.0,39.0,1,0,0,0.0,23_24,23,05/02/2024,1,"[{'rojas': [10, 1.0]}]"
Óscar Valentín,MC,23,rayo,sevilla,1,90,0,0,0.0,0.0,0,0,0,53,81.1,0,0,0.0,0.0,0.0,4,3,2,0,0,2,0,2,3,0,0,0,29,173.0,96.0,1,2,6,25.0,23_24,23,05/02/2024,1,"[{'entradas': [1, 107.0]}, {'rojas': [10, 1.0]}, {'faltas_cometidas': [2, 77.0]}]"
Unai López,MC,17,rayo,sevilla,1,72,0,0,0.1,0.2,1,1,0,64,84.4,0,0,0.0,0.0,0.0,3,3,4,0,1,0,0,0,0,1,0,1,27,144.0,70.0,0,0,1,0.0,23_24,23,05/02/2024,1,"[{'rojas': [8, 1.0]}]"
Crespo,MC,15,rayo,sevilla,0,18,0,0,0.0,0.0,0,0,0,24,87.5,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,13,98.0,70.0,2,1,0,100.0,23_24,23,05/02/2024,1,[]
Isaac Palazón Camacho,MC,7,rayo,sevilla,1,90,1,0,0.5,0.0,8,5,3,50,70.0,0,0,0.0,0.0,0.0,9,2,2,0,1,1,0,1,0,1,1,0,33,192.0,77.0,3,0,1,0.0,23_24,23,05/02/2024,1,"[{'tiros_puerta': [10, 31.0]}, {'faltas_recibidas': [3, 76.0]}]"
Alfonso Espino,DF,12,rayo,sevilla,1,85,0,1,0.1,0.2,1,1,0,100,79.0,0,0,0.0,0.0,0.0,8,1,1,0,0,1,0,1,1,2,1,1,40,247.0,200.0,4,0,3,0.0,23_24,23,05/02/2024,1,[]
