player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Matias Arezo,DT,granada,las palmas,1,45,0,0,0.0,0.0,0,0,0,5,80.0,1,0,0.0,0.0,0.0,0,1,2,0,1,2,1,1,0,0,0,0,5,14.0,1.0,0,2,0,100.0,23_24,23,03/02/2024,1,[]
Myrto Uzuni,DT,granada,las palmas,0,45,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,6,41.0,13.0,0,0,2,0.0,23_24,23,03/02/2024,1,"[{'penaltis_marcados': [3, 4.0]}]"
Gonzalo Villar,MC,granada,las palmas,1,80,0,0,0.0,0.1,0,0,0,15,73.3,1,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,3,1,0,1,17,79.0,13.0,0,0,0,0.0,23_24,23,03/02/2024,1,"[{'faltas_recibidas': [9, 66.0]}]"
Faitout Maouassa,MC,granada,las palmas,0,10,0,0,0.0,0.0,0,0,0,5,40.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,14.0,10.0,1,1,0,100.0,23_24,23,03/02/2024,1,[]
Sergio Ruiz,MC,granada,las palmas,1,90,0,1,0.1,0.0,1,1,0,21,61.9,0,0,0.0,0.0,0.0,13,5,2,0,0,0,0,0,1,4,4,0,23,200.0,130.0,3,2,4,33.3,23_24,23,03/02/2024,1,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Óscar Melendo,MC,granada,las palmas,1,23,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0.0,0,0,0,0.0,23_24,23,03/02/2024,1,[]
Ignasi Miquel,DF,granada,las palmas,0,67,0,0,0.0,0.0,0,0,0,15,40.0,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,3,1,0,1,5,38.0,28.0,0,1,0,100.0,23_24,23,03/02/2024,1,"[{'intercepciones': [6, 45.0]}, {'despejes': [8, 132.0]}]"
Facundo Pellistri,MC,granada,las palmas,1,80,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,5,5,2,0,0,0,0,0,3,2,1,1,14,187.0,100.0,4,2,1,66.7,23_24,23,03/02/2024,1,"[{'rojas': [10, 1.0]}]"
Theo Corbeanu,MC,granada,las palmas,0,10,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,1,5,37.0,15.0,1,0,0,0.0,23_24,23,03/02/2024,1,[]
Martin Hongla,MC,granada,las palmas,1,89,0,0,0.0,0.0,0,0,0,18,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,2,1,0,1,13,56.0,24.0,0,0,0,0.0,23_24,23,03/02/2024,1,[]
