player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Portu,ESP,31,DT,24,girona,real sociedad,1,69,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,7,39.0,22.0,1,0,1,0.0,23_24,23,03/02/2024,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Cristhian Stuani,URU,37,DT,7,girona,real sociedad,0,21,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,1,1,2,0,0,0,3,1.0,1.0,0,0,1,0.0,23_24,23,03/02/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'apariciones_suplente': [1, 26.0]}]"
Sávio,BRA,19,DT,16,girona,real sociedad,1,90,0,0,0.0,0.2,1,1,0,26,73.1,0,0,0.0,0.0,0.0,7,5,1,0,0,1,0,1,1,8,2,5,34,281.0,106.0,1,1,2,33.3,23_24,23,03/02/2024,1,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Viktor Tsyhankov,UKR,26,DT,8,girona,real sociedad,1,79,0,0,0.1,0.0,1,0,1,26,65.4,0,0,0.0,0.0,0.0,5,3,2,0,1,0,0,0,5,0,0,0,21,169.0,91.0,2,1,1,50.0,23_24,23,03/02/2024,1,"[{'corners': [10, 80.0]}]"
Valery Fernández,ESP,24,DT,11,girona,real sociedad,0,11,0,0,0.2,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,6,42.0,28.0,0,1,0,100.0,23_24,23,03/02/2024,1,"[{'apariciones_suplente': [2, 25.0]}]"
Iván Martín,ESP,24,MC,23,girona,real sociedad,1,69,0,0,0.0,0.0,0,0,0,27,85.2,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,0,0,0,0,25,144.0,40.0,0,0,1,0.0,23_24,23,03/02/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Pablo Torre,ESP,20,MC,18,girona,real sociedad,0,21,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,5,17.0,5.0,0,0,0,0.0,23_24,23,03/02/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Aleix García,ESP,26,MC,14,girona,real sociedad,1,79,0,0,0.2,0.0,2,1,1,32,87.5,0,0,0.0,0.0,0.0,6,3,1,0,0,1,0,1,1,0,0,0,28,112.0,26.0,0,0,0,0.0,23_24,23,03/02/2024,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Jhon Solis,COL,19,MC,22,girona,real sociedad,0,11,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,2,2,0,4,40.0,32.0,1,1,1,50.0,23_24,23,03/02/2024,1,[]
Yangel Herrera,VEN,26,MC,21,girona,real sociedad,1,90,0,0,0.1,0.0,3,2,1,29,79.3,1,0,0.0,0.0,0.0,5,4,5,0,3,1,0,1,1,1,1,0,32,137.0,51.0,1,4,4,50.0,23_24,23,03/02/2024,1,"[{'faltas_cometidas': [6, 65.0]}]"
Miguel Gutiérrez,ESP,22,DF,3,girona,real sociedad,1,90,0,0,0.1,0.0,1,1,0,43,90.7,0,0,0.0,0.0,0.0,8,0,0,0,0,2,2,0,0,1,1,0,29,100.0,35.0,2,1,1,50.0,23_24,23,03/02/2024,1,"[{'centros_area': [10, 19.0]}]"
Daley Blind,NED,33,DF,17,girona,real sociedad,1,90,0,0,0.1,0.0,2,2,0,63,85.7,1,0,0.0,0.0,0.0,6,0,1,0,1,1,0,1,4,0,0,0,45,187.0,58.0,0,4,2,66.7,23_24,23,03/02/2024,1,"[{'pases_ultimo_tercio': [5, 256.0]}]"
Eric García,ESP,23,DF,25,girona,real sociedad,1,90,0,0,0.0,0.0,0,0,0,52,90.4,0,0,0.0,0.0,0.0,10,3,1,0,0,1,0,1,5,0,0,0,44,202.0,101.0,1,2,1,66.7,23_24,23,03/02/2024,1,"[{'goles_por_tiro': [2, 0.29]}, {'pases_ultimo_tercio': [7, 227.0]}]"
Yan Couto,BRA,21,DF,20,girona,real sociedad,1,90,0,0,0.0,0.2,0,0,0,64,85.9,0,0,0.0,0.0,0.0,11,1,1,0,0,1,0,1,0,8,3,5,44,430.0,186.0,5,0,1,0.0,23_24,23,03/02/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Paulo Gazzaniga,ARG,32,PT,13,girona,real sociedad,1,90,0,0,0.0,0.0,0,0,0,49,57.1,0,0,0.0,100.0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,33,136.0,66.0,0,0,0,0.0,23_24,23,03/02/2024,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 12.0]}, {'paradas': [2, 121.0]}, {'save_pct': [5, 75.6]}]"
André Silva,POR,28,DT,21,real sociedad,girona,1,86,0,0,0.1,0.0,3,2,1,22,81.8,0,0,0.0,0.0,0.0,5,1,1,0,1,2,0,2,1,1,0,1,18,100.0,26.0,0,3,3,50.0,23_24,23,03/02/2024,0,[]
Umar Sadiq,NGA,27,DT,19,real sociedad,girona,0,4,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,8.0,6.0,0,0,1,0.0,23_24,23,03/02/2024,0,[]
Brais Méndez,ESP,27,DT,23,real sociedad,girona,1,86,0,0,0.2,0.2,2,1,1,39,69.2,1,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,1,2,0,2,20,104.0,46.0,0,0,0,0.0,23_24,23,03/02/2024,0,[]
Olasagasti,ESP,23,DT,16,real sociedad,girona,0,4,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,23,03/02/2024,0,[]
