player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Jaime Mata,DT,getafe,celta,1,90,2,0,0.9,0.2,2,0,2,30,63.3,0,0,0.0,0.0,0.0,13,1,0,0,0,0,0,0,1,2,0,2,26,81.0,22.0,1,2,4,33.3
Borja Mayoral,DT,getafe,celta,1,90,1,0,0.9,0.0,1,0,1,29,82.8,0,0,0.0,0.0,0.0,6,0,5,0,5,0,0,0,0,0,0,0,25,140.0,55.0,2,1,1,50.0
Jordi,MC,getafe,celta,1,74,0,0,0.2,0.0,2,2,0,31,51.6,0,0,0.0,0.0,0.0,2,4,3,0,1,1,1,0,0,3,1,2,27,91.0,30.0,0,2,3,40.0
Carles Aleñá,MC,getafe,celta,0,16,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,1,0,0,4,12.0,6.0,0,1,2,33.3
Luis Milla,MC,getafe,celta,1,90,0,0,0.0,0.0,0,0,0,46,76.1,0,0,0.0,0.0,0.0,4,4,3,0,3,1,0,1,2,3,1,2,24,106.0,41.0,1,3,1,75.0
Nemanja Maksimović,MC,getafe,celta,1,86,0,0,0.0,0.0,0,0,0,38,76.3,0,0,0.0,0.0,0.0,4,3,1,0,1,3,0,3,2,0,0,0,20,110.0,38.0,0,5,2,71.4
Ilaix Moriba,MC,getafe,celta,0,4,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,16.0,4.0,0,0,0,0.0
Mason Greenwood,MC,getafe,celta,1,90,0,1,0.3,0.0,4,3,1,32,84.4,1,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,0,4,1,3,31,178.0,94.0,3,0,1,0.0
Diego Rico,DF,getafe,celta,1,90,0,0,0.0,0.2,0,0,0,58,65.5,0,0,0.0,0.0,0.0,2,3,2,0,1,4,1,3,1,1,0,1,25,122.0,34.0,0,2,1,66.7
Omar Alderete,DF,getafe,celta,1,90,0,0,0.0,0.0,1,1,0,39,53.8,0,0,0.0,0.0,0.0,2,3,2,0,0,0,0,0,6,1,0,1,28,221.0,156.0,0,3,0,100.0
Djené,DF,getafe,celta,1,90,0,0,0.0,0.0,0,0,0,40,80.0,0,0,0.0,0.0,0.0,3,2,3,0,1,0,0,0,1,2,2,0,34,173.0,75.0,0,0,0,0.0
Iglesias,DF,getafe,celta,1,86,0,0,0.0,0.1,1,1,0,47,59.6,0,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,2,1,1,0,21,107.0,39.0,2,1,0,100.0
Carmona,DF,getafe,celta,0,4,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0.0,0,0,0,0.0
David Soria,PT,getafe,celta,1,90,0,0,0.0,0.0,0,0,0,33,33.3,0,0,2.0,50.0,1.1,4,0,0,0,0,0,0,0,0,0,0,0,22,128.0,75.0,0,0,0,0.0
Jørgen Strand Larsen,DT,celta,getafe,1,79,1,0,0.2,0.1,1,0,1,18,77.8,0,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,0,0,0,0,21,55.0,17.0,1,1,2,33.3
Hugo Sotelo,MC,celta,getafe,0,11,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,14.0,13.0,0,0,0,0.0
Luca de la Torre,DT,celta,getafe,1,90,0,0,0.0,0.0,0,0,0,28,78.6,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,4,2,2,28,145.0,72.0,2,0,1,0.0
Óscar Mingueza,DT,celta,getafe,1,54,0,0,0.0,0.0,0,0,0,19,73.7,0,0,0.0,0.0,0.0,-2,0,1,0,1,0,0,0,0,1,0,1,16,53.0,16.0,0,0,3,0.0
Tadeo Allende,MC,celta,getafe,0,36,1,0,0.4,0.2,1,0,1,17,47.1,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,1,0,0,0,16,159.0,43.0,1,0,1,0.0
Mihailo Ristić,MC,celta,getafe,1,90,0,0,0.1,0.0,1,1,0,71,74.6,1,0,0.0,0.0,0.0,1,2,2,0,0,0,0,0,0,3,1,2,42,237.0,131.0,3,1,0,100.0
Fran Beltrán,MC,celta,getafe,1,90,0,0,0.0,0.0,0,0,0,51,70.6,0,0,0.0,0.0,0.0,2,2,3,0,2,0,0,0,1,0,0,0,40,146.0,60.0,3,0,4,0.0
Jailson Siqueira,MC,celta,getafe,1,54,0,0,0.0,0.0,1,0,1,17,58.8,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,1,5,3,2,18,131.0,58.0,2,0,3,0.0
Iago Aspas,DT,celta,getafe,0,36,0,1,0.1,0.4,1,1,0,20,75.0,0,0,0.0,0.0,0.0,10,1,0,0,0,1,0,1,0,1,1,0,16,66.0,28.0,2,0,0,0.0
Javier Manquillo,MC,celta,getafe,1,86,0,1,0.1,0.2,1,1,0,46,67.4,0,0,0.0,0.0,0.0,6,3,2,0,0,3,0,3,1,4,2,2,19,40.0,8.0,0,3,3,50.0
Kevin Vázquez,DF,celta,getafe,0,4,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.0,3.0,0,0,0,0.0
Carlos Dominguez,DF,celta,getafe,1,90,0,0,0.0,0.0,0,0,0,50,74.0,0,0,0.0,0.0,0.0,2,1,0,0,0,3,1,2,4,0,0,0,27,154.0,89.0,1,3,1,75.0
Unai Núñez,DF,celta,getafe,1,90,0,0,0.0,0.0,1,1,0,54,70.4,0,0,0.0,0.0,0.0,2,3,3,0,1,1,1,0,4,0,0,0,28,137.0,95.0,0,2,0,100.0
Renato Tapia,DF,celta,getafe,1,79,0,0,0.0,0.0,1,1,0,43,72.1,1,0,0.0,0.0,0.0,5,3,1,0,0,1,0,1,3,5,5,0,25,60.0,40.0,0,5,2,71.4
