player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Vedat Muriqi,KVX,29,DT,7,mallorca,rayo,1,90,1,0,0.3,0.0,3,0,3,26,50.0,1,0,0.0,0.0,0.0,8,2,0,0,0,1,1,0,1,1,0,1,14,23.0,4.0,0,7,8,46.7,23_24,24,11/02/2024,1,"[{'rojas': [2, 2.0]}]"
Dani Rodríguez,ESP,35,MC,14,mallorca,rayo,1,90,0,1,0.0,0.3,0,0,0,46,52.2,1,0,0.0,0.0,0.0,8,0,1,0,1,1,0,1,0,5,1,4,27,121.0,35.0,0,4,4,50.0,23_24,24,11/02/2024,1,"[{'corners': [9, 90.0]}]"
Sergi Darder,ESP,30,MC,10,mallorca,rayo,1,61,0,0,0.1,0.0,1,0,1,22,81.8,0,0,0.0,0.0,0.0,5,1,1,0,1,2,1,1,2,0,0,0,14,78.0,41.0,1,0,0,0.0,23_24,24,11/02/2024,1,"[{'corners': [9, 32.0]}]"
Manu Morlanes,ESP,25,MC,8,mallorca,rayo,0,29,0,0,0.1,0.0,1,1,0,18,77.8,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,2,2,0,16,62.0,39.0,1,0,0,0.0,23_24,24,11/02/2024,1,"[{'rojas': [2, 1.0]}]"
Omar Mascarell,EQG,31,MC,5,mallorca,rayo,1,78,0,0,0.0,0.0,0,0,0,47,78.7,0,0,0.0,0.0,0.0,6,3,2,0,1,1,0,1,0,1,1,0,30,120.0,33.0,0,4,2,66.7,23_24,24,11/02/2024,1,"[{'rojas': [10, 1.0]}]"
Nemanja Radonjić,SRB,27,MC,23,mallorca,rayo,0,12,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,4,19.0,18.0,1,0,1,0.0,23_24,24,11/02/2024,1,[]
Antonio Sánchez,ESP,27,MC,18,mallorca,rayo,1,78,1,0,0.5,0.0,2,1,1,28,53.6,0,0,0.0,0.0,0.0,8,1,3,0,3,0,0,0,0,1,1,0,27,209.0,64.0,1,1,0,100.0,23_24,24,11/02/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Samu Costa,POR,23,MC,12,mallorca,rayo,0,12,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,1,0,1,5,13.0,1.0,0,0,0,0.0,23_24,24,11/02/2024,1,"[{'entradas': [3, 91.0]}, {'faltas_cometidas': [9, 62.0]}]"
Jaume Costa,ESP,35,DF,11,mallorca,rayo,1,83,0,0,0.0,0.0,0,0,0,45,86.7,0,0,0.0,0.0,0.0,6,4,1,0,1,0,0,0,3,1,1,0,27,146.0,84.0,3,0,0,0.0,23_24,24,11/02/2024,1,[]
Toni Lato,ESP,26,DF,3,mallorca,rayo,0,7,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,10.0,4.0,0,0,1,0.0,23_24,24,11/02/2024,1,"[{'rojas': [8, 1.0]}]"
Matija Nastasić,SRB,30,DF,2,mallorca,rayo,1,90,0,0,0.0,0.0,0,0,0,44,75.0,1,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,5,0,0,0,28,157.0,109.0,1,3,0,100.0,23_24,24,11/02/2024,1,"[{'despejes': [10, 165.0]}]"
