player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,DT,12,athletic,girona,1,73,0,1,0.1,0.2,2,2,0,21,71.4,0,0,0.0,0.0,0.0,10,1,0,0,0,2,0,2,1,1,0,1,8,32.0,6.0,0,1,1,50.0,23_24,25,19/02/2024,1,"[{'goles_90': [9, 0.57]}]"
Nico Williams,DT,11,athletic,girona,0,17,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,0,0.0,23_24,25,19/02/2024,1,"[{'asistencias': [2, 11.0]}, {'asistencias_90': [3, 0.44]}, {'centros_area': [5, 22.0]}, {'regates_exitosos': [2, 86.0]}, {'rojas': [10, 1.0]}]"
Álex Berenguer,DT,7,athletic,girona,1,90,2,0,0.5,0.1,3,0,3,24,62.5,0,0,0.0,0.0,0.0,14,2,1,0,1,3,0,3,0,1,0,1,15,114.0,65.0,3,1,3,25.0,23_24,25,19/02/2024,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Iñaki Williams,DT,9,athletic,girona,1,90,1,0,1.1,0.0,6,3,3,34,58.8,0,0,0.0,0.0,0.0,9,3,3,0,2,1,0,1,0,2,1,1,24,171.0,99.0,4,1,0,100.0,23_24,25,19/02/2024,1,"[{'tiros_puerta': [1, 43.0]}]"
Unai Gómez,MC,30,athletic,girona,1,73,0,0,0.1,0.0,1,1,0,7,85.7,0,0,0.0,0.0,0.0,4,3,2,0,0,0,0,0,0,2,2,0,8,23.0,12.0,0,2,1,66.7,23_24,25,19/02/2024,1,[]
Oihan Sancet,MC,8,athletic,girona,0,17,0,0,0.0,0.0,1,1,0,5,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5,27.0,18.0,0,0,0,0.0,23_24,25,19/02/2024,1,"[{'rojas': [2, 2.0]}]"
Beñat Prados,MC,24,athletic,girona,1,85,0,0,0.0,0.1,0,0,0,22,90.9,0,0,0.0,0.0,0.0,3,5,4,0,1,0,0,0,1,0,0,0,16,71.0,24.0,0,0,0,0.0,23_24,25,19/02/2024,1,[]
Mikel Vesga,MC,6,athletic,girona,0,5,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,25,19/02/2024,1,"[{'apariciones_suplente': [5, 11.0]}]"
Iñigo Ruiz de Galarreta,MC,16,athletic,girona,1,90,0,0,0.0,0.0,0,0,0,32,75.0,0,0,0.0,0.0,0.0,2,3,2,0,1,0,0,0,0,2,1,1,15,68.0,18.0,0,1,0,100.0,23_24,25,19/02/2024,1,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Yuri Berchiche,DF,17,athletic,girona,1,90,0,0,0.0,0.1,0,0,0,33,81.8,0,0,0.0,0.0,0.0,1,2,2,0,1,4,0,4,1,1,1,0,14,124.0,56.0,2,0,0,0.0,23_24,25,19/02/2024,1,[]
