player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ezequiel Ávila,DT,9,betis,alaves,1,74,0,0,0.0,0.0,1,1,0,13,53.8,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,0,1,17,60.0,17.0,0,0,0,0.0,23_24,25,18/02/2024,1,"[{'rojas': [8, 1.0]}]"
Willian José,DT,12,betis,alaves,0,16,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,5,9.0,1.0,0,0,0,0.0,23_24,25,18/02/2024,1,"[{'rojas': [10, 1.0]}]"
Abde Ezzalzouli,DT,7,betis,alaves,1,74,0,0,0.1,0.0,4,4,0,33,54.5,1,0,0.0,0.0,0.0,4,3,1,0,1,0,0,0,2,6,3,3,35,303.0,135.0,2,6,1,85.7,23_24,25,18/02/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Rodri,DT,17,betis,alaves,0,16,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,37.0,0.0,0,0,1,0.0,23_24,25,18/02/2024,1,[]
Pablo Fornals,DT,18,betis,alaves,1,90,0,0,0.0,0.3,1,1,0,63,74.6,0,0,0.0,0.0,0.0,6,0,0,0,0,2,0,2,2,2,1,1,44,293.0,158.0,6,1,1,50.0,23_24,25,18/02/2024,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
Nabil Fekir,MC,8,betis,alaves,1,90,0,0,0.1,0.1,2,2,0,69,78.3,0,0,0.0,0.0,0.0,8,1,0,0,0,3,0,3,0,5,3,1,55,276.0,158.0,5,1,0,100.0,23_24,25,18/02/2024,1,[]
Marc Roca,MC,21,betis,alaves,1,65,0,0,0.0,0.0,0,0,0,55,90.9,1,0,0.0,0.0,0.0,6,2,2,0,0,2,0,2,0,0,0,0,44,264.0,130.0,4,0,2,0.0,23_24,25,18/02/2024,1,[]
Cédric Bakambu,DT,11,betis,alaves,0,25,0,0,0.0,0.1,1,1,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,8,59.0,30.0,2,0,0,0.0,23_24,25,18/02/2024,1,[]
Johnny Cardoso,MC,4,betis,alaves,1,90,0,0,0.2,0.0,1,1,0,40,77.5,0,0,0.0,0.0,0.0,7,4,2,0,1,0,0,0,4,2,1,1,31,164.0,63.0,0,3,2,60.0,23_24,25,18/02/2024,1,"[{'intercepciones': [6, 48.0]}]"
Juan Miranda,DF,3,betis,alaves,1,90,0,0,0.3,0.0,3,2,1,66,87.9,1,0,0.0,0.0,0.0,7,6,6,0,3,1,0,1,6,0,0,0,36,195.0,123.0,3,1,4,20.0,23_24,25,18/02/2024,1,[]
