player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Robert Lewandowski,DT,barcelona,getafe,1,90,0,0,0.4,0.4,1,0,1,16,81.3,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,4,0,4,13,30.0,9.0,0,0,0,0.0,23_24,26,24/02/2024,1,"[{'goles': [3, 19.0]}, {'goles_90': [8, 0.62]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [3, 4.0]}, {'tiros_puerta': [3, 37.0]}]"
João Félix,DT,barcelona,getafe,1,62,1,0,0.6,0.0,3,0,3,14,85.7,0,0,0.0,0.0,0.0,12,1,2,0,1,1,0,1,1,5,1,3,18,47.0,15.0,0,0,0,0.0,23_24,26,24/02/2024,1,[]
Fermin López,DT,barcelona,getafe,0,28,1,0,0.6,0.0,2,0,2,14,78.6,0,0,0.0,0.0,0.0,10,3,0,0,0,2,0,2,0,1,0,1,19,87.0,54.0,3,0,0,0.0,23_24,26,24/02/2024,1,"[{'asistencias_90': [3, 0.36]}, {'rojas': [8, 1.0]}]"
Raphinha,DT,barcelona,getafe,1,76,1,1,0.8,0.4,4,3,1,31,83.9,0,0,0.0,0.0,0.0,16,1,1,0,1,0,0,0,1,1,0,1,27,182.0,137.0,6,0,0,0.0,23_24,26,24/02/2024,1,"[{'asistencias': [5, 9.0]}, {'asistencias_90': [1, 0.59]}, {'rojas': [10, 1.0]}]"
Vitor Roque,DT,barcelona,getafe,0,14,0,0,0.1,0.0,1,0,1,3,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,1,0,1,4,22.0,12.0,0,0,0,0.0,23_24,26,24/02/2024,1,"[{'rojas': [10, 1.0]}]"
İlkay Gündoğan,MC,barcelona,getafe,1,82,0,0,0.0,0.4,0,0,0,47,78.7,1,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,2,1,1,32,196.0,37.0,0,0,2,0.0,23_24,26,24/02/2024,1,"[{'asistencias': [5, 9.0]}, {'pases_clave': [1, 97.0]}, {'pases_ultimo_tercio': [10, 188.0]}, {'corners': [1, 140.0]}]"
Pedri,MC,barcelona,getafe,0,8,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,12.0,12.0,0,0,0,0.0,23_24,26,24/02/2024,1,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
Andreas Christensen,MC,barcelona,getafe,1,76,0,1,0.0,0.6,0,0,0,42,95.2,0,0,0.0,0.0,0.0,13,1,0,0,0,1,0,1,2,0,0,0,27,106.0,36.0,0,4,0,100.0,23_24,26,24/02/2024,1,"[{'pases_completados_pct': [1, 94.3]}]"
Oriol Romeu,MC,barcelona,getafe,0,14,0,0,0.1,0.4,1,1,0,9,88.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,7,19.0,5.0,0,0,0,0.0,23_24,26,24/02/2024,1,[]
Frenkie de Jong,MC,barcelona,getafe,1,90,1,0,0.1,0.2,1,0,1,75,90.7,0,0,0.0,0.0,0.0,14,4,1,0,0,0,0,0,5,1,0,0,51,299.0,145.0,3,1,0,100.0,23_24,26,24/02/2024,1,"[{'pases_completados_pct': [5, 92.1]}]"
João Cancelo,DF,barcelona,getafe,1,83,0,0,0.1,0.0,2,2,0,49,81.6,0,0,0.0,0.0,0.0,8,2,2,0,0,0,0,0,1,3,1,1,41,242.0,110.0,5,0,2,0.0,23_24,26,24/02/2024,1,"[{'regates_exitosos': [7, 61.0]}]"
Héctor Fort,DF,barcelona,getafe,0,7,0,0,0.0,0.1,0,0,0,8,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,9.0,2.0,0,0,0,0.0,23_24,26,24/02/2024,1,[]
Pau Cubarsí,DF,barcelona,getafe,1,90,0,0,0.0,0.0,0,0,0,81,87.7,0,0,0.0,0.0,0.0,10,1,1,0,0,0,0,0,9,0,0,0,59,273.0,91.0,0,4,0,100.0,23_24,26,24/02/2024,1,"[{'pases_completados_pct': [7, 91.5]}]"
Ronald Araújo,DF,barcelona,getafe,1,90,0,0,0.3,0.0,1,1,0,75,86.7,0,0,0.0,0.0,0.0,9,2,1,0,0,0,0,0,5,1,1,0,57,233.0,106.0,3,3,0,100.0,23_24,26,24/02/2024,1,"[{'pases_completados_pct': [5, 92.5]}]"
