player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Rodrygo,BRA,23,DT,11,real madrid,sevilla,1,89,0,0,0.2,0.0,3,1,2,46,91.3,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,5,2,3,41,372.0,234.0,7,0,0,0.0,23_24,26,25/02/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Álvaro Rodríguez,URU,19,DT,29,real madrid,sevilla,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,2,2,0,1,28.0,0.0,0,0,0,0.0,23_24,26,25/02/2024,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [3, 0.48]}]"
Vinicius Júnior,BRA,23,DT,7,real madrid,sevilla,1,90,0,0,0.2,0.1,4,2,2,55,69.1,0,0,0.0,0.0,0.0,8,4,1,0,0,0,0,0,0,13,6,7,59,557.0,207.0,9,0,0,0.0,23_24,26,25/02/2024,1,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Brahim Díaz,MAR,24,DT,21,real madrid,sevilla,1,89,0,0,0.0,0.4,0,0,0,34,85.3,0,0,0.0,0.0,0.0,8,3,0,0,0,0,0,0,0,3,2,1,32,216.0,72.0,3,0,2,0.0,23_24,26,25/02/2024,1,"[{'asistencias_90': [5, 0.35]}]"
Dani Ceballos,ESP,27,DT,19,real madrid,sevilla,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,2,6.0,0.0,0,0,0,0.0,23_24,26,25/02/2024,1,"[{'pases_completados_pct': [2, 94.3]}]"
Toni Kroos,GER,34,MC,8,real madrid,sevilla,1,90,0,0,0.1,0.2,2,2,0,125,90.4,1,0,0.0,0.0,0.0,6,3,2,0,1,1,0,1,0,0,0,0,90,466.0,288.0,4,0,0,0.0,23_24,26,25/02/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Aurélien Tchouaméni,FRA,24,MC,18,real madrid,sevilla,1,90,0,0,0.1,0.0,2,2,0,77,93.5,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,1,0,0,0,63,326.0,146.0,2,1,2,33.3,23_24,26,25/02/2024,1,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
Federico Valverde,URU,25,MC,15,real madrid,sevilla,1,90,0,0,0.3,0.0,2,1,1,57,93.0,0,0,0.0,0.0,0.0,7,1,1,0,0,2,0,2,0,0,0,0,39,251.0,144.0,4,2,1,66.7,23_24,26,25/02/2024,1,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Ferland Mendy,FRA,28,DF,23,real madrid,sevilla,1,90,0,0,0.0,0.1,1,1,0,75,96.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,58,257.0,174.0,3,0,0,0.0,23_24,26,25/02/2024,1,"[{'pases_completados_pct': [2, 94.2]}]"
Nacho,ESP,34,DF,6,real madrid,sevilla,1,74,0,0,0.0,0.0,0,0,0,48,91.7,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,32,114.0,71.0,0,3,0,100.0,23_24,26,25/02/2024,1,"[{'pases_completados_pct': [4, 92.3]}, {'rojas': [2, 2.0]}]"
