player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Artem Dovbyk,DT,9,girona,rayo,1,72,0,0,0.3,0.0,1,1,0,6,66.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,5,8.0,1.0,0,1,1,50.0,23_24,26,26/02/2024,1,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Cristhian Stuani,DT,7,girona,rayo,0,18,0,0,0.6,0.0,1,0,1,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,3.0,1.0,0,0,0,0.0,23_24,26,26/02/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'apariciones_suplente': [1, 26.0]}]"
Sávio,DT,16,girona,rayo,1,90,2,0,0.3,0.1,2,0,2,20,70.0,1,0,0.0,0.0,0.0,18,2,0,0,0,1,0,1,1,8,4,3,21,299.0,230.0,7,0,1,0.0,23_24,26,26/02/2024,1,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Viktor Tsyhankov,DT,8,girona,rayo,1,88,1,0,0.3,0.3,2,0,2,32,87.5,0,0,0.0,0.0,0.0,13,1,1,0,1,0,0,0,0,1,0,0,27,186.0,108.0,4,1,1,50.0,23_24,26,26/02/2024,1,"[{'corners': [10, 80.0]}]"
Pablo Torre,DT,18,girona,rayo,0,2,0,1,0.0,0.2,0,0,0,4,100.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,3,9.0,2.0,0,0,0,0.0,23_24,26,26/02/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Portu,MC,24,girona,rayo,1,72,0,0,0.1,0.0,1,1,0,10,50.0,0,0,0.0,0.0,0.0,4,2,0,0,0,2,0,2,1,0,0,0,9,25.0,10.0,1,0,1,0.0,23_24,26,26/02/2024,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Iván Martín,MC,23,girona,rayo,0,18,0,0,0.0,0.0,0,0,0,15,86.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,15,108.0,55.0,1,0,0,0.0,23_24,26,26/02/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Aleix García,MC,14,girona,rayo,1,90,0,0,0.1,0.1,1,1,0,80,86.3,1,0,0.0,0.0,0.0,9,3,3,0,1,0,0,0,0,4,4,0,59,361.0,171.0,3,0,0,0.0,23_24,26,26/02/2024,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Yangel Herrera,MC,21,girona,rayo,1,88,0,0,0.5,0.0,4,2,2,51,82.4,0,0,0.0,0.0,0.0,7,6,5,0,1,0,0,0,1,1,1,0,50,262.0,103.0,1,2,0,100.0,23_24,26,26/02/2024,1,"[{'faltas_cometidas': [6, 65.0]}]"
Jhon Solis,MC,22,girona,rayo,0,2,0,0,0.2,0.0,1,0,1,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,26.0,14.0,0,0,0,0.0,23_24,26,26/02/2024,1,[]
Miguel Gutiérrez,DF,3,girona,rayo,1,90,0,1,0.0,1.0,0,0,0,55,90.9,0,0,0.0,0.0,0.0,18,1,0,0,0,1,0,1,1,4,3,1,44,329.0,158.0,5,2,1,66.7,23_24,26,26/02/2024,1,"[{'centros_area': [10, 19.0]}]"
David López,DF,5,girona,rayo,1,69,0,0,0.0,0.0,0,0,0,81,90.1,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,1,1,0,67,418.0,254.0,1,2,0,100.0,23_24,26,26/02/2024,1,"[{'pases_completados_pct': [3, 92.8]}]"
Juanpe,DF,15,girona,rayo,0,21,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,1,0,0,0,8,31.0,3.0,0,0,1,0.0,23_24,26,26/02/2024,1,[]
Eric García,DF,25,girona,rayo,1,90,0,0,0.0,0.0,0,0,0,102,86.3,0,0,0.0,0.0,0.0,9,1,1,0,0,1,1,0,2,0,0,0,85,767.0,590.0,11,2,0,100.0,23_24,26,26/02/2024,1,"[{'goles_por_tiro': [2, 0.29]}, {'pases_ultimo_tercio': [7, 227.0]}]"
Yan Couto,DF,20,girona,rayo,1,90,0,1,0.0,0.3,1,1,0,62,71.0,1,0,0.0,0.0,0.0,10,1,2,0,1,0,0,0,2,4,0,2,57,459.0,309.0,10,0,0,0.0,23_24,26,26/02/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Paulo Gazzaniga,PT,13,girona,rayo,1,90,0,0,0.0,0.0,0,0,0,33,93.9,0,0,0.0,100.0,0.4,10,0,0,0,0,0,0,0,1,0,0,0,23,118.0,53.0,0,0,0,0.0,23_24,26,26/02/2024,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 12.0]}, {'paradas': [2, 121.0]}, {'save_pct': [5, 75.6]}]"
Raúl de Tomás,DT,22,rayo,girona,1,57,0,0,0.0,0.0,1,1,0,14,85.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,10,48.0,7.0,0,0,2,0.0,23_24,26,26/02/2024,0,[]
