player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Alexander Sørloth,DT,11,villarreal,granada,1,90,3,0,1.2,0.0,3,0,3,18,77.8,0,0,0.0,0.0,0.0,18,0,0,0,0,1,0,1,0,4,1,3,17,110.0,20.0,1,1,1,50.0,23_24,27,03/03/2024,1,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Gerard Moreno,DT,7,villarreal,granada,1,45,0,0,0.2,0.0,1,1,0,16,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,17,80.0,38.0,1,0,0,0.0,23_24,27,03/03/2024,1,"[{'pases_clave': [10, 53.0]}]"
Gonçalo Guedes,DT,9,villarreal,granada,0,45,1,0,0.3,0.0,2,0,2,16,75.0,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,0,0,0,0,10,68.0,49.0,2,0,0,0.0,23_24,27,03/03/2024,1,[]
Alex Baena,MC,16,villarreal,granada,1,61,0,1,0.1,0.3,1,1,0,25,64.0,0,0,0.0,0.0,0.0,10,2,3,0,2,0,0,0,1,2,1,1,16,112.0,57.0,1,0,0,0.0,23_24,27,03/03/2024,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Manu Trigueros,MC,14,villarreal,granada,0,29,0,0,0.0,0.0,1,0,1,12,91.7,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,1,0,0,0,8,57.0,11.0,1,0,0,0.0,23_24,27,03/03/2024,1,[]
Daniel Parejo,MC,10,villarreal,granada,1,90,0,3,0.1,1.0,2,1,1,66,89.4,0,0,0.0,0.0,0.0,19,2,1,0,1,1,0,1,2,0,0,0,17,41.0,16.0,0,1,1,50.0,23_24,27,03/03/2024,1,"[{'penaltis_marcados': [7, 3.0]}]"
Étienne Capoue,MC,6,villarreal,granada,1,90,1,0,0.2,0.0,1,0,1,44,86.4,1,0,0.0,0.0,0.0,10,2,1,0,0,1,0,1,1,5,4,1,31,199.0,124.0,3,2,1,66.7,23_24,27,03/03/2024,1,[]
Bertrand Traoré,MC,25,villarreal,granada,1,74,0,0,0.1,0.3,3,1,2,20,90.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,1,0,1,14,126.0,99.0,4,0,1,0.0,23_24,27,03/03/2024,1,[]
José Luis Morales,MC,15,villarreal,granada,0,16,0,0,0.0,0.0,0,0,0,5,20.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,5,117.0,100.0,3,0,0,0.0,23_24,27,03/03/2024,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Alberto Moreno,DF,18,villarreal,granada,1,90,0,0,0.0,0.1,2,2,0,45,82.2,0,0,0.0,0.0,0.0,6,3,1,0,1,0,0,0,6,0,0,0,21,133.0,57.0,2,0,0,0.0,23_24,27,03/03/2024,1,"[{'rojas': [2, 2.0]}]"
Yerson Mosquera,DF,2,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,55,85.5,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,8,0,0,0,26,109.0,47.0,0,2,1,66.7,23_24,27,03/03/2024,1,[]
Eric Bailly,DF,12,villarreal,granada,1,45,0,0,0.0,0.0,0,0,0,22,86.4,0,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,2,0,0,0,12,88.0,52.0,0,0,1,0.0,23_24,27,03/03/2024,1,"[{'rojas': [8, 1.0]}]"
Aïssa Mandi,DF,23,villarreal,granada,0,16,0,0,0.0,0.0,0,0,0,8,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0,0,0,0.0,23_24,27,03/03/2024,1,[]
Stefan Lekovic,DF,42,villarreal,granada,0,29,0,0,0.0,0.0,0,0,0,14,85.7,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,4,6.0,1.0,0,0,0,0.0,23_24,27,03/03/2024,1,[]
Kiko Femenía,DF,17,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,66,86.4,0,0,0.0,0.0,0.0,5,2,3,0,1,2,0,2,2,1,0,1,36,284.0,187.0,4,0,0,0.0,23_24,27,03/03/2024,1,"[{'rojas': [10, 1.0]}]"
Pepe Reina,PT,1,villarreal,granada,1,90,0,0,0.0,0.0,0,0,0,36,77.8,0,0,1.0,66.7,0.8,6,0,0,0,0,0,0,0,0,0,0,0,28,166.0,84.0,0,0,0,0.0,23_24,27,03/03/2024,1,"[{'rojas': [10, 1.0]}]"
