player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Álvaro Morata,ESP,31,DT,19,atletico madrid,betis,1,85,1,0,1.5,0.1,3,0,3,18,55.6,0,0,0.0,0.0,0.0,13,1,0,0,0,2,0,2,0,4,2,1,16,58.0,12.0,0,3,2,60.0,23_24,27,03/03/2024,1,"[{'goles': [8, 15.0]}, {'goles_90': [5, 0.71]}, {'tiros_puerta': [9, 33.0]}, {'goles_por_tiro': [10, 0.23]}, {'rojas': [10, 1.0]}]"
Stefan Savić,MNE,33,DF,15,atletico madrid,betis,0,5,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,27,03/03/2024,1,"[{'rojas': [10, 1.0]}]"
Memphis,NED,30,DT,9,atletico madrid,betis,1,80,0,0,0.5,0.3,4,1,3,33,69.7,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,0,2,1,1,12,50.0,30.0,0,1,0,100.0,23_24,27,03/03/2024,1,[]
Reinildo Mandava,MOZ,30,MC,23,atletico madrid,betis,0,10,0,0,0.0,0.3,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,1,0,1,2,14.0,8.0,1,0,0,0.0,23_24,27,03/03/2024,1,[]
Pablo Barrios,ESP,20,MC,24,atletico madrid,betis,1,90,0,0,0.0,0.0,0,0,0,41,80.5,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,3,1,1,0,26,114.0,34.0,1,0,1,0.0,23_24,27,03/03/2024,1,"[{'rojas': [8, 1.0]}]"
Koke,ESP,32,MC,6,atletico madrid,betis,1,61,0,0,0.0,0.0,0,0,0,60,86.7,0,0,0.0,0.0,0.0,4,3,4,0,2,4,0,4,0,0,0,0,15,36.0,15.0,0,2,0,100.0,23_24,27,03/03/2024,1,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Saúl Ñíguez,ESP,29,MC,8,atletico madrid,betis,0,29,0,0,0.1,0.0,1,1,0,7,42.9,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,6,0,0,0,2,23.0,14.0,1,2,2,50.0,23_24,27,03/03/2024,1,"[{'rojas': [10, 1.0]}]"
Rodrigo De Paul,ARG,29,MC,5,atletico madrid,betis,1,61,0,0,0.2,0.3,2,1,1,36,83.3,1,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,1,0,1,19,151.0,54.0,2,1,0,100.0,23_24,27,03/03/2024,1,"[{'pases_ultimo_tercio': [8, 180.0]}]"
Nahuel Molina,ARG,25,MC,16,atletico madrid,betis,0,29,0,0,0.0,0.0,0,0,0,15,80.0,0,0,0.0,0.0,0.0,3,1,1,0,0,2,0,2,0,1,0,1,8,32.0,20.0,0,0,1,0.0,23_24,27,03/03/2024,1,"[{'rojas': [10, 1.0]}]"
Samuel Lino,BRA,24,MC,12,atletico madrid,betis,1,80,0,0,0.0,0.2,1,0,1,43,86.0,0,0,0.0,0.0,0.0,9,4,3,0,0,2,0,2,1,5,4,1,24,297.0,226.0,9,0,0,0.0,23_24,27,03/03/2024,1,[]
Rodrigo Riquelme,ESP,23,DT,17,atletico madrid,betis,0,10,0,0,0.0,0.0,2,1,1,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,79.0,40.0,0,0,0,0.0,23_24,27,03/03/2024,1,[]
