player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Samu Omorodion,DT,32,alaves,rayo,1,70,0,0,0.1,0.0,3,2,1,13,53.8,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,1,1,0,15,91.0,26.0,2,1,3,25.0,23_24,28,10/03/2024,1,[]
Kiké,DT,15,alaves,rayo,0,20,0,0,0.0,0.0,1,1,0,8,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,10,38.0,19.0,0,0,2,0.0,23_24,28,10/03/2024,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Luis Rioja,DT,11,alaves,rayo,1,71,0,0,0.0,0.0,0,0,0,22,50.0,0,0,0.0,0.0,0.0,5,0,1,0,1,1,1,0,1,1,0,1,15,58.0,11.0,0,1,2,33.3,23_24,28,10/03/2024,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Abde Rebbach,DT,21,alaves,rayo,0,19,0,0,0.1,0.0,1,1,0,10,70.0,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,2,0,2,9,165.0,51.0,3,1,1,50.0,23_24,28,10/03/2024,1,[]
Carlos Vicente,DT,22,alaves,rayo,1,77,0,0,0.0,0.0,1,0,1,23,52.2,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,2,1,1,0,14,83.0,38.0,2,1,1,50.0,23_24,28,10/03/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Alex Sola,DT,7,alaves,rayo,0,13,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,1,2,2,0,2,16.0,0.0,0,0,0,0.0,23_24,28,10/03/2024,1,[]
Jon Guridi,MC,18,alaves,rayo,1,77,0,0,0.0,0.1,1,0,1,18,94.4,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,1,1,1,0,9,23.0,17.0,0,2,1,66.7,23_24,28,10/03/2024,1,[]
Carlos Benavídez,MC,23,alaves,rayo,0,13,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.0,0,0,0,0.0,23_24,28,10/03/2024,1,[]
Ander Guevara,MC,6,alaves,rayo,1,90,0,0,0.0,0.0,0,0,0,37,75.7,0,0,0.0,0.0,0.0,7,1,6,0,5,0,0,0,4,0,0,0,13,82.0,58.0,2,0,0,0.0,23_24,28,10/03/2024,1,[]
Antonio Blanco,MC,8,alaves,rayo,1,90,0,1,0.0,0.3,0,0,0,33,72.7,1,0,0.0,0.0,0.0,11,3,7,0,5,0,0,0,1,2,1,1,18,149.0,118.0,3,0,0,0.0,23_24,28,10/03/2024,1,"[{'rojas': [10, 1.0]}]"
Javi López,DF,27,alaves,rayo,1,90,0,0,0.0,0.0,2,2,0,35,88.6,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,1,3,1,2,14,116.0,32.0,1,2,3,40.0,23_24,28,10/03/2024,1,[]
Rafa Marín,DF,16,alaves,rayo,1,90,0,0,0.0,0.1,1,1,0,31,77.4,0,0,0.0,0.0,0.0,9,3,1,0,1,1,0,1,4,0,0,0,16,94.0,52.0,0,1,1,50.0,23_24,28,10/03/2024,1,"[{'despejes': [10, 129.0]}]"
