player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Vinicius Júnior,DT,real madrid,celta,1,88,1,0,0.9,0.3,3,0,3,32,71.9,1,0,0.0,0.0,0.0,9,0,0,0,0,3,0,3,0,6,1,4,39,243.0,137.0,8,0,0,0.0,23_24,28,10/03/2024,1,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Arda Güler,DT,real madrid,celta,0,2,1,0,0.4,0.0,1,0,1,5,100.0,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,1,0,4,12.0,7.0,0,0,0,0.0,23_24,28,10/03/2024,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Rodrygo,DT,real madrid,celta,1,73,0,0,0.3,0.0,2,0,2,32,93.8,0,0,0.0,0.0,0.0,7,1,0,0,0,2,0,2,0,6,2,3,30,234.0,130.0,6,0,0,0.0,23_24,28,10/03/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Joselu,DT,real madrid,celta,0,17,0,0,0.2,0.0,1,0,1,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,33.0,25.0,1,0,0,0.0,23_24,28,10/03/2024,1,[]
Brahim Díaz,MC,real madrid,celta,1,82,0,0,0.4,0.1,4,3,1,39,89.7,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,5,2,2,36,263.0,123.0,3,0,0,0.0,23_24,28,10/03/2024,1,"[{'asistencias_90': [5, 0.35]}]"
Aurélien Tchouaméni,MC,real madrid,celta,0,8,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,2,0,0,0,9,29.0,22.0,0,0,0,0.0,23_24,28,10/03/2024,1,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
Eduardo Camavinga,MC,real madrid,celta,1,87,0,0,0.3,0.0,5,2,3,63,92.1,1,0,0.0,0.0,0.0,9,2,2,0,0,3,1,2,1,3,2,1,48,192.0,87.0,0,3,0,100.0,23_24,28,10/03/2024,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Dani Ceballos,DT,real madrid,celta,0,3,0,1,0.0,0.4,0,0,0,6,83.3,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,5,17.0,2.0,0,0,0,0.0,23_24,28,10/03/2024,1,"[{'pases_completados_pct': [2, 94.3]}]"
Luka Modrić,MC,real madrid,celta,1,82,0,0,0.0,0.8,0,0,0,105,87.6,0,0,0.0,0.0,0.0,14,4,3,0,1,0,0,0,0,2,1,0,76,420.0,225.0,5,0,0,0.0,23_24,28,10/03/2024,1,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Toni Kroos,MC,real madrid,celta,0,8,0,0,0.0,0.0,0,0,0,20,85.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,9,70.0,42.0,1,0,0,0.0,23_24,28,10/03/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
