player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mikel Oyarzabal,ESP,26,DT,10,real sociedad,cadiz,1,73,0,1,0.3,0.2,2,1,1,14,71.4,0,0,0.0,0.0,0.0,10,0,0,0,0,1,0,1,0,1,0,1,8,25.0,12.0,1,0,1,0.0,23_24,29,15/03/2024,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
André Silva,POR,28,DT,21,real sociedad,cadiz,0,17,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,2,13.0,0.0,0,1,0,100.0,23_24,29,15/03/2024,1,[]
Sheraldo Becker,SUR,29,DT,11,real sociedad,cadiz,1,83,0,0,0.2,0.0,2,2,0,31,77.4,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,20,113.0,62.0,2,1,1,50.0,23_24,29,15/03/2024,1,"[{'rojas': [8, 1.0]}]"
Jon Magunazelaia,ESP,22,DT,28,real sociedad,cadiz,0,7,0,0,0.0,0.0,1,1,0,4,75.0,0,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,2,1,1,4,9.0,4.0,0,0,0,0.0,23_24,29,15/03/2024,1,[]
Takefusa Kubo,JPN,22,DT,14,real sociedad,cadiz,1,65,0,0,0.0,0.3,0,0,0,31,61.3,0,0,0.0,0.0,0.0,6,1,3,0,3,0,0,0,0,4,0,4,18,107.0,45.0,2,2,0,100.0,23_24,29,15/03/2024,1,"[{'pases_clave': [6, 58.0]}]"
Arsen Zakharyan,RUS,20,DT,12,real sociedad,cadiz,0,25,1,0,0.8,0.1,1,0,1,10,90.0,0,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,0,0,0,0,9,33.0,22.0,1,0,1,0.0,23_24,29,15/03/2024,1,"[{'apariciones_suplente': [9, 10.0]}]"
Mikel Merino,ESP,27,MC,8,real sociedad,cadiz,1,90,1,0,0.3,0.0,2,0,2,74,70.3,0,0,0.0,0.0,0.0,13,3,1,0,1,1,1,0,1,0,0,0,42,172.0,75.0,0,15,4,78.9,23_24,29,15/03/2024,1,"[{'entradas': [7, 77.0]}, {'faltas_cometidas': [4, 70.0]}]"
Martín Zubimendi,ESP,25,MC,4,real sociedad,cadiz,1,74,0,0,0.0,0.1,1,1,0,49,83.7,1,0,0.0,0.0,0.0,6,3,3,0,0,1,1,0,0,0,0,0,19,114.0,51.0,1,4,2,66.7,23_24,29,15/03/2024,1,[]
Beñat Turrientes,ESP,22,MC,22,real sociedad,cadiz,0,16,0,0,0.0,0.0,0,0,0,14,92.9,0,0,0.0,0.0,0.0,2,1,2,0,1,2,2,0,0,2,1,1,13,92.0,43.0,2,0,0,0.0,23_24,29,15/03/2024,1,[]
Brais Méndez,ESP,27,MC,23,real sociedad,cadiz,1,90,0,1,0.1,1.0,3,2,1,47,76.6,0,0,0.0,0.0,0.0,13,1,1,0,0,0,0,0,1,9,4,4,35,218.0,140.0,4,1,1,50.0,23_24,29,15/03/2024,1,[]
Javi Galán,ESP,29,DF,25,real sociedad,cadiz,1,45,0,0,0.0,0.0,0,0,0,27,74.1,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,2,1,0,15,113.0,70.0,3,0,0,0.0,23_24,29,15/03/2024,1,[]
Kieran Tierney,SCO,26,DF,17,real sociedad,cadiz,0,45,0,0,0.0,0.0,0,0,0,41,78.0,0,0,0.0,0.0,0.0,3,2,1,0,0,1,0,1,0,1,1,0,26,96.0,25.0,0,0,1,0.0,23_24,29,15/03/2024,1,[]
Robin Le Normand,ESP,27,DF,24,real sociedad,cadiz,1,90,0,0,0.1,0.0,1,1,0,81,86.4,1,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,2,0,0,0,53,253.0,145.0,0,7,0,100.0,23_24,29,15/03/2024,1,"[{'amarillas': [4, 13.0]}]"
Igor Zubeldia,ESP,26,DF,5,real sociedad,cadiz,1,90,0,0,0.0,0.0,0,0,0,89,86.5,0,0,0.0,0.0,0.0,9,1,1,0,1,2,2,0,3,0,0,0,69,355.0,215.0,2,5,4,55.6,23_24,29,15/03/2024,1,"[{'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Hamari Traoré,MLI,32,DF,18,real sociedad,cadiz,1,90,0,0,0.1,0.0,1,0,1,81,84.0,0,0,0.0,0.0,0.0,7,2,1,0,1,0,0,0,1,1,1,0,54,206.0,85.0,2,0,0,0.0,23_24,29,15/03/2024,1,[]
Álex Remiro,ESP,28,PT,1,real sociedad,cadiz,1,90,0,0,0.0,0.0,0,0,0,26,69.2,0,0,0.0,100.0,0.2,10,0,0,0,0,0,0,0,1,0,0,0,12,60.0,24.0,0,0,0,0.0,23_24,29,15/03/2024,1,"[{'minutos': [8, 3275.0]}, {'rojas': [10, 1.0]}, {'porterias_cero': [2, 15.0]}, {'save_pct': [3, 76.2]}]"
Juanmi,ESP,30,DT,9,cadiz,real sociedad,1,85,0,0,0.0,0.1,0,0,0,18,83.3,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,3,2,1,17,95.0,61.0,1,0,4,0.0,23_24,29,15/03/2024,0,[]
Sergi Guardiola,ESP,32,DT,19,cadiz,real sociedad,0,5,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,3.0,0.0,0,0,0,0.0,23_24,29,15/03/2024,0,"[{'apariciones_suplente': [10, 21.0]}]"
Maxi Gómez,URU,27,DT,25,cadiz,real sociedad,1,33,0,0,0.0,0.0,0,0,0,8,37.5,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,0,5,15.0,0.0,0,4,5,44.4,23_24,29,15/03/2024,0,[]
Chris Ramos,ESP,27,DT,16,cadiz,real sociedad,0,57,0,0,0.2,0.0,2,1,1,7,57.1,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,5,27.0,20.0,1,2,7,22.2,23_24,29,15/03/2024,0,[]
Roberto Navarro,ESP,21,MC,27,cadiz,real sociedad,1,81,0,0,0.1,0.0,2,1,1,24,83.3,0,0,0.0,0.0,0.0,4,4,3,0,0,1,0,1,0,5,3,2,28,185.0,109.0,3,0,0,0.0,23_24,29,15/03/2024,0,"[{'rojas': [10, 1.0]}]"
Darwin Machís,VEN,31,MC,18,cadiz,real sociedad,0,9,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,1,1,0,0,2,0,2,0,0,0,0,3,19.0,8.0,0,0,0,0.0,23_24,29,15/03/2024,0,"[{'rojas': [10, 1.0]}]"
Rominigue Kouamé,MLI,27,MC,12,cadiz,real sociedad,1,90,0,0,0.2,0.0,2,2,0,46,76.1,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,1,1,1,0,25,213.0,108.0,2,3,5,37.5,23_24,29,15/03/2024,0,[]
Rubén Alcaraz,ESP,32,MC,4,cadiz,real sociedad,1,90,0,0,0.1,0.0,2,2,0,39,61.5,0,0,0.0,0.0,0.0,2,1,3,0,2,1,1,0,2,1,0,1,17,84.0,39.0,0,2,5,28.6,23_24,29,15/03/2024,0,"[{'entradas': [2, 97.0]}, {'amarillas': [2, 14.0]}, {'faltas_cometidas': [1, 84.0]}, {'faltas_recibidas': [6, 71.0]}]"
Rubén Sobrino,ESP,31,MC,7,cadiz,real sociedad,1,85,0,0,0.0,0.2,1,1,0,18,88.9,0,0,0.0,0.0,0.0,4,1,3,0,3,1,0,1,2,2,2,0,8,70.0,45.0,1,0,1,0.0,23_24,29,15/03/2024,0,"[{'rojas': [10, 1.0]}]"
Brian Ocampo,URU,24,MC,10,cadiz,real sociedad,0,5,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,4,38.0,0.0,0,1,0,100.0,23_24,29,15/03/2024,0,[]
