player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Bryan Zaragoza,ESP,21,DT,26,granada,mallorca,1,71,1,0,0.1,0.0,1,0,1,12,33.3,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,2,1,1,15,133.0,83.0,4,0,1,0.0,23_24,3,26/08/2023,1,"[{'regates_exitosos': [9, 57.0]}]"
Njegoš Petrović,SRB,24,DT,18,granada,mallorca,0,19,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,0,0,0,0,2,16.0,7.0,0,0,1,0.0,23_24,3,26/08/2023,1,[]
Myrto Uzuni,ALB,28,DT,11,granada,mallorca,1,89,1,0,0.8,0.0,1,1,0,10,90.0,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,3,2,1,7,58.0,0.0,0,1,4,20.0,23_24,3,26/08/2023,1,"[{'penaltis_marcados': [3, 4.0]}]"
Alberto Perea,ESP,32,DT,22,granada,mallorca,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,2,3.0,1.0,0,0,0,0.0,23_24,3,26/08/2023,1,[]
José Callejón,ESP,36,MC,9,granada,mallorca,1,82,0,1,0.2,0.3,1,0,1,23,78.3,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,3,1,1,18,82.0,34.0,1,0,1,0.0,23_24,3,26/08/2023,1,[]
Alberto Soro,ESP,24,MC,7,granada,mallorca,0,8,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,9.0,0.0,0,0,1,0.0,23_24,3,26/08/2023,1,[]
Sergio Ruiz,ESP,28,MC,20,granada,mallorca,1,71,0,0,0.0,0.0,0,0,0,30,76.7,1,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,3,1,2,23,136.0,60.0,1,0,0,0.0,23_24,3,26/08/2023,1,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Víctor Díaz,ESP,35,MC,16,granada,mallorca,0,19,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,1,3.0,0.0,0,0,0,0.0,23_24,3,26/08/2023,1,[]
Gerard Gumbau,ESP,28,MC,23,granada,mallorca,1,90,0,1,0.1,0.2,3,3,0,47,70.2,0,0,0.0,0.0,0.0,9,1,2,0,1,1,0,1,0,3,1,0,29,110.0,65.0,0,0,1,0.0,23_24,3,26/08/2023,1,"[{'amarillas': [5, 12.0]}, {'faltas_cometidas': [9, 62.0]}]"
Óscar Melendo,ESP,26,MC,21,granada,mallorca,1,82,0,0,0.0,0.0,0,0,0,30,83.3,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,3,1,0,30,131.0,66.0,2,0,1,0.0,23_24,3,26/08/2023,1,[]
Famara Diedhiou,SEN,30,MC,19,granada,mallorca,0,8,0,0,0.0,0.0,1,1,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,11.0,1.0,0,1,1,50.0,23_24,3,26/08/2023,1,[]
