player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Alexander Sørloth,DT,villarreal,barcelona,1,90,1,0,1.2,0.0,2,0,2,18,88.9,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,3,1,1,11,101.0,19.0,1,3,6,33.3
Gerard Moreno,DT,villarreal,barcelona,1,69,0,0,0.1,0.0,2,2,0,23,82.6,0,0,0.0,0.0,0.0,3,2,3,0,2,1,0,1,1,2,1,1,16,81.0,13.0,0,1,1,50.0
Ilias Akhomach,DT,villarreal,barcelona,0,21,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,2,0,1,6,19.0,10.0,0,0,0,0.0
Alex Baena,MC,villarreal,barcelona,1,76,1,1,0.3,0.4,4,2,2,26,80.8,0,0,0.0,0.0,0.0,14,1,2,0,2,1,0,1,0,0,0,0,24,77.0,37.0,1,0,0,0.0
José Luis Morales,MC,villarreal,barcelona,0,14,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0
Daniel Parejo,MC,villarreal,barcelona,1,85,0,0,0.0,0.0,0,0,0,44,84.1,0,0,0.0,0.0,0.0,1,2,0,0,0,0,0,0,1,1,1,0,24,99.0,28.0,0,0,0,0.0
Ben Brereton,MC,villarreal,barcelona,0,5,0,0,0.0,0.0,1,1,0,2,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,13.0,9.0,0,0,0,0.0
Étienne Capoue,MC,villarreal,barcelona,1,69,0,0,0.0,0.1,0,0,0,26,88.5,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,2,0,0,0,11,34.0,17.0,0,0,0,0.0
Denis Suárez,MC,villarreal,barcelona,0,21,0,0,0.0,0.0,0,0,0,20,80.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,6,4,1,13,158.0,118.0,3,0,0,0.0
Ramón Terrats,MC,villarreal,barcelona,1,69,0,0,0.0,0.0,0,0,0,20,75.0,1,0,0.0,0.0,0.0,1,1,2,0,2,1,0,1,0,2,2,0,12,38.0,21.0,0,1,0,100.0
Santi Comesaña,MC,villarreal,barcelona,0,21,0,0,0.0,0.0,0,0,0,16,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,10,51.0,22.0,0,0,0,0.0
Alfonso Pedraza,DF,villarreal,barcelona,1,90,0,2,0.1,1.1,1,0,1,41,78.0,0,0,0.0,0.0,0.0,9,1,1,0,1,2,1,1,0,3,2,1,28,257.0,166.0,4,0,0,0.0
Jorge Cuenca,DF,villarreal,barcelona,1,90,0,0,0.0,0.0,1,1,0,40,95.0,0,0,0.0,0.0,0.0,0,0,0,0,0,5,4,1,5,1,1,0,23,127.0,60.0,0,1,0,100.0
Matteo Gabbia,DF,villarreal,barcelona,1,90,0,0,0.0,0.1,0,0,0,39,82.1,1,0,0.0,0.0,0.0,0,3,2,0,0,1,1,0,9,0,0,0,19,81.0,48.0,0,4,2,66.7
Juan Foyth,DF,villarreal,barcelona,1,90,1,0,0.1,0.0,2,1,1,54,79.6,1,0,0.0,0.0,0.0,6,5,1,0,1,0,0,0,3,4,1,3,27,156.0,57.0,1,3,1,75.0
Filip Jørgensen,PT,villarreal,barcelona,1,90,0,0,0.0,0.0,0,0,0,35,82.9,0,0,4.0,63.6,3.3,6,0,0,0,0,0,0,0,1,0,0,0,21,92.0,60.0,0,0,0,0.0
Robert Lewandowski,DT,barcelona,villarreal,1,90,1,0,1.6,0.1,5,2,3,25,76.0,1,0,0.0,0.0,0.0,6,0,0,0,0,2,0,2,0,2,1,1,22,111.0,21.0,2,4,2,66.7
Gavi,DT,barcelona,villarreal,1,90,1,0,0.3,0.0,1,0,1,39,94.9,0,0,0.0,0.0,0.0,6,3,7,0,4,2,0,2,0,1,0,1,35,156.0,71.0,1,0,3,0.0
Lamine Yamal,DT,barcelona,villarreal,1,75,0,1,0.2,0.3,4,3,1,41,85.4,1,0,0.0,0.0,0.0,8,1,3,0,3,2,0,2,1,3,3,0,35,201.0,126.0,5,0,0,0.0
Ansu Fati,DT,barcelona,villarreal,0,15,0,0,0.3,0.0,2,2,0,2,50.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,6,66.0,56.0,2,0,1,0.0
Frenkie de Jong,MC,barcelona,villarreal,1,90,1,0,0.3,0.4,1,0,1,94,92.6,0,0,0.0,0.0,0.0,11,1,3,0,3,2,2,0,0,3,2,1,71,400.0,216.0,2,0,0,0.0
Oriol Romeu,MC,barcelona,villarreal,1,62,0,0,0.1,0.1,2,1,1,50,90.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,1,0,32,141.0,67.0,1,0,1,0.0
Ferrán Torres,DT,barcelona,villarreal,0,28,1,0,0.2,0.4,2,1,1,22,95.5,0,0,0.0,0.0,0.0,10,2,2,0,0,0,0,0,0,1,1,0,15,93.0,61.0,1,0,1,0.0
İlkay Gündoğan,MC,barcelona,villarreal,1,85,0,0,0.1,0.3,2,1,1,43,76.7,0,0,0.0,0.0,0.0,3,1,0,0,0,2,0,2,0,1,1,0,31,141.0,68.0,1,0,0,0.0
Fermin López,MC,barcelona,villarreal,0,5,0,0,0.1,0.0,1,0,1,8,75.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,7,38.0,26.0,1,0,0,0.0
Marcos Alonso,DF,barcelona,villarreal,1,90,0,0,0.1,0.1,1,0,1,70,85.7,0,0,0.0,0.0,0.0,4,5,3,0,0,2,0,2,2,2,2,0,52,237.0,97.0,4,1,1,50.0
Andreas Christensen,DF,barcelona,villarreal,1,45,0,0,0.0,0.0,0,0,0,37,94.6,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,114.0,76.0,0,1,0,100.0
Eric García,DF,barcelona,villarreal,0,45,0,0,0.0,0.0,0,0,0,39,94.9,1,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,29,143.0,99.0,0,1,0,100.0
Jules Koundé,DF,barcelona,villarreal,1,90,0,0,0.0,0.0,0,0,0,63,92.1,0,0,0.0,0.0,0.0,2,2,1,0,0,1,1,0,3,0,0,0,50,352.0,266.0,3,2,3,40.0
Sergi Roberto,DF,barcelona,villarreal,1,90,0,0,0.0,0.0,0,0,0,67,88.1,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,44,309.0,160.0,2,0,1,0.0
MarcAndré ter Stegen,PT,barcelona,villarreal,1,90,0,0,0.0,0.0,0,0,0,28,85.7,0,0,3.0,50.0,2.8,2,0,0,0,0,0,0,0,1,0,0,0,23,80.0,62.0,0,1,0,100.0
