player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Juanmi,DT,9,cadiz,granada,1,90,0,0,0.1,0.4,2,1,1,28,78.6,0,0,0.0,0.0,0.0,6,0,3,0,3,0,0,0,0,3,1,2,23,97.0,25.0,0,1,0,100.0,23_24,30,29/03/2024,1,[]
Chris Ramos,DT,16,cadiz,granada,1,84,0,0,0.8,0.0,4,2,2,13,61.5,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,0,1,1,0,13,83.0,39.0,2,3,1,75.0,23_24,30,29/03/2024,1,[]
Sergi Guardiola,DT,19,cadiz,granada,0,6,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,0,1,5,16.0,0.0,0,0,0,0.0,23_24,30,29/03/2024,1,"[{'apariciones_suplente': [10, 21.0]}]"
Rubén Sobrino,MC,7,cadiz,granada,1,75,0,0,0.1,0.1,2,2,0,25,72.0,0,0,0.0,0.0,0.0,4,1,4,0,3,1,0,1,1,4,1,3,21,114.0,37.0,2,1,1,50.0,23_24,30,29/03/2024,1,"[{'rojas': [10, 1.0]}]"
Iván Alejo,MC,11,cadiz,granada,0,15,0,0,0.0,0.0,0,0,0,9,55.6,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,3,24.0,6.0,1,0,1,0.0,23_24,30,29/03/2024,1,"[{'centros_area': [5, 22.0]}, {'amarillas': [1, 17.0]}]"
Rominigue Kouamé,MC,12,cadiz,granada,1,45,0,0,0.0,0.0,0,0,0,36,94.4,0,0,0.0,0.0,0.0,2,2,1,0,1,2,0,2,0,0,0,0,18,149.0,40.0,1,2,0,100.0,23_24,30,29/03/2024,1,[]
Álex Fernández,MC,8,cadiz,granada,0,45,0,0,0.0,0.0,0,0,0,25,84.0,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,0,0,0,12,48.0,13.0,0,0,1,0.0,23_24,30,29/03/2024,1,[]
Rubén Alcaraz,MC,4,cadiz,granada,1,90,0,1,0.1,0.3,1,1,0,68,86.8,0,0,0.0,0.0,0.0,13,7,5,0,1,2,1,1,1,0,0,0,40,197.0,88.0,3,0,0,0.0,23_24,30,29/03/2024,1,"[{'entradas': [2, 97.0]}, {'amarillas': [2, 14.0]}, {'faltas_cometidas': [1, 84.0]}, {'faltas_recibidas': [6, 71.0]}]"
Roberto Navarro,MC,27,cadiz,granada,1,75,1,0,0.4,0.1,2,0,2,39,74.4,0,0,0.0,0.0,0.0,13,0,0,0,0,1,0,1,0,7,1,5,35,251.0,136.0,4,1,0,100.0,23_24,30,29/03/2024,1,"[{'rojas': [10, 1.0]}]"
Lucas,MC,33,cadiz,granada,0,15,0,0,0.0,0.3,0,0,0,12,83.3,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,2,1,1,10,94.0,56.0,2,0,1,0.0,23_24,30,29/03/2024,1,[]
Javi Hernández,DF,15,cadiz,granada,1,90,0,0,0.0,0.2,0,0,0,69,69.6,0,0,0.0,0.0,0.0,8,7,4,0,1,2,0,2,3,0,0,0,32,116.0,64.0,2,0,0,0.0,23_24,30,29/03/2024,1,[]
