player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Marko Milovanović,DT,29,almeria,osasuna,1,45,0,0,0.0,0.0,1,1,0,9,77.8,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,1,0,6,28.0,15.0,1,1,1,50.0,23_24,30,30/03/2024,1,[]
Léo Baptistão,DT,12,almeria,osasuna,0,45,0,0,0.1,0.0,2,1,1,12,66.7,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,13.0,2.0,0,0,2,0.0,23_24,30,30/03/2024,1,"[{'rojas': [10, 1.0]}]"
Sergio Arribas,DT,19,almeria,osasuna,1,45,0,0,0.0,0.0,0,0,0,22,81.8,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,9,42.0,26.0,2,0,1,0.0,23_24,30,30/03/2024,1,[]
Adri Embarba,MC,10,almeria,osasuna,0,45,0,0,0.1,0.1,2,0,2,20,65.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,3,1,2,11,53.0,24.0,1,1,1,50.0,23_24,30,30/03/2024,1,"[{'corners': [6, 94.0]}]"
Largie Ramazani,DT,7,almeria,osasuna,1,90,0,0,0.4,0.1,3,2,1,20,60.0,0,0,0.0,0.0,0.0,3,0,0,0,0,2,0,2,0,3,1,2,24,223.0,120.0,5,1,2,33.3,23_24,30,30/03/2024,1,"[{'amarillas': [7, 11.0]}, {'rojas': [2, 2.0]}]"
Lucas Robertone,MC,5,almeria,osasuna,1,76,0,0,0.0,0.1,0,0,0,40,85.0,1,0,0.0,0.0,0.0,1,2,3,0,1,2,0,2,0,1,0,0,22,125.0,44.0,0,0,1,0.0,23_24,30,30/03/2024,1,"[{'intercepciones': [2, 51.0]}, {'amarillas': [7, 11.0]}]"
Dion Lopy,MC,6,almeria,osasuna,0,14,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,6,39.0,12.0,0,0,2,0.0,23_24,30,30/03/2024,1,[]
Édgar González,DF,3,almeria,osasuna,1,90,0,0,0.1,0.0,1,1,0,74,89.2,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,6,0,0,0,38,217.0,123.0,0,3,6,33.3,23_24,30,30/03/2024,1,"[{'despejes': [9, 130.0]}, {'rojas': [10, 1.0]}]"
Jonathan Viera,MC,8,almeria,osasuna,1,62,0,0,0.0,0.4,0,0,0,32,87.5,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,0,3,2,1,20,133.0,63.0,3,1,1,50.0,23_24,30,30/03/2024,1,"[{'rojas': [10, 1.0]}]"
Luka Romero,DT,38,almeria,osasuna,0,28,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,35.0,21.0,1,0,0,0.0,23_24,30,30/03/2024,1,[]
