player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Roman Yaremchuk,UKR,28,DT,17,valencia,mallorca,1,16,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,72.0,54.0,1,0,0,0.0,23_24,30,30/03/2024,1,[]
Diego López,ESP,21,DT,16,valencia,mallorca,0,74,0,0,0.1,0.0,2,2,0,31,77.4,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,2,1,1,17,88.0,45.0,2,0,2,0.0,23_24,30,30/03/2024,1,[]
Hugo Duro,ESP,24,DT,9,valencia,mallorca,1,90,0,0,0.4,0.0,5,3,2,20,80.0,0,0,0.0,0.0,0.0,6,1,0,0,0,1,0,1,1,3,1,2,13,29.0,8.0,0,2,5,28.6,23_24,30,30/03/2024,1,"[{'faltas_recibidas': [1, 95.0]}]"
Peter González,DOM,21,MC,11,valencia,mallorca,1,64,0,0,0.8,0.0,1,1,0,9,66.7,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,5,37.0,11.0,0,2,2,50.0,23_24,30,30/03/2024,1,[]
Javier Guerra,ESP,21,MC,8,valencia,mallorca,0,26,0,0,0.0,0.0,0,0,0,14,78.6,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,8,80.0,49.0,2,0,0,0.0,23_24,30,30/03/2024,1,"[{'rojas': [10, 1.0]}]"
José Luis García Vayá,ESP,25,MC,18,valencia,mallorca,1,90,0,0,0.1,0.2,1,0,1,83,80.7,0,0,0.0,0.0,0.0,10,3,5,0,2,3,2,1,2,2,0,2,39,233.0,120.0,2,1,2,33.3,23_24,30,30/03/2024,1,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Hugo Guillamón,ESP,24,MC,6,valencia,mallorca,1,79,0,0,0.0,0.1,0,0,0,67,89.6,0,0,0.0,0.0,0.0,8,2,1,0,0,2,0,2,0,0,0,0,25,119.0,70.0,1,1,0,100.0,23_24,30,30/03/2024,1,[]
Alberto Marí,ESP,22,MC,22,valencia,mallorca,0,11,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,4.0,2.0,0,1,0,100.0,23_24,30,30/03/2024,1,[]
Francisco Perez,ESP,21,MC,23,valencia,mallorca,1,79,0,0,0.1,0.1,2,2,0,26,76.9,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,3,1,2,22,206.0,86.0,2,0,1,0.0,23_24,30,30/03/2024,1,"[{'apariciones_suplente': [5, 22.0]}]"
Selim Amallah,MAR,27,DT,19,valencia,mallorca,0,11,0,0,0.0,0.0,1,0,1,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,3,16.0,7.0,0,0,0,0.0,23_24,30,30/03/2024,1,"[{'rojas': [10, 1.0]}]"
Dimitri Foulquier,FRA,31,DF,20,valencia,mallorca,1,64,0,0,0.0,0.0,0,0,0,60,73.3,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,1,5,2,3,19,176.0,104.0,4,0,0,0.0,23_24,30,30/03/2024,1,[]
Jesus Vazquez,ESP,21,DF,21,valencia,mallorca,0,26,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,1,0,1,5,29.0,23.0,1,0,0,0.0,23_24,30,30/03/2024,1,[]
Cenk Özkacar,TUR,23,DF,15,valencia,mallorca,1,90,0,0,0.0,0.0,0,0,0,52,82.7,0,0,0.0,0.0,0.0,7,2,2,0,0,1,0,1,3,0,0,0,26,166.0,103.0,0,4,6,40.0,23_24,30,30/03/2024,1,[]
Cristhian Mosquera,ESP,19,DF,3,valencia,mallorca,1,90,0,0,0.1,0.0,1,1,0,52,86.5,0,0,0.0,0.0,0.0,8,0,1,0,1,3,2,1,4,0,0,0,23,118.0,55.0,0,3,2,60.0,23_24,30,30/03/2024,1,"[{'despejes': [7, 137.0]}]"
Thierry Correia,POR,25,DF,12,valencia,mallorca,1,90,0,0,0.0,0.2,1,1,0,74,78.4,0,0,0.0,0.0,0.0,9,1,2,0,2,2,1,1,4,3,2,1,44,225.0,147.0,2,1,1,50.0,23_24,30,30/03/2024,1,"[{'rojas': [10, 1.0]}]"
Giorgi Mamardashvili,GEO,23,PT,25,valencia,mallorca,1,90,0,0,0.0,0.0,0,0,0,29,51.7,0,0,0.0,100.0,0.2,11,0,0,0,0,0,0,0,1,0,0,0,20,80.0,63.0,0,2,0,100.0,23_24,30,30/03/2024,1,"[{'minutos': [7, 3284.0]}, {'rojas': [10, 1.0]}, {'porterias_cero': [4, 13.0]}, {'paradas': [8, 103.0]}, {'save_pct': [10, 73.8]}]"
Vedat Muriqi,KVX,29,DT,7,mallorca,valencia,1,90,0,0,0.3,0.0,4,4,0,35,65.7,0,0,0.0,0.0,0.0,4,1,1,0,1,3,0,3,0,2,1,1,27,103.0,61.0,1,5,6,45.5,23_24,30,30/03/2024,0,"[{'rojas': [2, 2.0]}]"
